TRI,hour,maxT,minT,windSpeed,cloudy,dark,heavy,light,medium,sun
0,1,34,23,1,1,0,0,0,0,0
0,2,34,23,1,1,0,0,0,0,0
0,3,34,23,1,1,0,0,0,0,0
0,4,34,23,1,1,0,0,0,0,0
0,5,34,23,1,1,0,0,0,0,0
58,6,34,23,1,1,0,0,0,0,0
180,7,34,23,1,1,0,0,0,0,0
516,8,34,23,1,1,0,0,0,0,0
684,9,34,23,1,1,0,0,0,0,0
843,10,34,23,1,1,0,0,0,0,0
964,11,34,23,1,1,0,0,0,0,0
918,12,34,23,1,1,0,0,0,0,0
836,13,34,23,1,1,0,0,0,0,0
800,14,34,23,1,1,0,0,0,0,0
721,15,34,23,1,1,0,0,0,0,0
300,16,34,23,1,1,0,0,0,0,0
302,17,34,23,1,1,0,0,0,0,0
118,18,34,23,1,1,0,0,0,0,0
0,19,34,23,1,1,0,0,0,0,0
0,20,34,23,1,1,0,0,0,0,0
0,21,34,23,1,1,0,0,0,0,0
0,22,34,23,1,1,0,0,0,0,0
0,23,34,23,1,1,0,0,0,0,0
0,0,32,25,2,0,1,0,0,0,0
0,1,32,25,2,0,1,0,0,0,0
0,2,32,25,2,0,1,0,0,0,0
0,3,32,25,2,0,1,0,0,0,0
0,4,32,25,2,0,1,0,0,0,0
13,5,32,25,2,0,1,0,0,0,0
124,6,32,25,2,0,1,0,0,0,0
179,7,32,25,2,0,1,0,0,0,0
279,8,32,25,2,0,1,0,0,0,0
658,9,32,25,2,0,1,0,0,0,0
770,10,32,25,2,0,1,0,0,0,0
416,11,32,25,2,0,1,0,0,0,0
703,12,32,25,2,0,1,0,0,0,0
513,13,32,25,2,0,1,0,0,0,0
345,14,32,25,2,0,1,0,0,0,0
407,15,32,25,2,0,1,0,0,0,0
215,16,32,25,2,0,1,0,0,0,0
82,17,32,25,2,0,1,0,0,0,0
12,18,32,25,2,0,1,0,0,0,0
1,19,32,25,2,0,1,0,0,0,0
4,20,32,25,2,0,1,0,0,0,0
0,21,32,25,2,0,1,0,0,0,0
0,22,32,25,2,0,1,0,0,0,0
0,23,32,25,2,0,1,0,0,0,0
0,0,26,21,2,0,0,0,0,1,0
0,1,26,21,2,0,0,0,0,1,0
0,2,26,21,2,0,0,0,0,1,0
0,3,26,21,2,0,0,0,0,1,0
0,4,26,21,2,0,0,0,0,1,0
0,5,26,21,2,0,0,0,0,1,0
12,6,26,21,2,0,0,0,0,1,0
57,7,26,21,2,0,0,0,0,1,0
378,8,26,21,2,0,0,0,0,1,0
287,9,26,21,2,0,0,0,0,1,0
495,10,26,21,2,0,0,0,0,1,0
281,11,26,21,2,0,0,0,0,1,0
95,12,26,21,2,0,0,0,0,1,0
130,13,26,21,2,0,0,0,0,1,0
552,14,26,21,2,0,0,0,0,1,0
433,15,26,21,2,0,0,0,0,1,0
296,16,26,21,2,0,0,0,0,1,0
22,17,26,21,2,0,0,0,0,1,0
17,18,26,21,2,0,0,0,0,1,0
11,19,26,21,2,0,0,0,0,1,0
6,20,26,21,2,0,0,0,0,1,0
0,21,26,21,2,0,0,0,0,1,0
0,22,26,21,2,0,0,0,0,1,0
0,23,26,21,2,0,0,0,0,1,0
0,0,23,22,1,0,0,1,0,0,0
0,1,23,22,1,0,0,1,0,0,0
0,2,23,22,1,0,0,1,0,0,0
0,3,23,22,1,0,0,1,0,0,0
0,4,23,22,1,0,0,1,0,0,0
0,5,23,22,1,0,0,1,0,0,0
10,6,23,22,1,0,0,1,0,0,0
4,7,23,22,1,0,0,1,0,0,0
18,8,23,22,1,0,0,1,0,0,0
20,9,23,22,1,0,0,1,0,0,0
33,10,23,22,1,0,0,1,0,0,0
55,11,23,22,1,0,0,1,0,0,0
64,12,23,22,1,0,0,1,0,0,0
60,13,23,22,1,0,0,1,0,0,0
147,14,23,22,1,0,0,1,0,0,0
104,15,23,22,1,0,0,1,0,0,0
159,16,23,22,1,0,0,1,0,0,0
71,17,23,22,1,0,0,1,0,0,0
12,18,23,22,1,0,0,1,0,0,0
0,19,23,22,1,0,0,1,0,0,0
0,20,23,22,1,0,0,1,0,0,0
0,21,23,22,1,0,0,1,0,0,0
0,22,23,22,1,0,0,1,0,0,0
0,23,23,22,1,0,0,1,0,0,0
0,0,27,23,1,0,0,0,1,0,0
