TRI,hour,maxT,minT,windSpeed,cloudy,dark,heavy,light,medium,sun
0,1,33,22,2,1,0,0,0,0,0
0,2,33,22,2,1,0,0,0,0,0
0,3,33,22,2,1,0,0,0,0,0
0,4,33,22,2,1,0,0,0,0,0
5,5,33,22,2,1,0,0,0,0,0
100,6,33,22,2,1,0,0,0,0,0
302,7,33,22,2,1,0,0,0,0,0
472,8,33,22,2,1,0,0,0,0,0
639,9,33,22,2,1,0,0,0,0,0
778,10,33,22,2,1,0,0,0,0,0
895,11,33,22,2,1,0,0,0,0,0
930,12,33,22,2,1,0,0,0,0,0
905,13,33,22,2,1,0,0,0,0,0
817,14,33,22,2,1,0,0,0,0,0
666,15,33,22,2,1,0,0,0,0,0
532,16,33,22,2,1,0,0,0,0,0
195,17,33,22,2,1,0,0,0,0,0
203,18,33,22,2,1,0,0,0,0,0
36,19,33,22,2,1,0,0,0,0,0
0,20,33,22,2,1,0,0,0,0,0
0,21,33,22,2,1,0,0,0,0,0
0,22,33,22,2,1,0,0,0,0,0
0,23,33,22,2,1,0,0,0,0,0
0,0,34,24,1,0,0,0,0,0,1
0,1,34,24,1,0,0,0,0,0,1
0,2,34,24,1,0,0,0,0,0,1
0,3,34,24,1,0,0,0,0,0,1
0,4,34,24,1,0,0,0,0,0,1
11,5,34,24,1,0,0,0,0,0,1
107,6,34,24,1,0,0,0,0,0,1
271,7,34,24,1,0,0,0,0,0,1
441,8,34,24,1,0,0,0,0,0,1
609,9,34,24,1,0,0,0,0,0,1
697,10,34,24,1,0,0,0,0,0,1
828,11,34,24,1,0,0,0,0,0,1
814,12,34,24,1,0,0,0,0,0,1
868,13,34,24,1,0,0,0,0,0,1
665,14,34,24,1,0,0,0,0,0,1
491,15,34,24,1,0,0,0,0,0,1
310,16,34,24,1,0,0,0,0,0,1
243,17,34,24,1,0,0,0,0,0,1
92,18,34,24,1,0,0,0,0,0,1
17,19,34,24,1,0,0,0,0,0,1
0,20,34,24,1,0,0,0,0,0,1
0,21,34,24,1,0,0,0,0,0,1
0,22,34,24,1,0,0,0,0,0,1
0,23,34,24,1,0,0,0,0,0,1
0,0,33,23,3,0,1,0,0,0,0
0,1,33,23,3,0,1,0,0,0,0
0,2,33,23,3,0,1,0,0,0,0
0,3,33,23,3,0,1,0,0,0,0
0,4,33,23,3,0,1,0,0,0,0
8,5,33,23,3,0,1,0,0,0,0
101,6,33,23,3,0,1,0,0,0,0
302,7,33,23,3,0,1,0,0,0,0
391,8,33,23,3,0,1,0,0,0,0
738,9,33,23,3,0,1,0,0,0,0
353,10,33,23,3,0,1,0,0,0,0
366,11,33,23,3,0,1,0,0,0,0
676,12,33,23,3,0,1,0,0,0,0
995,13,33,23,3,0,1,0,0,0,0
768,14,33,23,3,0,1,0,0,0,0
379,15,33,23,3,0,1,0,0,0,0
292,16,33,23,3,0,1,0,0,0,0
313,17,33,23,3,0,1,0,0,0,0
83,18,33,23,3,0,1,0,0,0,0
16,19,33,23,3,0,1,0,0,0,0
0,20,33,23,3,0,1,0,0,0,0
0,21,33,23,3,0,1,0,0,0,0
0,22,33,23,3,0,1,0,0,0,0
0,23,33,23,3,0,1,0,0,0,0
0,0,31,23,2,0,0,0,1,0,0
0,1,31,23,2,0,0,0,1,0,0
0,2,31,23,2,0,0,0,1,0,0
0,3,31,23,2,0,0,0,1,0,0
0,4,31,23,2,0,0,0,1,0,0
4,5,31,23,2,0,0,0,1,0,0
12,6,31,23,2,0,0,0,1,0,0
14,7,31,23,2,0,0,0,1,0,0
125,8,31,23,2,0,0,0,1,0,0
322,9,31,23,2,0,0,0,1,0,0
309,10,31,23,2,0,0,0,1,0,0
569,11,31,23,2,0,0,0,1,0,0
516,12,31,23,2,0,0,0,1,0,0
749,13,31,23,2,0,0,0,1,0,0
734,14,31,23,2,0,0,0,1,0,0
591,15,31,23,2,0,0,0,1,0,0
495,16,31,23,2,0,0,0,1,0,0
232,17,31,23,2,0,0,0,1,0,0
70,18,31,23,2,0,0,0,1,0,0
6,19,31,23,2,0,0,0,1,0,0
0,20,31,23,2,0,0,0,1,0,0
0,21,31,23,2,0,0,0,1,0,0
0,22,31,23,2,0,0,0,1,0,0
0,23,31,23,2,0,0,0,1,0,0
0,0,32,23,1,0,1,0,0,0,0
0,1,32,23,1,0,1,0,0,0,0
0,2,32,23,1,0,1,0,0,0,0
0,3,32,23,1,0,1,0,0,0,0
0,4,32,23,1,0,1,0,0,0,0
7,5,32,23,1,0,1,0,0,0,0
76,6,32,23,1,0,1,0,0,0,0
204,7,32,23,1,0,1,0,0,0,0
348,8,32,23,1,0,1,0,0,0,0
504,9,32,23,1,0,1,0,0,0,0
647,10,32,23,1,0,1,0,0,0,0
712,11,32,23,1,0,1,0,0,0,0
819,12,32,23,1,0,1,0,0,0,0
602,13,32,23,1,0,1,0,0,0,0
237,14,32,23,1,0,1,0,0,0,0
311,15,32,23,1,0,1,0,0,0,0
289,16,32,23,1,0,1,0,0,0,0
242,17,32,23,1,0,1,0,0,0,0
102,18,32,23,1,0,1,0,0,0,0
12,19,32,23,1,0,1,0,0,0,0
0,20,32,23,1,0,1,0,0,0,0
