TRI,hour,maxT,minT,windSpeed,cloudy,dark,light,medium,sun
0,1,29,19,3,0,1,0,0,0
0,2,29,19,3,0,1,0,0,0
0,3,29,19,3,0,1,0,0,0
0,4,29,19,3,0,1,0,0,0
33,5,29,19,3,0,1,0,0,0
133,6,29,19,3,0,1,0,0,0
161,7,29,19,3,0,1,0,0,0
597,8,29,19,3,0,1,0,0,0
398,9,29,19,3,0,1,0,0,0
632,10,29,19,3,0,1,0,0,0
378,11,29,19,3,0,1,0,0,0
575,12,29,19,3,0,1,0,0,0
989,13,29,19,3,0,1,0,0,0
848,14,29,19,3,0,1,0,0,0
505,15,29,19,3,0,1,0,0,0
236,16,29,19,3,0,1,0,0,0
98,17,29,19,3,0,1,0,0,0
5,18,29,19,3,0,1,0,0,0
39,19,29,19,3,0,1,0,0,0
0,20,29,19,3,0,1,0,0,0
0,21,29,19,3,0,1,0,0,0
0,22,29,19,3,0,1,0,0,0
0,23,29,19,3,0,1,0,0,0
0,0,30,20,0,1,0,0,0,0
0,1,30,20,0,1,0,0,0,0
0,2,30,20,0,1,0,0,0,0
0,3,30,20,0,1,0,0,0,0
0,4,30,20,0,1,0,0,0,0
22,5,30,20,0,1,0,0,0,0
185,6,30,20,0,1,0,0,0,0
299,7,30,20,0,1,0,0,0,0
504,8,30,20,0,1,0,0,0,0
699,9,30,20,0,1,0,0,0,0
906,10,30,20,0,1,0,0,0,0
414,11,30,20,0,1,0,0,0,0
942,12,30,20,0,1,0,0,0,0
918,13,30,20,0,1,0,0,0,0
885,14,30,20,0,1,0,0,0,0
717,15,30,20,0,1,0,0,0,0
564,16,30,20,0,1,0,0,0,0
413,17,30,20,0,1,0,0,0,0
171,18,30,20,0,1,0,0,0,0
42,19,30,20,0,1,0,0,0,0
0,20,30,20,0,1,0,0,0,0
0,21,30,20,0,1,0,0,0,0
0,22,30,20,0,1,0,0,0,0
0,23,30,20,0,1,0,0,0,0
0,0,29,22,3,0,1,0,0,0
0,1,29,22,3,0,1,0,0,0
0,2,29,22,3,0,1,0,0,0
0,3,29,22,3,0,1,0,0,0
0,4,29,22,3,0,1,0,0,0
12,5,29,22,3,0,1,0,0,0
111,6,29,22,3,0,1,0,0,0
113,7,29,22,3,0,1,0,0,0
499,8,29,22,3,0,1,0,0,0
266,9,29,22,3,0,1,0,0,0
418,10,29,22,3,0,1,0,0,0
285,11,29,22,3,0,1,0,0,0
1016,12,29,22,3,0,1,0,0,0
510,13,29,22,3,0,1,0,0,0
375,14,29,22,3,0,1,0,0,0
275,15,29,22,3,0,1,0,0,0
280,16,29,22,3,0,1,0,0,0
355,17,29,22,3,0,1,0,0,0
86,18,29,22,3,0,1,0,0,0
24,19,29,22,3,0,1,0,0,0
0,20,29,22,3,0,1,0,0,0
0,21,29,22,3,0,1,0,0,0
0,22,29,22,3,0,1,0,0,0
0,23,29,22,3,0,1,0,0,0
0,0,26,22,2,0,0,1,0,0
0,1,26,22,2,0,0,1,0,0
0,2,26,22,2,0,0,1,0,0
0,3,26,22,2,0,0,1,0,0
0,4,26,22,2,0,0,1,0,0
6,5,26,22,2,0,0,1,0,0
2,6,26,22,2,0,0,1,0,0
15,7,26,22,2,0,0,1,0,0
44,8,26,22,2,0,0,1,0,0
81,9,26,22,2,0,0,1,0,0
146,10,26,22,2,0,0,1,0,0
620,11,26,22,2,0,0,1,0,0
393,12,26,22,2,0,0,1,0,0
213,13,26,22,2,0,0,1,0,0
470,14,26,22,2,0,0,1,0,0
79,15,26,22,2,0,0,1,0,0
93,16,26,22,2,0,0,1,0,0
20,17,26,22,2,0,0,1,0,0
77,18,26,22,2,0,0,1,0,0
19,19,26,22,2,0,0,1,0,0
0,20,26,22,2,0,0,1,0,0
0,21,26,22,2,0,0,1,0,0
0,22,26,22,2,0,0,1,0,0
0,23,26,22,2,0,0,1,0,0
0,0,28,21,2,0,1,0,0,0
0,1,28,21,2,0,1,0,0,0
0,2,28,21,2,0,1,0,0,0
0,3,28,21,2,0,1,0,0,0
0,4,28,21,2,0,1,0,0,0
5,5,28,21,2,0,1,0,0,0
79,6,28,21,2,0,1,0,0,0
23,7,28,21,2,0,1,0,0,0
187,8,28,21,2,0,1,0,0,0
263,9,28,21,2,0,1,0,0,0
373,10,28,21,2,0,1,0,0,0
373,11,28,21,2,0,1,0,0,0
992,12,28,21,2,0,1,0,0,0
214,13,28,21,2,0,1,0,0,0
799,14,28,21,2,0,1,0,0,0
713,15,28,21,2,0,1,0,0,0
525,16,28,21,2,0,1,0,0,0
374,17,28,21,2,0,1,0,0,0
149,18,28,21,2,0,1,0,0,0
28,19,28,21,2,0,1,0,0,0
0,20,28,21,2,0,1,0,0,0
0,21,28,21,2,0,1,0,0,0
0,22,28,21,2,0,1,0,0,0
0,23,28,21,2,0,1,0,0,0
0,0,31,22,1,1,0,0,0,0
0,1,31,22,1,1,0,0,0,0
0,2,31,22,1,1,0,0,0,0
0,3,31,22,1,1,0,0,0,0
0,4,31,22,1,1,0,0,0,0
17,5,31,22,1,1,0,0,0,0
122,6,31,22,1,1,0,0,0,0
291,7,31,22,1,1,0,0,0,0
475,8,31,22,1,1,0,0,0,0
634,9,31,22,1,1,0,0,0,0
776,10,31,22,1,1,0,0,0,0
871,11,31,22,1,1,0,0,0,0
889,12,31,22,1,1,0,0,0,0
431,13,31,22,1,1,0,0,0,0
756,14,31,22,1,1,0,0,0,0
528,15,31,22,1,1,0,0,0,0
198,16,31,22,1,1,0,0,0,0
140,17,31,22,1,1,0,0,0,0
86,18,31,22,1,1,0,0,0,0
29,19,31,22,1,1,0,0,0,0
0,20,31,22,1,1,0,0,0,0
0,21,31,22,1,1,0,0,0,0
0,22,31,22,1,1,0,0,0,0
0,23,31,22,1,1,0,0,0,0
0,0,32,23,0,1,0,0,0,0
0,1,32,23,0,1,0,0,0,0
0,2,32,23,0,1,0,0,0,0
0,3,32,23,0,1,0,0,0,0
0,4,32,23,0,1,0,0,0,0
23,5,32,23,0,1,0,0,0,0
125,6,32,23,0,1,0,0,0,0
311,7,32,23,0,1,0,0,0,0
565,8,32,23,0,1,0,0,0,0
504,9,32,23,0,1,0,0,0,0
846,10,32,23,0,1,0,0,0,0
929,11,32,23,0,1,0,0,0,0
1037,12,32,23,0,1,0,0,0,0
202,13,32,23,0,1,0,0,0,0
486,14,32,23,0,1,0,0,0,0
470,15,32,23,0,1,0,0,0,0
238,16,32,23,0,1,0,0,0,0
157,17,32,23,0,1,0,0,0,0
36,18,32,23,0,1,0,0,0,0
24,19,32,23,0,1,0,0,0,0
0,20,32,23,0,1,0,0,0,0
0,21,32,23,0,1,0,0,0,0
0,22,32,23,0,1,0,0,0,0
0,23,32,23,0,1,0,0,0,0
0,0,26,22,0,0,0,0,1,0
0,1,26,22,0,0,0,0,1,0
0,2,26,22,0,0,0,0,1,0
0,3,26,22,0,0,0,0,1,0
0,4,26,22,0,0,0,0,1,0
11,5,26,22,0,0,0,0,1,0
31,6,26,22,0,0,0,0,1,0
132,7,26,22,0,0,0,0,1,0
53,8,26,22,0,0,0,0,1,0
68,9,26,22,0,0,0,0,1,0
75,10,26,22,0,0,0,0,1,0
84,11,26,22,0,0,0,0,1,0
206,12,26,22,0,0,0,0,1,0
100,13,26,22,0,0,0,0,1,0
57,14,26,22,0,0,0,0,1,0
255,15,26,22,0,0,0,0,1,0
56,16,26,22,0,0,0,0,1,0
125,17,26,22,0,0,0,0,1,0
35,18,26,22,0,0,0,0,1,0
2,19,26,22,0,0,0,0,1,0
0,20,26,22,0,0,0,0,1,0
0,21,26,22,0,0,0,0,1,0
0,22,26,22,0,0,0,0,1,0
0,23,26,22,0,0,0,0,1,0
0,0,31,22,1,1,0,0,0,0
0,1,31,22,1,1,0,0,0,0
0,2,31,22,1,1,0,0,0,0
0,3,31,22,1,1,0,0,0,0
0,4,31,22,1,1,0,0,0,0
7,5,31,22,1,1,0,0,0,0
68,6,31,22,1,1,0,0,0,0
391,7,31,22,1,1,0,0,0,0
334,8,31,22,1,1,0,0,0,0
534,9,31,22,1,1,0,0,0,0
799,10,31,22,1,1,0,0,0,0
906,11,31,22,1,1,0,0,0,0
931,12,31,22,1,1,0,0,0,0
925,13,31,22,1,1,0,0,0,0
907,14,31,22,1,1,0,0,0,0
711,15,31,22,1,1,0,0,0,0
550,16,31,22,1,1,0,0,0,0
370,17,31,22,1,1,0,0,0,0
179,18,31,22,1,1,0,0,0,0
26,19,31,22,1,1,0,0,0,0
0,20,31,22,1,1,0,0,0,0
0,21,31,22,1,1,0,0,0,0
0,22,31,22,1,1,0,0,0,0
0,23,31,22,1,1,0,0,0,0
0,0,27,22,1,0,0,1,0,0
0,1,27,22,1,0,0,1,0,0
0,2,27,22,1,0,0,1,0,0
0,3,27,22,1,0,0,1,0,0
0,4,27,22,1,0,0,1,0,0
3,5,27,22,1,0,0,1,0,0
0,6,27,22,1,0,0,1,0,0
67,7,27,22,1,0,0,1,0,0
57,8,27,22,1,0,0,1,0,0
269,9,27,22,1,0,0,1,0,0
59,10,27,22,1,0,0,1,0,0
279,11,27,22,1,0,0,1,0,0
107,12,27,22,1,0,0,1,0,0
212,13,27,22,1,0,0,1,0,0
256,14,27,22,1,0,0,1,0,0
99,15,27,22,1,0,0,1,0,0
140,16,27,22,1,0,0,1,0,0
72,17,27,22,1,0,0,1,0,0
8,18,27,22,1,0,0,1,0,0
20,19,27,22,1,0,0,1,0,0
0,20,27,22,1,0,0,1,0,0
0,21,27,22,1,0,0,1,0,0
0,22,27,22,1,0,0,1,0,0
0,23,27,22,1,0,0,1,0,0
0,0,30,22,4,0,0,1,0,0
0,1,30,22,4,0,0,1,0,0
0,2,30,22,4,0,0,1,0,0
0,3,30,22,4,0,0,1,0,0
0,4,30,22,4,0,0,1,0,0
0,5,30,22,4,0,0,1,0,0
23,6,30,22,4,0,0,1,0,0
102,7,30,22,4,0,0,1,0,0
216,8,30,22,4,0,0,1,0,0
511,9,30,22,4,0,0,1,0,0
944,10,30,22,4,0,0,1,0,0
898,11,30,22,4,0,0,1,0,0
933,12,30,22,4,0,0,1,0,0
910,13,30,22,4,0,0,1,0,0
835,14,30,22,4,0,0,1,0,0
694,15,30,22,4,0,0,1,0,0
267,16,30,22,4,0,0,1,0,0
280,17,30,22,4,0,0,1,0,0
68,18,30,22,4,0,0,1,0,0
0,19,30,22,4,0,0,1,0,0
0,20,30,22,4,0,0,1,0,0
0,21,30,22,4,0,0,1,0,0
0,22,30,22,4,0,0,1,0,0
0,23,30,22,4,0,0,1,0,0
0,0,26,20,0,0,1,0,0,0
0,1,26,20,0,0,1,0,0,0
0,2,26,20,0,0,1,0,0,0
0,3,26,20,0,0,1,0,0,0
0,4,26,20,0,0,1,0,0,0
8,5,26,20,0,0,1,0,0,0
141,6,26,20,0,0,1,0,0,0
54,7,26,20,0,0,1,0,0,0
83,8,26,20,0,0,1,0,0,0
130,9,26,20,0,0,1,0,0,0
164,10,26,20,0,0,1,0,0,0
153,11,26,20,0,0,1,0,0,0
172,12,26,20,0,0,1,0,0,0
136,13,26,20,0,0,1,0,0,0
400,14,26,20,0,0,1,0,0,0
307,15,26,20,0,0,1,0,0,0
148,16,26,20,0,0,1,0,0,0
133,17,26,20,0,0,1,0,0,0
53,18,26,20,0,0,1,0,0,0
22,19,26,20,0,0,1,0,0,0
0,20,26,20,0,0,1,0,0,0
0,21,26,20,0,0,1,0,0,0
0,22,26,20,0,0,1,0,0,0
0,23,26,20,0,0,1,0,0,0
0,0,29,22,0,0,1,0,0,0
0,1,29,22,0,0,1,0,0,0
0,2,29,22,0,0,1,0,0,0
0,3,29,22,0,0,1,0,0,0
0,4,29,22,0,0,1,0,0,0
0,5,29,22,0,0,1,0,0,0
97,6,29,22,0,0,1,0,0,0
267,7,29,22,0,0,1,0,0,0
354,8,29,22,0,0,1,0,0,0
388,9,29,22,0,0,1,0,0,0
292,10,29,22,0,0,1,0,0,0
675,11,29,22,0,0,1,0,0,0
409,12,29,22,0,0,1,0,0,0
300,13,29,22,0,0,1,0,0,0
445,14,29,22,0,0,1,0,0,0
407,15,29,22,0,0,1,0,0,0
548,16,29,22,0,0,1,0,0,0
162,17,29,22,0,0,1,0,0,0
109,18,29,22,0,0,1,0,0,0
15,19,29,22,0,0,1,0,0,0
0,20,29,22,0,0,1,0,0,0
0,21,29,22,0,0,1,0,0,0
0,22,29,22,0,0,1,0,0,0
0,23,29,22,0,0,1,0,0,0
0,0,30,24,2,1,0,0,0,0
0,1,30,24,2,1,0,0,0,0
0,2,30,24,2,1,0,0,0,0
0,3,30,24,2,1,0,0,0,0
0,4,30,24,2,1,0,0,0,0
0,5,30,24,2,1,0,0,0,0
39,6,30,24,2,1,0,0,0,0
163,7,30,24,2,1,0,0,0,0
429,8,30,24,2,1,0,0,0,0
272,9,30,24,2,1,0,0,0,0
125,10,30,24,2,1,0,0,0,0
241,11,30,24,2,1,0,0,0,0
372,12,30,24,2,1,0,0,0,0
446,13,30,24,2,1,0,0,0,0
332,14,30,24,2,1,0,0,0,0
290,15,30,24,2,1,0,0,0,0
