TRI,hour,maxT,minT,windSpeed,cloudy,dark,light,medium,other,sun
0,1,28,22,2,0,0,0,0,0,1
0,2,28,22,2,0,0,0,0,0,1
0,3,28,22,2,0,0,0,0,0,1
0,4,28,22,2,0,0,0,0,0,1
0,5,28,22,2,0,0,0,0,0,1
82,6,28,22,2,0,0,0,0,0,1
244,7,28,22,2,0,0,0,0,0,1
462,8,28,22,2,0,0,0,0,0,1
150,9,28,22,2,0,0,0,0,0,1
117,10,28,22,2,0,0,0,0,0,1
570,11,28,22,2,0,0,0,0,0,1
786,12,28,22,2,0,0,0,0,0,1
173,13,28,22,2,0,0,0,0,0,1
290,14,28,22,2,0,0,0,0,0,1
516,15,28,22,2,0,0,0,0,0,1
192,16,28,22,2,0,0,0,0,0,1
208,17,28,22,2,0,0,0,0,0,1
59,18,28,22,2,0,0,0,0,0,1
5,19,28,22,2,0,0,0,0,0,1
0,20,28,22,2,0,0,0,0,0,1
0,21,28,22,2,0,0,0,0,0,1
0,22,28,22,2,0,0,0,0,0,1
0,23,28,22,2,0,0,0,0,0,1
0,0,27,22,2,1,0,0,0,0,0
0,1,27,22,2,1,0,0,0,0,0
0,2,27,22,2,1,0,0,0,0,0
0,3,27,22,2,1,0,0,0,0,0
0,4,27,22,2,1,0,0,0,0,0
0,5,27,22,2,1,0,0,0,0,0
99,6,27,22,2,1,0,0,0,0,0
150,7,27,22,2,1,0,0,0,0,0
418,8,27,22,2,1,0,0,0,0,0
625,9,27,22,2,1,0,0,0,0,0
377,10,27,22,2,1,0,0,0,0,0
1065,11,27,22,2,1,0,0,0,0,0
1069,12,27,22,2,1,0,0,0,0,0
119,13,27,22,2,1,0,0,0,0,0
749,14,27,22,2,1,0,0,0,0,0
173,15,27,22,2,1,0,0,0,0,0
363,16,27,22,2,1,0,0,0,0,0
320,17,27,22,2,1,0,0,0,0,0
22,18,27,22,2,1,0,0,0,0,0
4,19,27,22,2,1,0,0,0,0,0
0,20,27,22,2,1,0,0,0,0,0
0,21,27,22,2,1,0,0,0,0,0
0,22,27,22,2,1,0,0,0,0,0
0,23,27,22,2,1,0,0,0,0,0
0,0,26,22,3,0,1,0,0,0,0
0,1,26,22,3,0,1,0,0,0,0
0,2,26,22,3,0,1,0,0,0,0
0,3,26,22,3,0,1,0,0,0,0
0,4,26,22,3,0,1,0,0,0,0
0,5,26,22,3,0,1,0,0,0,0
115,6,26,22,3,0,1,0,0,0,0
295,7,26,22,3,0,1,0,0,0,0
206,8,26,22,3,0,1,0,0,0,0
788,9,26,22,3,0,1,0,0,0,0
542,10,26,22,3,0,1,0,0,0,0
587,11,26,22,3,0,1,0,0,0,0
322,12,26,22,3,0,1,0,0,0,0
873,13,26,22,3,0,1,0,0,0,0
404,14,26,22,3,0,1,0,0,0,0
411,15,26,22,3,0,1,0,0,0,0
366,16,26,22,3,0,1,0,0,0,0
265,17,26,22,3,0,1,0,0,0,0
44,18,26,22,3,0,1,0,0,0,0
0,19,26,22,3,0,1,0,0,0,0
0,20,26,22,3,0,1,0,0,0,0
0,21,26,22,3,0,1,0,0,0,0
0,22,26,22,3,0,1,0,0,0,0
0,23,26,22,3,0,1,0,0,0,0
0,0,25,22,2,0,1,0,0,0,0
0,1,25,22,2,0,1,0,0,0,0
0,2,25,22,2,0,1,0,0,0,0
0,3,25,22,2,0,1,0,0,0,0
0,4,25,22,2,0,1,0,0,0,0
0,5,25,22,2,0,1,0,0,0,0
56,6,25,22,2,0,1,0,0,0,0
209,7,25,22,2,0,1,0,0,0,0
191,8,25,22,2,0,1,0,0,0,0
189,9,25,22,2,0,1,0,0,0,0
202,10,25,22,2,0,1,0,0,0,0
180,11,25,22,2,0,1,0,0,0,0
386,12,25,22,2,0,1,0,0,0,0
437,13,25,22,2,0,1,0,0,0,0
410,14,25,22,2,0,1,0,0,0,0
255,15,25,22,2,0,1,0,0,0,0
233,16,25,22,2,0,1,0,0,0,0
178,17,25,22,2,0,1,0,0,0,0
59,18,25,22,2,0,1,0,0,0,0
0,19,25,22,2,0,1,0,0,0,0
0,20,25,22,2,0,1,0,0,0,0
0,21,25,22,2,0,1,0,0,0,0
0,22,25,22,2,0,1,0,0,0,0
0,23,25,22,2,0,1,0,0,0,0
0,0,27,22,3,0,0,0,0,0,1
0,1,27,22,3,0,0,0,0,0,1
0,2,27,22,3,0,0,0,0,0,1
0,3,27,22,3,0,0,0,0,0,1
0,4,27,22,3,0,0,0,0,0,1
0,5,27,22,3,0,0,0,0,0,1
17,6,27,22,3,0,0,0,0,0,1
201,7,27,22,3,0,0,0,0,0,1
247,8,27,22,3,0,0,0,0,0,1
477,9,27,22,3,0,0,0,0,0,1
