TRI,hour,maxT,minT,windSpeed,cloudy,dark,heavy,light,medium
0,1,33,27,3,0,1,0,0,0
0,2,33,27,3,0,1,0,0,0
0,3,33,27,3,0,1,0,0,0
0,4,33,27,3,0,1,0,0,0
0,5,33,27,3,0,1,0,0,0
39,6,33,27,3,0,1,0,0,0
203,7,33,27,3,0,1,0,0,0
303,8,33,27,3,0,1,0,0,0
684,9,33,27,3,0,1,0,0,0
674,10,33,27,3,0,1,0,0,0
717,11,33,27,3,0,1,0,0,0
145,12,33,27,3,0,1,0,0,0
505,13,33,27,3,0,1,0,0,0
444,14,33,27,3,0,1,0,0,0
301,15,33,27,3,0,1,0,0,0
209,16,33,27,3,0,1,0,0,0
73,17,33,27,3,0,1,0,0,0
35,18,33,27,3,0,1,0,0,0
0,19,33,27,3,0,1,0,0,0
0,20,33,27,3,0,1,0,0,0
0,21,33,27,3,0,1,0,0,0
0,22,33,27,3,0,1,0,0,0
0,23,33,27,3,0,1,0,0,0
0,0,34,27,3,0,1,0,0,0
0,1,34,27,3,0,1,0,0,0
0,2,34,27,3,0,1,0,0,0
0,3,34,27,3,0,1,0,0,0
0,4,34,27,3,0,1,0,0,0
0,5,34,27,3,0,1,0,0,0
19,6,34,27,3,0,1,0,0,0
101,7,34,27,3,0,1,0,0,0
249,8,34,27,3,0,1,0,0,0
475,9,34,27,3,0,1,0,0,0
810,10,34,27,3,0,1,0,0,0
952,11,34,27,3,0,1,0,0,0
1060,12,34,27,3,0,1,0,0,0
363,13,34,27,3,0,1,0,0,0
801,14,34,27,3,0,1,0,0,0
214,15,34,27,3,0,1,0,0,0
650,16,34,27,3,0,1,0,0,0
293,17,34,27,3,0,1,0,0,0
47,18,34,27,3,0,1,0,0,0
0,19,34,27,3,0,1,0,0,0
0,20,34,27,3,0,1,0,0,0
0,21,34,27,3,0,1,0,0,0
0,22,34,27,3,0,1,0,0,0
0,23,34,27,3,0,1,0,0,0
0,0,34,26,2,0,1,0,0,0
0,1,34,26,2,0,1,0,0,0
0,2,34,26,2,0,1,0,0,0
0,3,34,26,2,0,1,0,0,0
0,4,34,26,2,0,1,0,0,0
0,5,34,26,2,0,1,0,0,0
33,6,34,26,2,0,1,0,0,0
243,7,34,26,2,0,1,0,0,0
300,8,34,26,2,0,1,0,0,0
83,9,34,26,2,0,1,0,0,0
187,10,34,26,2,0,1,0,0,0
638,11,34,26,2,0,1,0,0,0
365,12,34,26,2,0,1,0,0,0
926,13,34,26,2,0,1,0,0,0
811,14,34,26,2,0,1,0,0,0
214,15,34,26,2,0,1,0,0,0
277,16,34,26,2,0,1,0,0,0
129,17,34,26,2,0,1,0,0,0
46,18,34,26,2,0,1,0,0,0
0,19,34,26,2,0,1,0,0,0
0,20,34,26,2,0,1,0,0,0
0,21,34,26,2,0,1,0,0,0
0,22,34,26,2,0,1,0,0,0
0,23,34,26,2,0,1,0,0,0
0,0,32,27,3,0,1,0,0,0
0,1,32,27,3,0,1,0,0,0
0,2,32,27,3,0,1,0,0,0
0,3,32,27,3,0,1,0,0,0
0,4,32,27,3,0,1,0,0,0
0,5,32,27,3,0,1,0,0,0
37,6,32,27,3,0,1,0,0,0
315,7,32,27,3,0,1,0,0,0
398,8,32,27,3,0,1,0,0,0
444,9,32,27,3,0,1,0,0,0
1065,10,32,27,3,0,1,0,0,0
450,11,32,27,3,0,1,0,0,0
328,12,32,27,3,0,1,0,0,0
337,13,32,27,3,0,1,0,0,0
507,14,32,27,3,0,1,0,0,0
184,15,32,27,3,0,1,0,0,0
437,16,32,27,3,0,1,0,0,0
155,17,32,27,3,0,1,0,0,0
27,18,32,27,3,0,1,0,0,0
0,19,32,27,3,0,1,0,0,0
0,20,32,27,3,0,1,0,0,0
0,21,32,27,3,0,1,0,0,0
0,22,32,27,3,0,1,0,0,0
0,23,32,27,3,0,1,0,0,0
0,0,33,26,2,1,0,0,0,0
0,1,33,26,2,1,0,0,0,0
0,2,33,26,2,1,0,0,0,0
0,3,33,26,2,1,0,0,0,0
0,4,33,26,2,1,0,0,0,0
0,5,33,26,2,1,0,0,0,0
38,6,33,26,2,1,0,0,0,0
156,7,33,26,2,1,0,0,0,0
288,8,33,26,2,1,0,0,0,0
235,9,33,26,2,1,0,0,0,0
300,10,33,26,2,1,0,0,0,0
319,11,33,26,2,1,0,0,0,0
874,12,33,26,2,1,0,0,0,0
497,13,33,26,2,1,0,0,0,0
290,14,33,26,2,1,0,0,0,0
826,15,33,26,2,1,0,0,0,0
50,16,33,26,2,1,0,0,0,0
142,17,33,26,2,1,0,0,0,0
24,18,33,26,2,1,0,0,0,0
0,19,33,26,2,1,0,0,0,0
0,20,33,26,2,1,0,0,0,0
0,21,33,26,2,1,0,0,0,0
0,22,33,26,2,1,0,0,0,0
0,23,33,26,2,1,0,0,0,0
0,0,37,27,2,1,0,0,0,0
0,1,37,27,2,1,0,0,0,0
0,2,37,27,2,1,0,0,0,0
0,3,37,27,2,1,0,0,0,0
0,4,37,27,2,1,0,0,0,0
0,5,37,27,2,1,0,0,0,0
67,6,37,27,2,1,0,0,0,0
265,7,37,27,2,1,0,0,0,0
489,8,37,27,2,1,0,0,0,0
682,9,37,27,2,1,0,0,0,0
857,10,37,27,2,1,0,0,0,0
450,11,37,27,2,1,0,0,0,0
327,12,37,27,2,1,0,0,0,0
1059,13,37,27,2,1,0,0,0,0
915,14,37,27,2,1,0,0,0,0
753,15,37,27,2,1,0,0,0,0
498,16,37,27,2,1,0,0,0,0
366,17,37,27,2,1,0,0,0,0
99,18,37,27,2,1,0,0,0,0
0,19,37,27,2,1,0,0,0,0
0,20,37,27,2,1,0,0,0,0
0,21,37,27,2,1,0,0,0,0
0,22,37,27,2,1,0,0,0,0
0,23,37,27,2,1,0,0,0,0
0,0,34,27,2,0,1,0,0,0
0,1,34,27,2,0,1,0,0,0
0,2,34,27,2,0,1,0,0,0
0,3,34,27,2,0,1,0,0,0
0,4,34,27,2,0,1,0,0,0
0,5,34,27,2,0,1,0,0,0
17,6,34,27,2,0,1,0,0,0
999999,7,34,27,2,0,1,0,0,0
162,8,34,27,2,0,1,0,0,0
238,9,34,27,2,0,1,0,0,0
847,10,34,27,2,0,1,0,0,0
999999,11,34,27,2,0,1,0,0,0
999999,12,34,27,2,0,1,0,0,0
999999,13,34,27,2,0,1,0,0,0
999999,14,34,27,2,0,1,0,0,0
999999,15,34,27,2,0,1,0,0,0
999999,16,34,27,2,0,1,0,0,0
999999,17,34,27,2,0,1,0,0,0
999999,18,34,27,2,0,1,0,0,0
999999,19,34,27,2,0,1,0,0,0
999999,20,34,27,2,0,1,0,0,0
0,21,34,27,2,0,1,0,0,0
0,22,34,27,2,0,1,0,0,0
0,23,34,27,2,0,1,0,0,0
0,0,33,26,4,0,1,0,0,0
0,1,33,26,4,0,1,0,0,0
0,2,33,26,4,0,1,0,0,0
0,3,33,26,4,0,1,0,0,0
0,4,33,26,4,0,1,0,0,0
0,5,33,26,4,0,1,0,0,0
6,6,33,26,4,0,1,0,0,0
47,7,33,26,4,0,1,0,0,0
191,8,33,26,4,0,1,0,0,0
229,9,33,26,4,0,1,0,0,0
611,10,33,26,4,0,1,0,0,0
861,11,33,26,4,0,1,0,0,0
948,12,33,26,4,0,1,0,0,0
835,13,33,26,4,0,1,0,0,0
891,14,33,26,4,0,1,0,0,0
716,15,33,26,4,0,1,0,0,0
136,16,33,26,4,0,1,0,0,0
135,17,33,26,4,0,1,0,0,0
20,18,33,26,4,0,1,0,0,0
0,19,33,26,4,0,1,0,0,0
0,20,33,26,4,0,1,0,0,0
0,21,33,26,4,0,1,0,0,0
0,22,33,26,4,0,1,0,0,0
0,23,33,26,4,0,1,0,0,0
0,0,31,25,3,0,0,1,0,0
0,1,31,25,3,0,0,1,0,0
0,2,31,25,3,0,0,1,0,0
0,3,31,25,3,0,0,1,0,0
0,4,31,25,3,0,0,1,0,0
0,5,31,25,3,0,0,1,0,0
19,6,31,25,3,0,0,1,0,0
83,7,31,25,3,0,0,1,0,0
127,8,31,25,3,0,0,1,0,0
223,9,31,25,3,0,0,1,0,0
312,10,31,25,3,0,0,1,0,0
53,11,31,25,3,0,0,1,0,0
614,12,31,25,3,0,0,1,0,0
520,13,31,25,3,0,0,1,0,0
995,14,31,25,3,0,0,1,0,0
729,15,31,25,3,0,0,1,0,0
570,16,31,25,3,0,0,1,0,0
322,17,31,25,3,0,0,1,0,0
42,18,31,25,3,0,0,1,0,0
0,19,31,25,3,0,0,1,0,0
0,20,31,25,3,0,0,1,0,0
0,21,31,25,3,0,0,1,0,0
0,22,31,25,3,0,0,1,0,0
0,23,31,25,3,0,0,1,0,0
0,0,33,26,3,0,1,0,0,0
0,1,33,26,3,0,1,0,0,0
0,2,33,26,3,0,1,0,0,0
0,3,33,26,3,0,1,0,0,0
0,4,33,26,3,0,1,0,0,0
0,5,33,26,3,0,1,0,0,0
42,6,33,26,3,0,1,0,0,0
273,7,33,26,3,0,1,0,0,0
465,8,33,26,3,0,1,0,0,0
690,9,33,26,3,0,1,0,0,0
880,10,33,26,3,0,1,0,0,0
888,11,33,26,3,0,1,0,0,0
323,12,33,26,3,0,1,0,0,0
969,13,33,26,3,0,1,0,0,0
865,14,33,26,3,0,1,0,0,0
237,15,33,26,3,0,1,0,0,0
168,16,33,26,3,0,1,0,0,0
317,17,33,26,3,0,1,0,0,0
36,18,33,26,3,0,1,0,0,0
0,19,33,26,3,0,1,0,0,0
0,20,33,26,3,0,1,0,0,0
0,21,33,26,3,0,1,0,0,0
0,22,33,26,3,0,1,0,0,0
0,23,33,26,3,0,1,0,0,0
0,0,34,27,2,0,0,0,0,1
0,1,34,27,2,0,0,0,0,1
0,2,34,27,2,0,0,0,0,1
0,3,34,27,2,0,0,0,0,1
0,4,34,27,2,0,0,0,0,1
0,5,34,27,2,0,0,0,0,1
32,6,34,27,2,0,0,0,0,1
111,7,34,27,2,0,0,0,0,1
569,8,34,27,2,0,0,0,0,1
733,9,34,27,2,0,0,0,0,1
775,10,34,27,2,0,0,0,0,1
940,11,34,27,2,0,0,0,0,1
945,12,34,27,2,0,0,0,0,1
349,13,34,27,2,0,0,0,0,1
202,14,34,27,2,0,0,0,0,1
549,15,34,27,2,0,0,0,0,1
209,16,34,27,2,0,0,0,0,1
54,17,34,27,2,0,0,0,0,1
33,18,34,27,2,0,0,0,0,1
0,19,34,27,2,0,0,0,0,1
0,20,34,27,2,0,0,0,0,1
0,21,34,27,2,0,0,0,0,1
0,22,34,27,2,0,0,0,0,1
0,23,34,27,2,0,0,0,0,1
0,0,36,27,3,0,1,0,0,0
0,1,36,27,3,0,1,0,0,0
0,2,36,27,3,0,1,0,0,0
0,3,36,27,3,0,1,0,0,0
0,4,36,27,3,0,1,0,0,0
0,5,36,27,3,0,1,0,0,0
46,6,36,27,3,0,1,0,0,0
262,7,36,27,3,0,1,0,0,0
494,8,36,27,3,0,1,0,0,0
668,9,36,27,3,0,1,0,0,0
834,10,36,27,3,0,1,0,0,0
912,11,36,27,3,0,1,0,0,0
931,12,36,27,3,0,1,0,0,0
971,13,36,27,3,0,1,0,0,0
889,14,36,27,3,0,1,0,0,0
262,15,36,27,3,0,1,0,0,0
268,16,36,27,3,0,1,0,0,0
53,17,36,27,3,0,1,0,0,0
64,18,36,27,3,0,1,0,0,0
0,19,36,27,3,0,1,0,0,0
0,20,36,27,3,0,1,0,0,0
0,21,36,27,3,0,1,0,0,0
0,22,36,27,3,0,1,0,0,0
0,23,36,27,3,0,1,0,0,0
0,0,36,27,2,0,1,0,0,0
0,1,36,27,2,0,1,0,0,0
0,2,36,27,2,0,1,0,0,0
0,3,36,27,2,0,1,0,0,0
0,4,36,27,2,0,1,0,0,0
0,5,36,27,2,0,1,0,0,0
40,6,36,27,2,0,1,0,0,0
206,7,36,27,2,0,1,0,0,0
436,8,36,27,2,0,1,0,0,0
