TRI,hour,maxT,minT,windSpeed,cloudy,dark,heavy,light,medium,sun
0,1,30,26,3,0,0,1,0,0,0
0,2,30,26,3,0,0,1,0,0,0
0,3,30,26,3,0,0,1,0,0,0
0,4,30,26,3,0,0,1,0,0,0
0,5,30,26,3,0,0,1,0,0,0
0,6,30,26,3,0,0,1,0,0,0
0,7,30,26,3,0,0,1,0,0,0
0,8,30,26,3,0,0,1,0,0,0
0,9,30,26,3,0,0,1,0,0,0
205,10,30,26,3,0,0,1,0,0,0
420,11,30,26,3,0,0,1,0,0,0
648,12,30,26,3,0,0,1,0,0,0
439,13,30,26,3,0,0,1,0,0,0
220,14,30,26,3,0,0,1,0,0,0
366,15,30,26,3,0,0,1,0,0,0
240,16,30,26,3,0,0,1,0,0,0
162,17,30,26,3,0,0,1,0,0,0
39,18,30,26,3,0,0,1,0,0,0
0,19,30,26,3,0,0,1,0,0,0
0,20,30,26,3,0,0,1,0,0,0
0,21,30,26,3,0,0,1,0,0,0
0,22,30,26,3,0,0,1,0,0,0
0,23,30,26,3,0,0,1,0,0,0
0,0,34,26,1,0,1,0,0,0,0
0,1,34,26,1,0,1,0,0,0,0
0,2,34,26,1,0,1,0,0,0,0
0,3,34,26,1,0,1,0,0,0,0
0,4,34,26,1,0,1,0,0,0,0
0,5,34,26,1,0,1,0,0,0,0
2,6,34,26,1,0,1,0,0,0,0
74,7,34,26,1,0,1,0,0,0,0
267,8,34,26,1,0,1,0,0,0,0
671,9,34,26,1,0,1,0,0,0,0
806,10,34,26,1,0,1,0,0,0,0
934,11,34,26,1,0,1,0,0,0,0
734,12,34,26,1,0,1,0,0,0,0
593,13,34,26,1,0,1,0,0,0,0
394,14,34,26,1,0,1,0,0,0,0
196,15,34,26,1,0,1,0,0,0,0
161,16,34,26,1,0,1,0,0,0,0
39,17,34,26,1,0,1,0,0,0,0
17,18,34,26,1,0,1,0,0,0,0
0,19,34,26,1,0,1,0,0,0,0
0,20,34,26,1,0,1,0,0,0,0
0,21,34,26,1,0,1,0,0,0,0
0,22,34,26,1,0,1,0,0,0,0
0,23,34,26,1,0,1,0,0,0,0
0,0,35,27,1,0,1,0,0,0,0
0,1,35,27,1,0,1,0,0,0,0
0,2,35,27,1,0,1,0,0,0,0
0,3,35,27,1,0,1,0,0,0,0
0,4,35,27,1,0,1,0,0,0,0
0,5,35,27,1,0,1,0,0,0,0
51,6,35,27,1,0,1,0,0,0,0
158,7,35,27,1,0,1,0,0,0,0
443,8,35,27,1,0,1,0,0,0,0
483,9,35,27,1,0,1,0,0,0,0
813,10,35,27,1,0,1,0,0,0,0
596,11,35,27,1,0,1,0,0,0,0
967,12,35,27,1,0,1,0,0,0,0
934,13,35,27,1,0,1,0,0,0,0
681,14,35,27,1,0,1,0,0,0,0
335,15,35,27,1,0,1,0,0,0,0
199,16,35,27,1,0,1,0,0,0,0
135,17,35,27,1,0,1,0,0,0,0
45,18,35,27,1,0,1,0,0,0,0
0,19,35,27,1,0,1,0,0,0,0
0,20,35,27,1,0,1,0,0,0,0
0,21,35,27,1,0,1,0,0,0,0
0,22,35,27,1,0,1,0,0,0,0
0,23,35,27,1,0,1,0,0,0,0
0,0,36,27,2,1,0,0,0,0,0
0,1,36,27,2,1,0,0,0,0,0
0,2,36,27,2,1,0,0,0,0,0
0,3,36,27,2,1,0,0,0,0,0
0,4,36,27,2,1,0,0,0,0,0
0,5,36,27,2,1,0,0,0,0,0
45,6,36,27,2,1,0,0,0,0,0
210,7,36,27,2,1,0,0,0,0,0
427,8,36,27,2,1,0,0,0,0,0
619,9,36,27,2,1,0,0,0,0,0
791,10,36,27,2,1,0,0,0,0,0
933,11,36,27,2,1,0,0,0,0,0
916,12,36,27,2,1,0,0,0,0,0
786,13,36,27,2,1,0,0,0,0,0
863,14,36,27,2,1,0,0,0,0,0
387,15,36,27,2,1,0,0,0,0,0
245,16,36,27,2,1,0,0,0,0,0
330,17,36,27,2,1,0,0,0,0,0
98,18,36,27,2,1,0,0,0,0,0
0,19,36,27,2,1,0,0,0,0,0
0,20,36,27,2,1,0,0,0,0,0
0,21,36,27,2,1,0,0,0,0,0
0,22,36,27,2,1,0,0,0,0,0
0,23,36,27,2,1,0,0,0,0,0
0,0,34,27,2,0,0,0,1,0,0
