TRI,hour,maxT,minT,windSpeed,cloudy,dark,heavy,light,medium,sun
0,1,27,20,1,0,1,0,0,0,0
0,2,27,20,1,0,1,0,0,0,0
0,3,27,20,1,0,1,0,0,0,0
0,4,27,20,1,0,1,0,0,0,0
0,5,27,20,1,0,1,0,0,0,0
23,6,27,20,1,0,1,0,0,0,0
140,7,27,20,1,0,1,0,0,0,0
122,8,27,20,1,0,1,0,0,0,0
534,9,27,20,1,0,1,0,0,0,0
560,10,27,20,1,0,1,0,0,0,0
575,11,27,20,1,0,1,0,0,0,0
614,12,27,20,1,0,1,0,0,0,0
572,13,27,20,1,0,1,0,0,0,0
666,14,27,20,1,0,1,0,0,0,0
166,15,27,20,1,0,1,0,0,0,0
280,16,27,20,1,0,1,0,0,0,0
85,17,27,20,1,0,1,0,0,0,0
16,18,27,20,1,0,1,0,0,0,0
0,19,27,20,1,0,1,0,0,0,0
0,20,27,20,1,0,1,0,0,0,0
0,21,27,20,1,0,1,0,0,0,0
0,22,27,20,1,0,1,0,0,0,0
0,23,27,20,1,0,1,0,0,0,0
0,0,25,21,2,0,1,0,0,0,0
0,1,25,21,2,0,1,0,0,0,0
0,2,25,21,2,0,1,0,0,0,0
0,3,25,21,2,0,1,0,0,0,0
0,4,25,21,2,0,1,0,0,0,0
0,5,25,21,2,0,1,0,0,0,0
36,6,25,21,2,0,1,0,0,0,0
140,7,25,21,2,0,1,0,0,0,0
265,8,25,21,2,0,1,0,0,0,0
617,9,25,21,2,0,1,0,0,0,0
1027,10,25,21,2,0,1,0,0,0,0
139,11,25,21,2,0,1,0,0,0,0
67,12,25,21,2,0,1,0,0,0,0
206,13,25,21,2,0,1,0,0,0,0
122,14,25,21,2,0,1,0,0,0,0
66,15,25,21,2,0,1,0,0,0,0
249,16,25,21,2,0,1,0,0,0,0
140,17,25,21,2,0,1,0,0,0,0
48,18,25,21,2,0,1,0,0,0,0
0,19,25,21,2,0,1,0,0,0,0
0,20,25,21,2,0,1,0,0,0,0
0,21,25,21,2,0,1,0,0,0,0
0,22,25,21,2,0,1,0,0,0,0
0,23,25,21,2,0,1,0,0,0,0
0,0,27,22,4,0,1,0,0,0,0
0,1,27,22,4,0,1,0,0,0,0
0,2,27,22,4,0,1,0,0,0,0
0,3,27,22,4,0,1,0,0,0,0
0,4,27,22,4,0,1,0,0,0,0
0,5,27,22,4,0,1,0,0,0,0
25,6,27,22,4,0,1,0,0,0,0
38,7,27,22,4,0,1,0,0,0,0
87,8,27,22,4,0,1,0,0,0,0
198,9,27,22,4,0,1,0,0,0,0
100,10,27,22,4,0,1,0,0,0,0
426,11,27,22,4,0,1,0,0,0,0
327,12,27,22,4,0,1,0,0,0,0
777,13,27,22,4,0,1,0,0,0,0
678,14,27,22,4,0,1,0,0,0,0
700,15,27,22,4,0,1,0,0,0,0
277,16,27,22,4,0,1,0,0,0,0
254,17,27,22,4,0,1,0,0,0,0
119,18,27,22,4,0,1,0,0,0,0
0,19,27,22,4,0,1,0,0,0,0
0,20,27,22,4,0,1,0,0,0,0
0,21,27,22,4,0,1,0,0,0,0
0,22,27,22,4,0,1,0,0,0,0
0,23,27,22,4,0,1,0,0,0,0
0,0,29,22,2,0,1,0,0,0,0
0,1,29,22,2,0,1,0,0,0,0
0,2,29,22,2,0,1,0,0,0,0
0,3,29,22,2,0,1,0,0,0,0
0,4,29,22,2,0,1,0,0,0,0
0,5,29,22,2,0,1,0,0,0,0
74,6,29,22,2,0,1,0,0,0,0
220,7,29,22,2,0,1,0,0,0,0
178,8,29,22,2,0,1,0,0,0,0
802,9,29,22,2,0,1,0,0,0,0
241,10,29,22,2,0,1,0,0,0,0
1203,11,29,22,2,0,1,0,0,0,0
961,12,29,22,2,0,1,0,0,0,0
776,13,29,22,2,0,1,0,0,0,0
270,14,29,22,2,0,1,0,0,0,0
780,15,29,22,2,0,1,0,0,0,0
588,16,29,22,2,0,1,0,0,0,0
422,17,29,22,2,0,1,0,0,0,0
111,18,29,22,2,0,1,0,0,0,0
0,19,29,22,2,0,1,0,0,0,0
0,20,29,22,2,0,1,0,0,0,0
0,21,29,22,2,0,1,0,0,0,0
0,22,29,22,2,0,1,0,0,0,0
0,23,29,22,2,0,1,0,0,0,0
0,0,30,21,1,0,1,0,0,0,0
0,1,30,21,1,0,1,0,0,0,0
0,2,30,21,1,0,1,0,0,0,0
0,3,30,21,1,0,1,0,0,0,0
0,4,30,21,1,0,1,0,0,0,0
0,5,30,21,1,0,1,0,0,0,0
7,6,30,21,1,0,1,0,0,0,0
53,7,30,21,1,0,1,0,0,0,0
350,8,30,21,1,0,1,0,0,0,0
431,9,30,21,1,0,1,0,0,0,0
432,10,30,21,1,0,1,0,0,0,0
514,11,30,21,1,0,1,0,0,0,0
459,12,30,21,1,0,1,0,0,0,0
1089,13,30,21,1,0,1,0,0,0,0
834,14,30,21,1,0,1,0,0,0,0
69,15,30,21,1,0,1,0,0,0,0
192,16,30,21,1,0,1,0,0,0,0
127,17,30,21,1,0,1,0,0,0,0
54,18,30,21,1,0,1,0,0,0,0
0,19,30,21,1,0,1,0,0,0,0
0,20,30,21,1,0,1,0,0,0,0
0,21,30,21,1,0,1,0,0,0,0
0,22,30,21,1,0,1,0,0,0,0
0,23,30,21,1,0,1,0,0,0,0
0,0,26,21,2,0,0,0,1,0,0
0,1,26,21,2,0,0,0,1,0,0
0,2,26,21,2,0,0,0,1,0,0
0,3,26,21,2,0,0,0,1,0,0
0,4,26,21,2,0,0,0,1,0,0
0,5,26,21,2,0,0,0,1,0,0
32,6,26,21,2,0,0,0,1,0,0
107,7,26,21,2,0,0,0,1,0,0
380,8,26,21,2,0,0,0,1,0,0
351,9,26,21,2,0,0,0,1,0,0
321,10,26,21,2,0,0,0,1,0,0
725,11,26,21,2,0,0,0,1,0,0
413,12,26,21,2,0,0,0,1,0,0
608,13,26,21,2,0,0,0,1,0,0
832,14,26,21,2,0,0,0,1,0,0
423,15,26,21,2,0,0,0,1,0,0
148,16,26,21,2,0,0,0,1,0,0
42,17,26,21,2,0,0,0,1,0,0
44,18,26,21,2,0,0,0,1,0,0
0,19,26,21,2,0,0,0,1,0,0
0,20,26,21,2,0,0,0,1,0,0
0,21,26,21,2,0,0,0,1,0,0
0,22,26,21,2,0,0,0,1,0,0
0,23,26,21,2,0,0,0,1,0,0
0,0,29,21,2,0,1,0,0,0,0
0,1,29,21,2,0,1,0,0,0,0
0,2,29,21,2,0,1,0,0,0,0
0,3,29,21,2,0,1,0,0,0,0
0,4,29,21,2,0,1,0,0,0,0
0,5,29,21,2,0,1,0,0,0,0
38,6,29,21,2,0,1,0,0,0,0
193,7,29,21,2,0,1,0,0,0,0
382,8,29,21,2,0,1,0,0,0,0
238,9,29,21,2,0,1,0,0,0,0
1019,10,29,21,2,0,1,0,0,0,0
987,11,29,21,2,0,1,0,0,0,0
603,12,29,21,2,0,1,0,0,0,0
264,13,29,21,2,0,1,0,0,0,0
591,14,29,21,2,0,1,0,0,0,0
814,15,29,21,2,0,1,0,0,0,0
553,16,29,21,2,0,1,0,0,0,0
30,17,29,21,2,0,1,0,0,0,0
42,18,29,21,2,0,1,0,0,0,0
0,19,29,21,2,0,1,0,0,0,0
0,20,29,21,2,0,1,0,0,0,0
0,21,29,21,2,0,1,0,0,0,0
0,22,29,21,2,0,1,0,0,0,0
0,23,29,21,2,0,1,0,0,0,0
0,0,28,22,4,0,0,0,1,0,0
0,1,28,22,4,0,0,0,1,0,0
0,2,28,22,4,0,0,0,1,0,0
0,3,28,22,4,0,0,0,1,0,0
0,4,28,22,4,0,0,0,1,0,0
0,5,28,22,4,0,0,0,1,0,0
24,6,28,22,4,0,0,0,1,0,0
73,7,28,22,4,0,0,0,1,0,0
172,8,28,22,4,0,0,0,1,0,0
254,9,28,22,4,0,0,0,1,0,0
345,10,28,22,4,0,0,0,1,0,0
550,11,28,22,4,0,0,0,1,0,0
455,12,28,22,4,0,0,0,1,0,0
601,13,28,22,4,0,0,0,1,0,0
833,14,28,22,4,0,0,0,1,0,0
259,15,28,22,4,0,0,0,1,0,0
227,16,28,22,4,0,0,0,1,0,0
348,17,28,22,4,0,0,0,1,0,0
166,18,28,22,4,0,0,0,1,0,0
0,19,28,22,4,0,0,0,1,0,0
0,20,28,22,4,0,0,0,1,0,0
0,21,28,22,4,0,0,0,1,0,0
0,22,28,22,4,0,0,0,1,0,0
0,23,28,22,4,0,0,0,1,0,0
0,0,28,22,3,0,1,0,0,0,0
0,1,28,22,3,0,1,0,0,0,0
0,2,28,22,3,0,1,0,0,0,0
0,3,28,22,3,0,1,0,0,0,0
0,4,28,22,3,0,1,0,0,0,0
0,5,28,22,3,0,1,0,0,0,0
13,6,28,22,3,0,1,0,0,0,0
108,7,28,22,3,0,1,0,0,0,0
297,8,28,22,3,0,1,0,0,0,0
263,9,28,22,3,0,1,0,0,0,0
289,10,28,22,3,0,1,0,0,0,0
815,11,28,22,3,0,1,0,0,0,0
465,12,28,22,3,0,1,0,0,0,0
691,13,28,22,3,0,1,0,0,0,0
261,14,28,22,3,0,1,0,0,0,0
578,15,28,22,3,0,1,0,0,0,0
581,16,28,22,3,0,1,0,0,0,0
212,17,28,22,3,0,1,0,0,0,0
66,18,28,22,3,0,1,0,0,0,0
0,19,28,22,3,0,1,0,0,0,0
0,20,28,22,3,0,1,0,0,0,0
0,21,28,22,3,0,1,0,0,0,0
0,22,28,22,3,0,1,0,0,0,0
0,23,28,22,3,0,1,0,0,0,0
0,0,27,21,1,0,0,0,1,0,0
0,1,27,21,1,0,0,0,1,0,0
0,2,27,21,1,0,0,0,1,0,0
0,3,27,21,1,0,0,0,1,0,0
0,4,27,21,1,0,0,0,1,0,0
0,5,27,21,1,0,0,0,1,0,0
23,6,27,21,1,0,0,0,1,0,0
74,7,27,21,1,0,0,0,1,0,0
123,8,27,21,1,0,0,0,1,0,0
397,9,27,21,1,0,0,0,1,0,0
331,10,27,21,1,0,0,0,1,0,0
669,11,27,21,1,0,0,0,1,0,0
827,12,27,21,1,0,0,0,1,0,0
242,13,27,21,1,0,0,0,1,0,0
102,14,27,21,1,0,0,0,1,0,0
329,15,27,21,1,0,0,0,1,0,0
154,16,27,21,1,0,0,0,1,0,0
101,17,27,21,1,0,0,0,1,0,0
25,18,27,21,1,0,0,0,1,0,0
0,19,27,21,1,0,0,0,1,0,0
0,20,27,21,1,0,0,0,1,0,0
0,21,27,21,1,0,0,0,1,0,0
0,22,27,21,1,0,0,0,1,0,0
0,23,27,21,1,0,0,0,1,0,0
0,0,27,21,3,1,0,0,0,0,0
0,1,27,21,3,1,0,0,0,0,0
0,2,27,21,3,1,0,0,0,0,0
0,3,27,21,3,1,0,0,0,0,0
0,4,27,21,3,1,0,0,0,0,0
0,5,27,21,3,1,0,0,0,0,0
24,6,27,21,3,1,0,0,0,0,0
226,7,27,21,3,1,0,0,0,0,0
265,8,27,21,3,1,0,0,0,0,0
241,9,27,21,3,1,0,0,0,0,0
1024,10,27,21,3,1,0,0,0,0,0
290,11,27,21,3,1,0,0,0,0,0
557,12,27,21,3,1,0,0,0,0,0
193,13,27,21,3,1,0,0,0,0,0
151,14,27,21,3,1,0,0,0,0,0
541,15,27,21,3,1,0,0,0,0,0
189,16,27,21,3,1,0,0,0,0,0
480,17,27,21,3,1,0,0,0,0,0
113,18,27,21,3,1,0,0,0,0,0
0,19,27,21,3,1,0,0,0,0,0
0,20,27,21,3,1,0,0,0,0,0
0,21,27,21,3,1,0,0,0,0,0
0,22,27,21,3,1,0,0,0,0,0
0,23,27,21,3,1,0,0,0,0,0
0,0,29,21,4,0,1,0,0,0,0
0,1,29,21,4,0,1,0,0,0,0
0,2,29,21,4,0,1,0,0,0,0
0,3,29,21,4,0,1,0,0,0,0
0,4,29,21,4,0,1,0,0,0,0
0,5,29,21,4,0,1,0,0,0,0
80,6,29,21,4,0,1,0,0,0,0
49,7,29,21,4,0,1,0,0,0,0
185,8,29,21,4,0,1,0,0,0,0
299,9,29,21,4,0,1,0,0,0,0
957,10,29,21,4,0,1,0,0,0,0
1070,11,29,21,4,0,1,0,0,0,0
362,12,29,21,4,0,1,0,0,0,0
945,13,29,21,4,0,1,0,0,0,0
967,14,29,21,4,0,1,0,0,0,0
757,15,29,21,4,0,1,0,0,0,0
598,16,29,21,4,0,1,0,0,0,0
331,17,29,21,4,0,1,0,0,0,0
119,18,29,21,4,0,1,0,0,0,0
0,19,29,21,4,0,1,0,0,0,0
0,20,29,21,4,0,1,0,0,0,0
0,21,29,21,4,0,1,0,0,0,0
0,22,29,21,4,0,1,0,0,0,0
0,23,29,21,4,0,1,0,0,0,0
0,0,28,22,2,0,1,0,0,0,0
0,1,28,22,2,0,1,0,0,0,0
0,2,28,22,2,0,1,0,0,0,0
0,3,28,22,2,0,1,0,0,0,0
0,4,28,22,2,0,1,0,0,0,0
0,5,28,22,2,0,1,0,0,0,0
24,6,28,22,2,0,1,0,0,0,0
224,7,28,22,2,0,1,0,0,0,0
642,8,28,22,2,0,1,0,0,0,0
492,9,28,22,2,0,1,0,0,0,0
423,10,28,22,2,0,1,0,0,0,0
1194,11,28,22,2,0,1,0,0,0,0
706,12,28,22,2,0,1,0,0,0,0
1170,13,28,22,2,0,1,0,0,0,0
1057,14,28,22,2,0,1,0,0,0,0
839,15,28,22,2,0,1,0,0,0,0
572,16,28,22,2,0,1,0,0,0,0
171,17,28,22,2,0,1,0,0,0,0
119,18,28,22,2,0,1,0,0,0,0
0,19,28,22,2,0,1,0,0,0,0
0,20,28,22,2,0,1,0,0,0,0
0,21,28,22,2,0,1,0,0,0,0
0,22,28,22,2,0,1,0,0,0,0
0,23,28,22,2,0,1,0,0,0,0
0,0,28,22,3,0,1,0,0,0,0
0,1,28,22,3,0,1,0,0,0,0
0,2,28,22,3,0,1,0,0,0,0
0,3,28,22,3,0,1,0,0,0,0
0,4,28,22,3,0,1,0,0,0,0
0,5,28,22,3,0,1,0,0,0,0
19,6,28,22,3,0,1,0,0,0,0
286,7,28,22,3,0,1,0,0,0,0
402,8,28,22,3,0,1,0,0,0,0
324,9,28,22,3,0,1,0,0,0,0
443,10,28,22,3,0,1,0,0,0,0
375,11,28,22,3,0,1,0,0,0,0
423,12,28,22,3,0,1,0,0,0,0
1135,13,28,22,3,0,1,0,0,0,0
266,14,28,22,3,0,1,0,0,0,0
332,15,28,22,3,0,1,0,0,0,0
154,16,28,22,3,0,1,0,0,0,0
330,17,28,22,3,0,1,0,0,0,0
112,18,28,22,3,0,1,0,0,0,0
0,19,28,22,3,0,1,0,0,0,0
0,20,28,22,3,0,1,0,0,0,0
0,21,28,22,3,0,1,0,0,0,0
0,22,28,22,3,0,1,0,0,0,0
0,23,28,22,3,0,1,0,0,0,0
0,0,29,22,4,0,1,0,0,0,0
0,1,29,22,4,0,1,0,0,0,0
0,2,29,22,4,0,1,0,0,0,0
0,3,29,22,4,0,1,0,0,0,0
0,4,29,22,4,0,1,0,0,0,0
0,5,29,22,4,0,1,0,0,0,0
56,6,29,22,4,0,1,0,0,0,0
195,7,29,22,4,0,1,0,0,0,0
197,8,29,22,4,0,1,0,0,0,0
746,9,29,22,4,0,1,0,0,0,0
811,10,29,22,4,0,1,0,0,0,0
451,11,29,22,4,0,1,0,0,0,0
1189,12,29,22,4,0,1,0,0,0,0
971,13,29,22,4,0,1,0,0,0,0
863,14,29,22,4,0,1,0,0,0,0
213,15,29,22,4,0,1,0,0,0,0
562,16,29,22,4,0,1,0,0,0,0
326,17,29,22,4,0,1,0,0,0,0
