TRI,hour,maxT,minT,windSpeed,cloudy,dark,heavy,light,medium,other,sun
0,1,32,23,1,1,0,0,0,0,0,0
0,2,32,23,1,1,0,0,0,0,0,0
0,3,32,23,1,1,0,0,0,0,0,0
0,4,32,23,1,1,0,0,0,0,0,0
0,5,32,23,1,1,0,0,0,0,0,0
80,6,32,23,1,1,0,0,0,0,0,0
233,7,32,23,1,1,0,0,0,0,0,0
433,8,32,23,1,1,0,0,0,0,0,0
612,9,32,23,1,1,0,0,0,0,0,0
741,10,32,23,1,1,0,0,0,0,0,0
875,11,32,23,1,1,0,0,0,0,0,0
884,12,32,23,1,1,0,0,0,0,0,0
896,13,32,23,1,1,0,0,0,0,0,0
822,14,32,23,1,1,0,0,0,0,0,0
684,15,32,23,1,1,0,0,0,0,0,0
491,16,32,23,1,1,0,0,0,0,0,0
285,17,32,23,1,1,0,0,0,0,0,0
106,18,32,23,1,1,0,0,0,0,0,0
7,19,32,23,1,1,0,0,0,0,0,0
0,20,32,23,1,1,0,0,0,0,0,0
0,21,32,23,1,1,0,0,0,0,0,0
0,22,32,23,1,1,0,0,0,0,0,0
0,23,32,23,1,1,0,0,0,0,0,0
0,0,33,24,1,1,0,0,0,0,0,0
0,1,33,24,1,1,0,0,0,0,0,0
0,2,33,24,1,1,0,0,0,0,0,0
0,3,33,24,1,1,0,0,0,0,0,0
0,4,33,24,1,1,0,0,0,0,0,0
0,5,33,24,1,1,0,0,0,0,0,0
79,6,33,24,1,1,0,0,0,0,0,0
243,7,33,24,1,1,0,0,0,0,0,0
424,8,33,24,1,1,0,0,0,0,0,0
614,9,33,24,1,1,0,0,0,0,0,0
420,10,33,24,1,1,0,0,0,0,0,0
881,11,33,24,1,1,0,0,0,0,0,0
890,12,33,24,1,1,0,0,0,0,0,0
537,13,33,24,1,1,0,0,0,0,0,0
702,14,33,24,1,1,0,0,0,0,0,0
517,15,33,24,1,1,0,0,0,0,0,0
320,16,33,24,1,1,0,0,0,0,0,0
286,17,33,24,1,1,0,0,0,0,0,0
76,18,33,24,1,1,0,0,0,0,0,0
9,19,33,24,1,1,0,0,0,0,0,0
0,20,33,24,1,1,0,0,0,0,0,0
0,21,33,24,1,1,0,0,0,0,0,0
0,22,33,24,1,1,0,0,0,0,0,0
0,23,33,24,1,1,0,0,0,0,0,0
0,0,31,24,3,0,1,0,0,0,0,0
0,1,31,24,3,0,1,0,0,0,0,0
0,2,31,24,3,0,1,0,0,0,0,0
0,3,31,24,3,0,1,0,0,0,0,0
0,4,31,24,3,0,1,0,0,0,0,0
0,5,31,24,3,0,1,0,0,0,0,0
40,6,31,24,3,0,1,0,0,0,0,0
206,7,31,24,3,0,1,0,0,0,0,0
431,8,31,24,3,0,1,0,0,0,0,0
548,9,31,24,3,0,1,0,0,0,0,0
570,10,31,24,3,0,1,0,0,0,0,0
663,11,31,24,3,0,1,0,0,0,0,0
