TRI,hour,maxT,minT,windSpeed,cloudy,dark,heavy,light,medium
0,1,25,17,1,0,0,0,1,0
0,2,25,17,1,0,0,0,1,0
0,3,25,17,1,0,0,0,1,0
0,4,25,17,1,0,0,0,1,0
12,5,25,17,1,0,0,0,1,0
60,6,25,17,1,0,0,0,1,0
147,7,25,17,1,0,0,0,1,0
193,8,25,17,1,0,0,0,1,0
338,9,25,17,1,0,0,0,1,0
456,10,25,17,1,0,0,0,1,0
394,11,25,17,1,0,0,0,1,0
861,12,25,17,1,0,0,0,1,0
542,13,25,17,1,0,0,0,1,0
188,14,25,17,1,0,0,0,1,0
131,15,25,17,1,0,0,0,1,0
41,16,25,17,1,0,0,0,1,0
57,17,25,17,1,0,0,0,1,0
30,18,25,17,1,0,0,0,1,0
16,19,25,17,1,0,0,0,1,0
0,20,25,17,1,0,0,0,1,0
0,21,25,17,1,0,0,0,1,0
0,22,25,17,1,0,0,0,1,0
0,23,25,17,1,0,0,0,1,0
0,0,27,18,2,0,1,0,0,0
0,1,27,18,2,0,1,0,0,0
0,2,27,18,2,0,1,0,0,0
0,3,27,18,2,0,1,0,0,0
0,4,27,18,2,0,1,0,0,0
19,5,27,18,2,0,1,0,0,0
110,6,27,18,2,0,1,0,0,0
245,7,27,18,2,0,1,0,0,0
410,8,27,18,2,0,1,0,0,0
463,9,27,18,2,0,1,0,0,0
917,10,27,18,2,0,1,0,0,0
291,11,27,18,2,0,1,0,0,0
1076,12,27,18,2,0,1,0,0,0
754,13,27,18,2,0,1,0,0,0
550,14,27,18,2,0,1,0,0,0
162,15,27,18,2,0,1,0,0,0
76,16,27,18,2,0,1,0,0,0
173,17,27,18,2,0,1,0,0,0
121,18,27,18,2,0,1,0,0,0
45,19,27,18,2,0,1,0,0,0
0,20,27,18,2,0,1,0,0,0
0,21,27,18,2,0,1,0,0,0
0,22,27,18,2,0,1,0,0,0
0,23,27,18,2,0,1,0,0,0
0,0,26,19,2,0,1,0,0,0
0,1,26,19,2,0,1,0,0,0
0,2,26,19,2,0,1,0,0,0
0,3,26,19,2,0,1,0,0,0
0,4,26,19,2,0,1,0,0,0
51,5,26,19,2,0,1,0,0,0
79,6,26,19,2,0,1,0,0,0
156,7,26,19,2,0,1,0,0,0
202,8,26,19,2,0,1,0,0,0
391,9,26,19,2,0,1,0,0,0
449,10,26,19,2,0,1,0,0,0
388,11,26,19,2,0,1,0,0,0
260,12,26,19,2,0,1,0,0,0
250,13,26,19,2,0,1,0,0,0
338,14,26,19,2,0,1,0,0,0
139,15,26,19,2,0,1,0,0,0
153,16,26,19,2,0,1,0,0,0
109,17,26,19,2,0,1,0,0,0
78,18,26,19,2,0,1,0,0,0
18,19,26,19,2,0,1,0,0,0
0,20,26,19,2,0,1,0,0,0
0,21,26,19,2,0,1,0,0,0
0,22,26,19,2,0,1,0,0,0
0,23,26,19,2,0,1,0,0,0
0,0,27,20,1,0,0,0,0,1
0,1,27,20,1,0,0,0,0,1
0,2,27,20,1,0,0,0,0,1
0,3,27,20,1,0,0,0,0,1
