TRI,hour,maxT,minT,windSpeed,cloudy,dark,light,medium,sun
0,1,34,19,1,0,1,0,0,0
0,2,34,19,1,0,1,0,0,0
0,3,34,19,1,0,1,0,0,0
0,4,34,19,1,0,1,0,0,0
7,5,34,19,1,0,1,0,0,0
75,6,34,19,1,0,1,0,0,0
156,7,34,19,1,0,1,0,0,0
466,8,34,19,1,0,1,0,0,0
416,9,34,19,1,0,1,0,0,0
792,10,34,19,1,0,1,0,0,0
886,11,34,19,1,0,1,0,0,0
940,12,34,19,1,0,1,0,0,0
951,13,34,19,1,0,1,0,0,0
900,14,34,19,1,0,1,0,0,0
414,15,34,19,1,0,1,0,0,0
296,16,34,19,1,0,1,0,0,0
205,17,34,19,1,0,1,0,0,0
178,18,34,19,1,0,1,0,0,0
18,19,34,19,1,0,1,0,0,0
0,20,34,19,1,0,1,0,0,0
0,21,34,19,1,0,1,0,0,0
0,22,34,19,1,0,1,0,0,0
0,23,34,19,1,0,1,0,0,0
0,0,33,20,3,0,1,0,0,0
0,1,33,20,3,0,1,0,0,0
0,2,33,20,3,0,1,0,0,0
0,3,33,20,3,0,1,0,0,0
0,4,33,20,3,0,1,0,0,0
10,5,33,20,3,0,1,0,0,0
93,6,33,20,3,0,1,0,0,0
215,7,33,20,3,0,1,0,0,0
394,8,33,20,3,0,1,0,0,0
492,9,33,20,3,0,1,0,0,0
619,10,33,20,3,0,1,0,0,0
784,11,33,20,3,0,1,0,0,0
980,12,33,20,3,0,1,0,0,0
601,13,33,20,3,0,1,0,0,0
471,14,33,20,3,0,1,0,0,0
270,15,33,20,3,0,1,0,0,0
184,16,33,20,3,0,1,0,0,0
173,17,33,20,3,0,1,0,0,0
64,18,33,20,3,0,1,0,0,0
6,19,33,20,3,0,1,0,0,0
0,20,33,20,3,0,1,0,0,0
0,21,33,20,3,0,1,0,0,0
0,22,33,20,3,0,1,0,0,0
0,23,33,20,3,0,1,0,0,0
0,0,27,19,2,0,1,0,0,0
0,1,27,19,2,0,1,0,0,0
0,2,27,19,2,0,1,0,0,0
0,3,27,19,2,0,1,0,0,0
0,4,27,19,2,0,1,0,0,0
0,5,27,19,2,0,1,0,0,0
37,6,27,19,2,0,1,0,0,0
112,7,27,19,2,0,1,0,0,0
178,8,27,19,2,0,1,0,0,0
305,9,27,19,2,0,1,0,0,0
398,10,27,19,2,0,1,0,0,0
425,11,27,19,2,0,1,0,0,0
283,12,27,19,2,0,1,0,0,0
334,13,27,19,2,0,1,0,0,0
156,14,27,19,2,0,1,0,0,0
164,15,27,19,2,0,1,0,0,0
274,16,27,19,2,0,1,0,0,0
94,17,27,19,2,0,1,0,0,0
43,18,27,19,2,0,1,0,0,0
9,19,27,19,2,0,1,0,0,0
0,20,27,19,2,0,1,0,0,0
0,21,27,19,2,0,1,0,0,0
0,22,27,19,2,0,1,0,0,0
0,23,27,19,2,0,1,0,0,0
0,0,31,20,2,1,0,0,0,0
0,1,31,20,2,1,0,0,0,0
0,2,31,20,2,1,0,0,0,0
0,3,31,20,2,1,0,0,0,0
0,4,31,20,2,1,0,0,0,0
5,5,31,20,2,1,0,0,0,0
80,6,31,20,2,1,0,0,0,0
211,7,31,20,2,1,0,0,0,0
429,8,31,20,2,1,0,0,0,0
669,9,31,20,2,1,0,0,0,0
891,10,31,20,2,1,0,0,0,0
726,11,31,20,2,1,0,0,0,0
949,12,31,20,2,1,0,0,0,0
934,13,31,20,2,1,0,0,0,0
773,14,31,20,2,1,0,0,0,0
441,15,31,20,2,1,0,0,0,0
498,16,31,20,2,1,0,0,0,0
319,17,31,20,2,1,0,0,0,0
75,18,31,20,2,1,0,0,0,0
10,19,31,20,2,1,0,0,0,0
0,20,31,20,2,1,0,0,0,0
0,21,31,20,2,1,0,0,0,0
0,22,31,20,2,1,0,0,0,0
0,23,31,20,2,1,0,0,0,0
0,0,34,20,3,1,0,0,0,0
0,1,34,20,3,1,0,0,0,0
0,2,34,20,3,1,0,0,0,0
0,3,34,20,3,1,0,0,0,0
0,4,34,20,3,1,0,0,0,0
