TRI,hour,maxT,minT,windSpeed,cloudy,dark,light,sun
0,1,29,14,2,1,0,0,0
0,2,29,14,2,1,0,0,0
0,3,29,14,2,1,0,0,0
0,4,29,14,2,1,0,0,0
4,5,29,14,2,1,0,0,0
158,6,29,14,2,1,0,0,0
397,7,29,14,2,1,0,0,0
574,8,29,14,2,1,0,0,0
750,9,29,14,2,1,0,0,0
896,10,29,14,2,1,0,0,0
993,11,29,14,2,1,0,0,0
1028,12,29,14,2,1,0,0,0
1018,13,29,14,2,1,0,0,0
525,14,29,14,2,1,0,0,0
818,15,29,14,2,1,0,0,0
429,16,29,14,2,1,0,0,0
315,17,29,14,2,1,0,0,0
79,18,29,14,2,1,0,0,0
5,19,29,14,2,1,0,0,0
0,20,29,14,2,1,0,0,0
0,21,29,14,2,1,0,0,0
0,22,29,14,2,1,0,0,0
0,23,29,14,2,1,0,0,0
0,0,30,17,1,1,0,0,0
0,1,30,17,1,1,0,0,0
0,2,30,17,1,1,0,0,0
0,3,30,17,1,1,0,0,0
0,4,30,17,1,1,0,0,0
6,5,30,17,1,1,0,0,0
127,6,30,17,1,1,0,0,0
315,7,30,17,1,1,0,0,0
559,8,30,17,1,1,0,0,0
659,9,30,17,1,1,0,0,0
918,10,30,17,1,1,0,0,0
1009,11,30,17,1,1,0,0,0
1034,12,30,17,1,1,0,0,0
1011,13,30,17,1,1,0,0,0
930,14,30,17,1,1,0,0,0
803,15,30,17,1,1,0,0,0
623,16,30,17,1,1,0,0,0
423,17,30,17,1,1,0,0,0
208,18,30,17,1,1,0,0,0
6,19,30,17,1,1,0,0,0
0,20,30,17,1,1,0,0,0
0,21,30,17,1,1,0,0,0
0,22,30,17,1,1,0,0,0
0,23,30,17,1,1,0,0,0
0,0,32,18,1,1,0,0,0
0,1,32,18,1,1,0,0,0
0,2,32,18,1,1,0,0,0
0,3,32,18,1,1,0,0,0
0,4,32,18,1,1,0,0,0
3,5,32,18,1,1,0,0,0
158,6,32,18,1,1,0,0,0
351,7,32,18,1,1,0,0,0
572,8,32,18,1,1,0,0,0
658,9,32,18,1,1,0,0,0
858,10,32,18,1,1,0,0,0
1063,11,32,18,1,1,0,0,0
1032,12,32,18,1,1,0,0,0
955,13,32,18,1,1,0,0,0
835,14,32,18,1,1,0,0,0
608,15,32,18,1,1,0,0,0
225,16,32,18,1,1,0,0,0
144,17,32,18,1,1,0,0,0
49,18,32,18,1,1,0,0,0
0,19,32,18,1,1,0,0,0
0,20,32,18,1,1,0,0,0
0,21,32,18,1,1,0,0,0
0,22,32,18,1,1,0,0,0
0,23,32,18,1,1,0,0,0
0,0,25,16,3,0,1,0,0
0,1,25,16,3,0,1,0,0
0,2,25,16,3,0,1,0,0
0,3,25,16,3,0,1,0,0
0,4,25,16,3,0,1,0,0
0,5,25,16,3,0,1,0,0
