TRI,hour,maxT,minT,windSpeed,cloudy,dark,heavy,light,medium,sun
0,1,25,18,2,0,1,0,0,0,0
0,2,25,18,2,0,1,0,0,0,0
0,3,25,18,2,0,1,0,0,0,0
0,4,25,18,2,0,1,0,0,0,0
0,5,25,18,2,0,1,0,0,0,0
25,6,25,18,2,0,1,0,0,0,0
187,7,25,18,2,0,1,0,0,0,0
349,8,25,18,2,0,1,0,0,0,0
744,9,25,18,2,0,1,0,0,0,0
523,10,25,18,2,0,1,0,0,0,0
818,11,25,18,2,0,1,0,0,0,0
623,12,25,18,2,0,1,0,0,0,0
631,13,25,18,2,0,1,0,0,0,0
246,14,25,18,2,0,1,0,0,0,0
224,15,25,18,2,0,1,0,0,0,0
33,16,25,18,2,0,1,0,0,0,0
256,17,25,18,2,0,1,0,0,0,0
76,18,25,18,2,0,1,0,0,0,0
0,19,25,18,2,0,1,0,0,0,0
0,20,25,18,2,0,1,0,0,0,0
0,21,25,18,2,0,1,0,0,0,0
0,22,25,18,2,0,1,0,0,0,0
0,23,25,18,2,0,1,0,0,0,0
0,0,26,19,2,0,1,0,0,0,0
0,1,26,19,2,0,1,0,0,0,0
0,2,26,19,2,0,1,0,0,0,0
0,3,26,19,2,0,1,0,0,0,0
0,4,26,19,2,0,1,0,0,0,0
0,5,26,19,2,0,1,0,0,0,0
27,6,26,19,2,0,1,0,0,0,0
79,7,26,19,2,0,1,0,0,0,0
419,8,26,19,2,0,1,0,0,0,0
346,9,26,19,2,0,1,0,0,0,0
307,10,26,19,2,0,1,0,0,0,0
276,11,26,19,2,0,1,0,0,0,0
782,12,26,19,2,0,1,0,0,0,0
281,13,26,19,2,0,1,0,0,0,0
921,14,26,19,2,0,1,0,0,0,0
857,15,26,19,2,0,1,0,0,0,0
625,16,26,19,2,0,1,0,0,0,0
360,17,26,19,2,0,1,0,0,0,0
103,18,26,19,2,0,1,0,0,0,0
0,19,26,19,2,0,1,0,0,0,0
0,20,26,19,2,0,1,0,0,0,0
0,21,26,19,2,0,1,0,0,0,0
0,22,26,19,2,0,1,0,0,0,0
0,23,26,19,2,0,1,0,0,0,0
0,0,26,18,2,0,1,0,0,0,0
0,1,26,18,2,0,1,0,0,0,0
0,2,26,18,2,0,1,0,0,0,0
0,3,26,18,2,0,1,0,0,0,0
0,4,26,18,2,0,1,0,0,0,0
0,5,26,18,2,0,1,0,0,0,0
40,6,26,18,2,0,1,0,0,0,0
83,7,26,18,2,0,1,0,0,0,0
276,8,26,18,2,0,1,0,0,0,0
648,9,26,18,2,0,1,0,0,0,0
100,10,26,18,2,0,1,0,0,0,0
281,11,26,18,2,0,1,0,0,0,0
391,12,26,18,2,0,1,0,0,0,0
936,13,26,18,2,0,1,0,0,0,0
446,14,26,18,2,0,1,0,0,0,0
593,15,26,18,2,0,1,0,0,0,0
125,16,26,18,2,0,1,0,0,0,0
86,17,26,18,2,0,1,0,0,0,0
42,18,26,18,2,0,1,0,0,0,0
0,19,26,18,2,0,1,0,0,0,0
0,20,26,18,2,0,1,0,0,0,0
0,21,26,18,2,0,1,0,0,0,0
0,22,26,18,2,0,1,0,0,0,0
0,23,26,18,2,0,1,0,0,0,0
0,0,27,18,1,1,0,0,0,0,0
0,1,27,18,1,1,0,0,0,0,0
0,2,27,18,1,1,0,0,0,0,0
0,3,27,18,1,1,0,0,0,0,0
0,4,27,18,1,1,0,0,0,0,0
0,5,27,18,1,1,0,0,0,0,0
31,6,27,18,1,1,0,0,0,0,0
40,7,27,18,1,1,0,0,0,0,0
194,8,27,18,1,1,0,0,0,0,0
736,9,27,18,1,1,0,0,0,0,0
1062,10,27,18,1,1,0,0,0,0,0
960,11,27,18,1,1,0,0,0,0,0
508,12,27,18,1,1,0,0,0,0,0
1042,13,27,18,1,1,0,0,0,0,0
976,14,27,18,1,1,0,0,0,0,0
160,15,27,18,1,1,0,0,0,0,0
339,16,27,18,1,1,0,0,0,0,0
67,17,27,18,1,1,0,0,0,0,0
25,18,27,18,1,1,0,0,0,0,0
0,19,27,18,1,1,0,0,0,0,0
0,20,27,18,1,1,0,0,0,0,0
0,21,27,18,1,1,0,0,0,0,0
0,22,27,18,1,1,0,0,0,0,0
0,23,27,18,1,1,0,0,0,0,0
0,0,28,17,2,1,0,0,0,0,0
0,1,28,17,2,1,0,0,0,0,0
999999,2,28,17,2,1,0,0,0,0,0
0,3,28,17,2,1,0,0,0,0,0
0,4,28,17,2,1,0,0,0,0,0
0,5,28,17,2,1,0,0,0,0,0
86,6,28,17,2,1,0,0,0,0,0
186,7,28,17,2,1,0,0,0,0,0
522,8,28,17,2,1,0,0,0,0,0
801,9,28,17,2,1,0,0,0,0,0
985,10,28,17,2,1,0,0,0,0,0
953,11,28,17,2,1,0,0,0,0,0
672,12,28,17,2,1,0,0,0,0,0
938,13,28,17,2,1,0,0,0,0,0
937,14,28,17,2,1,0,0,0,0,0
376,15,28,17,2,1,0,0,0,0,0
392,16,28,17,2,1,0,0,0,0,0
314,17,28,17,2,1,0,0,0,0,0
54,18,28,17,2,1,0,0,0,0,0
0,19,28,17,2,1,0,0,0,0,0
0,20,28,17,2,1,0,0,0,0,0
0,21,28,17,2,1,0,0,0,0,0
0,22,28,17,2,1,0,0,0,0,0
0,23,28,17,2,1,0,0,0,0,0
0,0,26,16,0,0,0,0,1,0,0
0,1,26,16,0,0,0,0,1,0,0
0,2,26,16,0,0,0,0,1,0,0
0,3,26,16,0,0,0,0,1,0,0
0,4,26,16,0,0,0,0,1,0,0
0,5,26,16,0,0,0,0,1,0,0
19,6,26,16,0,0,0,0,1,0,0
76,7,26,16,0,0,0,0,1,0,0
229,8,26,16,0,0,0,0,1,0,0
999999,9,26,16,0,0,0,0,1,0,0
419,10,26,16,0,0,0,0,1,0,0
516,11,26,16,0,0,0,0,1,0,0
390,12,26,16,0,0,0,0,1,0,0
379,13,26,16,0,0,0,0,1,0,0
315,14,26,16,0,0,0,0,1,0,0
181,15,26,16,0,0,0,0,1,0,0
14,16,26,16,0,0,0,0,1,0,0
0,17,26,16,0,0,0,0,1,0,0
10,18,26,16,0,0,0,0,1,0,0
0,19,26,16,0,0,0,0,1,0,0
0,20,26,16,0,0,0,0,1,0,0
0,21,26,16,0,0,0,0,1,0,0
0,22,26,16,0,0,0,0,1,0,0
0,23,26,16,0,0,0,0,1,0,0
0,0,24,18,2,0,0,1,0,0,0
0,1,24,18,2,0,0,1,0,0,0
0,2,24,18,2,0,0,1,0,0,0
0,3,24,18,2,0,0,1,0,0,0
0,4,24,18,2,0,0,1,0,0,0
0,5,24,18,2,0,0,1,0,0,0
2,6,24,18,2,0,0,1,0,0,0
8,7,24,18,2,0,0,1,0,0,0
80,8,24,18,2,0,0,1,0,0,0
552,9,24,18,2,0,0,1,0,0,0
484,10,24,18,2,0,0,1,0,0,0
108,11,24,18,2,0,0,1,0,0,0
473,12,24,18,2,0,0,1,0,0,0
900,13,24,18,2,0,0,1,0,0,0
326,14,24,18,2,0,0,1,0,0,0
570,15,24,18,2,0,0,1,0,0,0
408,16,24,18,2,0,0,1,0,0,0
24,17,24,18,2,0,0,1,0,0,0
78,18,24,18,2,0,0,1,0,0,0
0,19,24,18,2,0,0,1,0,0,0
0,20,24,18,2,0,0,1,0,0,0
0,21,24,18,2,0,0,1,0,0,0
0,22,24,18,2,0,0,1,0,0,0
0,23,24,18,2,0,0,1,0,0,0
0,0,23,19,1,0,0,0,1,0,0
0,1,23,19,1,0,0,0,1,0,0
0,2,23,19,1,0,0,0,1,0,0
0,3,23,19,1,0,0,0,1,0,0
0,4,23,19,1,0,0,0,1,0,0
0,5,23,19,1,0,0,0,1,0,0
8,6,23,19,1,0,0,0,1,0,0
57,7,23,19,1,0,0,0,1,0,0
62,8,23,19,1,0,0,0,1,0,0
148,9,23,19,1,0,0,0,1,0,0
138,10,23,19,1,0,0,0,1,0,0
380,11,23,19,1,0,0,0,1,0,0
999999,12,23,19,1,0,0,0,1,0,0
495,13,23,19,1,0,0,0,1,0,0
376,14,23,19,1,0,0,0,1,0,0
82,15,23,19,1,0,0,0,1,0,0
163,16,23,19,1,0,0,0,1,0,0
12,17,23,19,1,0,0,0,1,0,0
67,18,23,19,1,0,0,0,1,0,0
0,19,23,19,1,0,0,0,1,0,0
0,20,23,19,1,0,0,0,1,0,0
0,21,23,19,1,0,0,0,1,0,0
999999,22,23,19,1,0,0,0,1,0,0
0,23,23,19,1,0,0,0,1,0,0
0,0,22,18,2,0,1,0,0,0,0
0,1,22,18,2,0,1,0,0,0,0
0,2,22,18,2,0,1,0,0,0,0
0,3,22,18,2,0,1,0,0,0,0
0,4,22,18,2,0,1,0,0,0,0
0,5,22,18,2,0,1,0,0,0,0
13,6,22,18,2,0,1,0,0,0,0
63,7,22,18,2,0,1,0,0,0,0
272,8,22,18,2,0,1,0,0,0,0
199,9,22,18,2,0,1,0,0,0,0
263,10,22,18,2,0,1,0,0,0,0
164,11,22,18,2,0,1,0,0,0,0
218,12,22,18,2,0,1,0,0,0,0
999999,13,22,18,2,0,1,0,0,0,0
79,14,22,18,2,0,1,0,0,0,0
83,15,22,18,2,0,1,0,0,0,0
128,16,22,18,2,0,1,0,0,0,0
82,17,22,18,2,0,1,0,0,0,0
58,18,22,18,2,0,1,0,0,0,0
0,19,22,18,2,0,1,0,0,0,0
0,20,22,18,2,0,1,0,0,0,0
0,21,22,18,2,0,1,0,0,0,0
0,22,22,18,2,0,1,0,0,0,0
