TRI,hour,maxT,minT,windSpeed,cloudy,dark,light,medium,sun
0,1,31,22,3.0,1,0,0,0,0
0,2,31,22,3.0,1,0,0,0,0
0,3,31,22,3.0,1,0,0,0,0
0,4,31,22,3.0,1,0,0,0,0
0,5,31,22,3.0,1,0,0,0,0
12,6,31,22,3.0,1,0,0,0,0
116,7,31,22,3.0,1,0,0,0,0
195,8,31,22,3.0,1,0,0,0,0
409,9,31,22,3.0,1,0,0,0,0
791,10,31,22,3.0,1,0,0,0,0
878,11,31,22,3.0,1,0,0,0,0
985,12,31,22,3.0,1,0,0,0,0
512,13,31,22,3.0,1,0,0,0,0
51,14,31,22,3.0,1,0,0,0,0
625,15,31,22,3.0,1,0,0,0,0
298,16,31,22,3.0,1,0,0,0,0
64,17,31,22,3.0,1,0,0,0,0
58,18,31,22,3.0,1,0,0,0,0
9,19,31,22,3.0,1,0,0,0,0
0,20,31,22,3.0,1,0,0,0,0
0,21,31,22,3.0,1,0,0,0,0
0,22,31,22,3.0,1,0,0,0,0
0,23,31,22,3.0,1,0,0,0,0
0,0,31,23,3.0,1,0,0,0,0
0,1,31,23,3.0,1,0,0,0,0
0,2,31,23,3.0,1,0,0,0,0
0,3,31,23,3.0,1,0,0,0,0
0,4,31,23,3.0,1,0,0,0,0
8,5,31,23,3.0,1,0,0,0,0
102,6,31,23,3.0,1,0,0,0,0
278,7,31,23,3.0,1,0,0,0,0
448,8,31,23,3.0,1,0,0,0,0
602,9,31,23,3.0,1,0,0,0,0
811,10,31,23,3.0,1,0,0,0,0
909,11,31,23,3.0,1,0,0,0,0
853,12,31,23,3.0,1,0,0,0,0
945,13,31,23,3.0,1,0,0,0,0
845,14,31,23,3.0,1,0,0,0,0
411,15,31,23,3.0,1,0,0,0,0
425,16,31,23,3.0,1,0,0,0,0
220,17,31,23,3.0,1,0,0,0,0
103,18,31,23,3.0,1,0,0,0,0
12,19,31,23,3.0,1,0,0,0,0
0,20,31,23,3.0,1,0,0,0,0
0,21,31,23,3.0,1,0,0,0,0
0,22,31,23,3.0,1,0,0,0,0
0,23,31,23,3.0,1,0,0,0,0
0,0,31,23,3.0,1,0,0,0,0
0,1,31,23,3.0,1,0,0,0,0
0,2,31,23,3.0,1,0,0,0,0
0,3,31,23,3.0,1,0,0,0,0
0,4,31,23,3.0,1,0,0,0,0
8,5,31,23,3.0,1,0,0,0,0
81,6,31,23,3.0,1,0,0,0,0
242,7,31,23,3.0,1,0,0,0,0
393,8,31,23,3.0,1,0,0,0,0
464,9,31,23,3.0,1,0,0,0,0
761,10,31,23,3.0,1,0,0,0,0
453,11,31,23,3.0,1,0,0,0,0
497,12,31,23,3.0,1,0,0,0,0
402,13,31,23,3.0,1,0,0,0,0
349,14,31,23,3.0,1,0,0,0,0
270,15,31,23,3.0,1,0,0,0,0
278,16,31,23,3.0,1,0,0,0,0
168,17,31,23,3.0,1,0,0,0,0
88,18,31,23,3.0,1,0,0,0,0
25,19,31,23,3.0,1,0,0,0,0
0,20,31,23,3.0,1,0,0,0,0
0,21,31,23,3.0,1,0,0,0,0
0,22,31,23,3.0,1,0,0,0,0
0,23,31,23,3.0,1,0,0,0,0
0,0,31,23,3.0,1,0,0,0,0
0,1,31,23,3.0,1,0,0,0,0
0,2,31,23,3.0,1,0,0,0,0
0,3,31,23,3.0,1,0,0,0,0
0,4,31,23,3.0,1,0,0,0,0
0,5,31,23,3.0,1,0,0,0,0
47,6,31,23,3.0,1,0,0,0,0
303,7,31,23,3.0,1,0,0,0,0
271,8,31,23,3.0,1,0,0,0,0
