TRI,hour,maxT,minT,windSpeed,cloudy,dark,medium
0,1,33,28,1,0,1,0
0,2,33,28,1,0,1,0
0,3,33,28,1,0,1,0
0,4,33,28,1,0,1,0
0,5,33,28,1,0,1,0
32,6,33,28,1,0,1,0
110,7,33,28,1,0,1,0
244,8,33,28,1,0,1,0
136,9,33,28,1,0,1,0
243,10,33,28,1,0,1,0
1093,11,33,28,1,0,1,0
917,12,33,28,1,0,1,0
274,13,33,28,1,0,1,0
705,14,33,28,1,0,1,0
101,15,33,28,1,0,1,0
247,16,33,28,1,0,1,0
75,17,33,28,1,0,1,0
13,18,33,28,1,0,1,0
0,19,33,28,1,0,1,0
0,20,33,28,1,0,1,0
0,21,33,28,1,0,1,0
0,22,33,28,1,0,1,0
0,23,33,28,1,0,1,0
0,0,34,27,2,1,0,0
0,1,34,27,2,1,0,0
0,2,34,27,2,1,0,0
0,3,34,27,2,1,0,0
0,4,34,27,2,1,0,0
0,5,34,27,2,1,0,0
29,6,34,27,2,1,0,0
88,7,34,27,2,1,0,0
187,8,34,27,2,1,0,0
275,9,34,27,2,1,0,0
627,10,34,27,2,1,0,0
430,11,34,27,2,1,0,0
1072,12,34,27,2,1,0,0
1098,13,34,27,2,1,0,0
913,14,34,27,2,1,0,0
768,15,34,27,2,1,0,0
581,16,34,27,2,1,0,0
329,17,34,27,2,1,0,0
54,18,34,27,2,1,0,0
0,19,34,27,2,1,0,0
0,20,34,27,2,1,0,0
0,21,34,27,2,1,0,0
0,22,34,27,2,1,0,0
0,23,34,27,2,1,0,0
0,0,35,27,2,1,0,0
0,1,35,27,2,1,0,0
0,2,35,27,2,1,0,0
0,3,35,27,2,1,0,0
0,4,35,27,2,1,0,0
0,5,35,27,2,1,0,0
38,6,35,27,2,1,0,0
172,7,35,27,2,1,0,0
151,8,35,27,2,1,0,0
743,9,35,27,2,1,0,0
359,10,35,27,2,1,0,0
974,11,35,27,2,1,0,0
1063,12,35,27,2,1,0,0
1059,13,35,27,2,1,0,0
924,14,35,27,2,1,0,0
745,15,35,27,2,1,0,0
482,16,35,27,2,1,0,0
241,17,35,27,2,1,0,0
69,18,35,27,2,1,0,0
0,19,35,27,2,1,0,0
0,20,35,27,2,1,0,0
0,21,35,27,2,1,0,0
0,22,35,27,2,1,0,0
0,23,35,27,2,1,0,0
0,0,36,28,2,1,0,0
0,1,36,28,2,1,0,0
0,2,36,28,2,1,0,0
0,3,36,28,2,1,0,0
999999,4,36,28,2,1,0,0
0,5,36,28,2,1,0,0
43,6,36,28,2,1,0,0
178,7,36,28,2,1,0,0
400,8,36,28,2,1,0,0
492,9,36,28,2,1,0,0
757,10,36,28,2,1,0,0
901,11,36,28,2,1,0,0
942,12,36,28,2,1,0,0
894,13,36,28,2,1,0,0
827,14,36,28,2,1,0,0
642,15,36,28,2,1,0,0
486,16,36,28,2,1,0,0
225,17,36,28,2,1,0,0
67,18,36,28,2,1,0,0
0,19,36,28,2,1,0,0
0,20,36,28,2,1,0,0
0,21,36,28,2,1,0,0
0,22,36,28,2,1,0,0
0,23,36,28,2,1,0,0
0,0,37,28,2,1,0,0
0,1,37,28,2,1,0,0
0,2,37,28,2,1,0,0
0,3,37,28,2,1,0,0
0,4,37,28,2,1,0,0
0,5,37,28,2,1,0,0
44,6,37,28,2,1,0,0
220,7,37,28,2,1,0,0
436,8,37,28,2,1,0,0
669,9,37,28,2,1,0,0
828,10,37,28,2,1,0,0
931,11,37,28,2,1,0,0
986,12,37,28,2,1,0,0
978,13,37,28,2,1,0,0
1030,14,37,28,2,1,0,0
54,15,37,28,2,1,0,0
43,16,37,28,2,1,0,0
48,17,37,28,2,1,0,0
23,18,37,28,2,1,0,0
0,19,37,28,2,1,0,0
0,20,37,28,2,1,0,0
0,21,37,28,2,1,0,0
0,22,37,28,2,1,0,0
0,23,37,28,2,1,0,0
0,0,34,28,1,0,1,0
0,1,34,28,1,0,1,0
0,2,34,28,1,0,1,0
0,3,34,28,1,0,1,0
0,4,34,28,1,0,1,0
0,5,34,28,1,0,1,0
33,6,34,28,1,0,1,0
226,7,34,28,1,0,1,0
420,8,34,28,1,0,1,0
253,9,34,28,1,0,1,0
758,10,34,28,1,0,1,0
828,11,34,28,1,0,1,0
223,12,34,28,1,0,1,0
724,13,34,28,1,0,1,0
386,14,34,28,1,0,1,0
322,15,34,28,1,0,1,0
5,16,34,28,1,0,1,0
7,17,34,28,1,0,1,0
2,18,34,28,1,0,1,0
0,19,34,28,1,0,1,0
0,20,34,28,1,0,1,0
0,21,34,28,1,0,1,0
0,22,34,28,1,0,1,0
0,23,34,28,1,0,1,0
0,0,34,27,1,0,1,0
0,1,34,27,1,0,1,0
0,2,34,27,1,0,1,0
0,3,34,27,1,0,1,0
0,4,34,27,1,0,1,0
0,5,34,27,1,0,1,0
30,6,34,27,1,0,1,0
82,7,34,27,1,0,1,0
362,8,34,27,1,0,1,0
475,9,34,27,1,0,1,0
816,10,34,27,1,0,1,0
268,11,34,27,1,0,1,0
279,12,34,27,1,0,1,0
