TRI,hour,maxT,minT,windSpeed,cloudy,dark,heavy,light,medium,sun
0,1,27,24,2,0,1,0,0,0,0
0,2,27,24,2,0,1,0,0,0,0
0,3,27,24,2,0,1,0,0,0,0
0,4,27,24,2,0,1,0,0,0,0
0,5,27,24,2,0,1,0,0,0,0
9,6,27,24,2,0,1,0,0,0,0
66,7,27,24,2,0,1,0,0,0,0
72,8,27,24,2,0,1,0,0,0,0
103,9,27,24,2,0,1,0,0,0,0
125,10,27,24,2,0,1,0,0,0,0
212,11,27,24,2,0,1,0,0,0,0
875,12,27,24,2,0,1,0,0,0,0
360,13,27,24,2,0,1,0,0,0,0
398,14,27,24,2,0,1,0,0,0,0
413,15,27,24,2,0,1,0,0,0,0
247,16,27,24,2,0,1,0,0,0,0
142,17,27,24,2,0,1,0,0,0,0
28,18,27,24,2,0,1,0,0,0,0
0,19,27,24,2,0,1,0,0,0,0
0,20,27,24,2,0,1,0,0,0,0
0,21,27,24,2,0,1,0,0,0,0
0,22,27,24,2,0,1,0,0,0,0
0,23,27,24,2,0,1,0,0,0,0
0,0,30,25,1,0,0,0,1,0,0
0,1,30,25,1,0,0,0,1,0,0
0,2,30,25,1,0,0,0,1,0,0
0,3,30,25,1,0,0,0,1,0,0
0,4,30,25,1,0,0,0,1,0,0
0,5,30,25,1,0,0,0,1,0,0
10,6,30,25,1,0,0,0,1,0,0
63,7,30,25,1,0,0,0,1,0,0
125,8,30,25,1,0,0,0,1,0,0
105,9,30,25,1,0,0,0,1,0,0
106,10,30,25,1,0,0,0,1,0,0
431,11,30,25,1,0,0,0,1,0,0
663,12,30,25,1,0,0,0,1,0,0
552,13,30,25,1,0,0,0,1,0,0
790,14,30,25,1,0,0,0,1,0,0
655,15,30,25,1,0,0,0,1,0,0
529,16,30,25,1,0,0,0,1,0,0
103,17,30,25,1,0,0,0,1,0,0
139,18,30,25,1,0,0,0,1,0,0
0,19,30,25,1,0,0,0,1,0,0
0,20,30,25,1,0,0,0,1,0,0
0,21,30,25,1,0,0,0,1,0,0
0,22,30,25,1,0,0,0,1,0,0
0,23,30,25,1,0,0,0,1,0,0
0,0,33,26,1,0,1,0,0,0,0
0,1,33,26,1,0,1,0,0,0,0
0,2,33,26,1,0,1,0,0,0,0
0,3,33,26,1,0,1,0,0,0,0
0,4,33,26,1,0,1,0,0,0,0
0,5,33,26,1,0,1,0,0,0,0
11,6,33,26,1,0,1,0,0,0,0
112,7,33,26,1,0,1,0,0,0,0
219,8,33,26,1,0,1,0,0,0,0
386,9,33,26,1,0,1,0,0,0,0
569,10,33,26,1,0,1,0,0,0,0
721,11,33,26,1,0,1,0,0,0,0
192,12,33,26,1,0,1,0,0,0,0
1024,13,33,26,1,0,1,0,0,0,0
964,14,33,26,1,0,1,0,0,0,0
573,15,33,26,1,0,1,0,0,0,0
