TRI,hour,maxT,minT,windSpeed,cloudy,dark,heavy,light,sun
0,1,30,22,3,0,0,0,0,1
0,2,30,22,3,0,0,0,0,1
0,3,30,22,3,0,0,0,0,1
0,4,30,22,3,0,0,0,0,1
0,5,30,22,3,0,0,0,0,1
74,6,30,22,3,0,0,0,0,1
239,7,30,22,3,0,0,0,0,1
431,8,30,22,3,0,0,0,0,1
623,9,30,22,3,0,0,0,0,1
775,10,30,22,3,0,0,0,0,1
885,11,30,22,3,0,0,0,0,1
937,12,30,22,3,0,0,0,0,1
933,13,30,22,3,0,0,0,0,1
830,14,30,22,3,0,0,0,0,1
665,15,30,22,3,0,0,0,0,1
475,16,30,22,3,0,0,0,0,1
125,17,30,22,3,0,0,0,0,1
81,18,30,22,3,0,0,0,0,1
8,19,30,22,3,0,0,0,0,1
0,20,30,22,3,0,0,0,0,1
999999,21,30,22,3,0,0,0,0,1
0,22,30,22,3,0,0,0,0,1
0,23,30,22,3,0,0,0,0,1
0,0,32,23,4,1,0,0,0,0
0,1,32,23,4,1,0,0,0,0
0,2,32,23,4,1,0,0,0,0
0,3,32,23,4,1,0,0,0,0
0,4,32,23,4,1,0,0,0,0
0,5,32,23,4,1,0,0,0,0
82,6,32,23,4,1,0,0,0,0
247,7,32,23,4,1,0,0,0,0
462,8,32,23,4,1,0,0,0,0
654,9,32,23,4,1,0,0,0,0
808,10,32,23,4,1,0,0,0,0
930,11,32,23,4,1,0,0,0,0
964,12,32,23,4,1,0,0,0,0
999999,13,32,23,4,1,0,0,0,0
838,14,32,23,4,1,0,0,0,0
369,15,32,23,4,1,0,0,0,0
494,16,32,23,4,1,0,0,0,0
355,17,32,23,4,1,0,0,0,0
65,18,32,23,4,1,0,0,0,0
4,19,32,23,4,1,0,0,0,0
0,20,32,23,4,1,0,0,0,0
0,21,32,23,4,1,0,0,0,0
0,22,32,23,4,1,0,0,0,0
0,23,32,23,4,1,0,0,0,0
0,0,31,24,3,1,0,0,0,0
0,1,31,24,3,1,0,0,0,0
0,2,31,24,3,1,0,0,0,0
0,3,31,24,3,1,0,0,0,0
0,4,31,24,3,1,0,0,0,0
0,5,31,24,3,1,0,0,0,0
88,6,31,24,3,1,0,0,0,0
281,7,31,24,3,1,0,0,0,0
573,8,31,24,3,1,0,0,0,0
302,9,31,24,3,1,0,0,0,0
333,10,31,24,3,1,0,0,0,0
326,11,31,24,3,1,0,0,0,0
336,12,31,24,3,1,0,0,0,0
416,13,31,24,3,1,0,0,0,0
436,14,31,24,3,1,0,0,0,0
220,15,31,24,3,1,0,0,0,0
307,16,31,24,3,1,0,0,0,0
180,17,31,24,3,1,0,0,0,0
35,18,31,24,3,1,0,0,0,0
6,19,31,24,3,1,0,0,0,0
0,20,31,24,3,1,0,0,0,0
0,21,31,24,3,1,0,0,0,0
0,22,31,24,3,1,0,0,0,0
0,23,31,24,3,1,0,0,0,0
0,0,31,26,3,0,0,0,1,0
0,1,31,26,3,0,0,0,1,0
0,2,31,26,3,0,0,0,1,0
0,3,31,26,3,0,0,0,1,0
0,4,31,26,3,0,0,0,1,0
0,5,31,26,3,0,0,0,1,0
28,6,31,26,3,0,0,0,1,0
98,7,31,26,3,0,0,0,1,0
333,8,31,26,3,0,0,0,1,0
303,9,31,26,3,0,0,0,1,0
