TRI,hour,maxT,minT,windSpeed,cloudy,dark,heavy,light,medium,sun
0,1,28,21,2,0,1,0,0,0,0
0,2,28,21,2,0,1,0,0,0,0
0,3,28,21,2,0,1,0,0,0,0
0,4,28,21,2,0,1,0,0,0,0
0,5,28,21,2,0,1,0,0,0,0
0,6,28,21,2,0,1,0,0,0,0
64,7,28,21,2,0,1,0,0,0,0
92,8,28,21,2,0,1,0,0,0,0
275,9,28,21,2,0,1,0,0,0,0
721,10,28,21,2,0,1,0,0,0,0
911,11,28,21,2,0,1,0,0,0,0
922,12,28,21,2,0,1,0,0,0,0
325,13,28,21,2,0,1,0,0,0,0
419,14,28,21,2,0,1,0,0,0,0
641,15,28,21,2,0,1,0,0,0,0
493,16,28,21,2,0,1,0,0,0,0
190,17,28,21,2,0,1,0,0,0,0
27,18,28,21,2,0,1,0,0,0,0
0,19,28,21,2,0,1,0,0,0,0
0,20,28,21,2,0,1,0,0,0,0
0,21,28,21,2,0,1,0,0,0,0
0,22,28,21,2,0,1,0,0,0,0
0,23,28,21,2,0,1,0,0,0,0
0,0,32,22,2,0,1,0,0,0,0
0,1,32,22,2,0,1,0,0,0,0
0,2,32,22,2,0,1,0,0,0,0
0,3,32,22,2,0,1,0,0,0,0
0,4,32,22,2,0,1,0,0,0,0
0,5,32,22,2,0,1,0,0,0,0
13,6,32,22,2,0,1,0,0,0,0
202,7,32,22,2,0,1,0,0,0,0
464,8,32,22,2,0,1,0,0,0,0
737,9,32,22,2,0,1,0,0,0,0
786,10,32,22,2,0,1,0,0,0,0
1063,11,32,22,2,0,1,0,0,0,0
677,12,32,22,2,0,1,0,0,0,0
656,13,32,22,2,0,1,0,0,0,0
877,14,32,22,2,0,1,0,0,0,0
288,15,32,22,2,0,1,0,0,0,0
443,16,32,22,2,0,1,0,0,0,0
86,17,32,22,2,0,1,0,0,0,0
18,18,32,22,2,0,1,0,0,0,0
0,19,32,22,2,0,1,0,0,0,0
0,20,32,22,2,0,1,0,0,0,0
0,21,32,22,2,0,1,0,0,0,0
0,22,32,22,2,0,1,0,0,0,0
0,23,32,22,2,0,1,0,0,0,0
0,0,33,23,1,0,1,0,0,0,0
0,1,33,23,1,0,1,0,0,0,0
0,2,33,23,1,0,1,0,0,0,0
0,3,33,23,1,0,1,0,0,0,0
0,4,33,23,1,0,1,0,0,0,0
0,5,33,23,1,0,1,0,0,0,0
90,6,33,23,1,0,1,0,0,0,0
122,7,33,23,1,0,1,0,0,0,0
550,8,33,23,1,0,1,0,0,0,0
499,9,33,23,1,0,1,0,0,0,0
422,10,33,23,1,0,1,0,0,0,0
424,11,33,23,1,0,1,0,0,0,0
1047,12,33,23,1,0,1,0,0,0,0
305,13,33,23,1,0,1,0,0,0,0
790,14,33,23,1,0,1,0,0,0,0
791,15,33,23,1,0,1,0,0,0,0
153,16,33,23,1,0,1,0,0,0,0
316,17,33,23,1,0,1,0,0,0,0
46,18,33,23,1,0,1,0,0,0,0
0,19,33,23,1,0,1,0,0,0,0
0,20,33,23,1,0,1,0,0,0,0
0,21,33,23,1,0,1,0,0,0,0
0,22,33,23,1,0,1,0,0,0,0
0,23,33,23,1,0,1,0,0,0,0
0,0,33,23,1,0,1,0,0,0,0
0,1,33,23,1,0,1,0,0,0,0
0,2,33,23,1,0,1,0,0,0,0
0,3,33,23,1,0,1,0,0,0,0
0,4,33,23,1,0,1,0,0,0,0
0,5,33,23,1,0,1,0,0,0,0
15,6,33,23,1,0,1,0,0,0,0
78,7,33,23,1,0,1,0,0,0,0
304,8,33,23,1,0,1,0,0,0,0
370,9,33,23,1,0,1,0,0,0,0
498,10,33,23,1,0,1,0,0,0,0
1005,11,33,23,1,0,1,0,0,0,0
1014,12,33,23,1,0,1,0,0,0,0
882,13,33,23,1,0,1,0,0,0,0
864,14,33,23,1,0,1,0,0,0,0
710,15,33,23,1,0,1,0,0,0,0
526,16,33,23,1,0,1,0,0,0,0
292,17,33,23,1,0,1,0,0,0,0
36,18,33,23,1,0,1,0,0,0,0
0,19,33,23,1,0,1,0,0,0,0
0,20,33,23,1,0,1,0,0,0,0
0,21,33,23,1,0,1,0,0,0,0
0,22,33,23,1,0,1,0,0,0,0
0,23,33,23,1,0,1,0,0,0,0
0,0,35,22,2,0,1,0,0,0,0
0,1,35,22,2,0,1,0,0,0,0
0,2,35,22,2,0,1,0,0,0,0
0,3,35,22,2,0,1,0,0,0,0
0,4,35,22,2,0,1,0,0,0,0
0,5,35,22,2,0,1,0,0,0,0
57,6,35,22,2,0,1,0,0,0,0
276,7,35,22,2,0,1,0,0,0,0
451,8,35,22,2,0,1,0,0,0,0
751,9,35,22,2,0,1,0,0,0,0
797,10,35,22,2,0,1,0,0,0,0
946,11,35,22,2,0,1,0,0,0,0
997,12,35,22,2,0,1,0,0,0,0
960,13,35,22,2,0,1,0,0,0,0
843,14,35,22,2,0,1,0,0,0,0
700,15,35,22,2,0,1,0,0,0,0
570,16,35,22,2,0,1,0,0,0,0
285,17,35,22,2,0,1,0,0,0,0
65,18,35,22,2,0,1,0,0,0,0
0,19,35,22,2,0,1,0,0,0,0
0,20,35,22,2,0,1,0,0,0,0
0,21,35,22,2,0,1,0,0,0,0
0,22,35,22,2,0,1,0,0,0,0
0,23,35,22,2,0,1,0,0,0,0
0,0,26,23,1,0,0,0,0,1,0
0,1,26,23,1,0,0,0,0,1,0
0,2,26,23,1,0,0,0,0,1,0
0,3,26,23,1,0,0,0,0,1,0
0,4,26,23,1,0,0,0,0,1,0
0,5,26,23,1,0,0,0,0,1,0
0,6,26,23,1,0,0,0,0,1,0
3,7,26,23,1,0,0,0,0,1,0
56,8,26,23,1,0,0,0,0,1,0
88,9,26,23,1,0,0,0,0,1,0
307,10,26,23,1,0,0,0,0,1,0
339,11,26,23,1,0,0,0,0,1,0
404,12,26,23,1,0,0,0,0,1,0
594,13,26,23,1,0,0,0,0,1,0
430,14,26,23,1,0,0,0,0,1,0
632,15,26,23,1,0,0,0,0,1,0
278,16,26,23,1,0,0,0,0,1,0
126,17,26,23,1,0,0,0,0,1,0
37,18,26,23,1,0,0,0,0,1,0
