TRI,hour,maxT,minT,windSpeed,cloudy,dark,heavy,light,medium
0,1,25,24,1,0,1,0,0,0
0,2,25,24,1,0,1,0,0,0
0,3,25,24,1,0,1,0,0,0
0,4,25,24,1,0,1,0,0,0
0,5,25,24,1,0,1,0,0,0
14,6,25,24,1,0,1,0,0,0
26,7,25,24,1,0,1,0,0,0
38,8,25,24,1,0,1,0,0,0
0,9,25,24,1,0,1,0,0,0
0,10,25,24,1,0,1,0,0,0
0,11,25,24,1,0,1,0,0,0
68,12,25,24,1,0,1,0,0,0
98,13,25,24,1,0,1,0,0,0
76,14,25,24,1,0,1,0,0,0
58,15,25,24,1,0,1,0,0,0
94,16,25,24,1,0,1,0,0,0
30,17,25,24,1,0,1,0,0,0
17,18,25,24,1,0,1,0,0,0
0,19,25,24,1,0,1,0,0,0
0,20,25,24,1,0,1,0,0,0
0,21,25,24,1,0,1,0,0,0
0,22,25,24,1,0,1,0,0,0
0,23,25,24,1,0,1,0,0,0
0,0,32,25,2,0,1,0,0,0
0,1,32,25,2,0,1,0,0,0
0,2,32,25,2,0,1,0,0,0
0,3,32,25,2,0,1,0,0,0
0,4,32,25,2,0,1,0,0,0
0,5,32,25,2,0,1,0,0,0
55,6,32,25,2,0,1,0,0,0
170,7,32,25,2,0,1,0,0,0
78,8,32,25,2,0,1,0,0,0
80,9,32,25,2,0,1,0,0,0
77,10,32,25,2,0,1,0,0,0
342,11,32,25,2,0,1,0,0,0
395,12,32,25,2,0,1,0,0,0
362,13,32,25,2,0,1,0,0,0
611,14,32,25,2,0,1,0,0,0
112,15,32,25,2,0,1,0,0,0
28,16,32,25,2,0,1,0,0,0
38,17,32,25,2,0,1,0,0,0
30,18,32,25,2,0,1,0,0,0
0,19,32,25,2,0,1,0,0,0
0,20,32,25,2,0,1,0,0,0
0,21,32,25,2,0,1,0,0,0
0,22,32,25,2,0,1,0,0,0
0,23,32,25,2,0,1,0,0,0
0,0,34,26,4,0,1,0,0,0
0,1,34,26,4,0,1,0,0,0
0,2,34,26,4,0,1,0,0,0
0,3,34,26,4,0,1,0,0,0
0,4,34,26,4,0,1,0,0,0
0,5,34,26,4,0,1,0,0,0
48,6,34,26,4,0,1,0,0,0
140,7,34,26,4,0,1,0,0,0
356,8,34,26,4,0,1,0,0,0
799,9,34,26,4,0,1,0,0,0
424,10,34,26,4,0,1,0,0,0
985,11,34,26,4,0,1,0,0,0
1145,12,34,26,4,0,1,0,0,0
735,13,34,26,4,0,1,0,0,0
326,14,34,26,4,0,1,0,0,0
632,15,34,26,4,0,1,0,0,0
382,16,34,26,4,0,1,0,0,0
305,17,34,26,4,0,1,0,0,0
122,18,34,26,4,0,1,0,0,0
0,19,34,26,4,0,1,0,0,0
0,20,34,26,4,0,1,0,0,0
0,21,34,26,4,0,1,0,0,0
0,22,34,26,4,0,1,0,0,0
0,23,34,26,4,0,1,0,0,0
0,0,34,26,2,1,0,0,0,0
0,1,34,26,2,1,0,0,0,0
0,2,34,26,2,1,0,0,0,0
0,3,34,26,2,1,0,0,0,0
0,4,34,26,2,1,0,0,0,0
0,5,34,26,2,1,0,0,0,0
21,6,34,26,2,1,0,0,0,0
158,7,34,26,2,1,0,0,0,0
175,8,34,26,2,1,0,0,0,0
279,9,34,26,2,1,0,0,0,0
405,10,34,26,2,1,0,0,0,0
1101,11,34,26,2,1,0,0,0,0
453,12,34,26,2,1,0,0,0,0
794,13,34,26,2,1,0,0,0,0
659,14,34,26,2,1,0,0,0,0
561,15,34,26,2,1,0,0,0,0
538,16,34,26,2,1,0,0,0,0
287,17,34,26,2,1,0,0,0,0
82,18,34,26,2,1,0,0,0,0
0,19,34,26,2,1,0,0,0,0
0,20,34,26,2,1,0,0,0,0
0,21,34,26,2,1,0,0,0,0
0,22,34,26,2,1,0,0,0,0
0,23,34,26,2,1,0,0,0,0
0,0,36,27,2,0,1,0,0,0
0,1,36,27,2,0,1,0,0,0
0,2,36,27,2,0,1,0,0,0
0,3,36,27,2,0,1,0,0,0
0,4,36,27,2,0,1,0,0,0
0,5,36,27,2,0,1,0,0,0
72,6,36,27,2,0,1,0,0,0
230,7,36,27,2,0,1,0,0,0
283,8,36,27,2,0,1,0,0,0
649,9,36,27,2,0,1,0,0,0
715,10,36,27,2,0,1,0,0,0
1021,11,36,27,2,0,1,0,0,0
947,12,36,27,2,0,1,0,0,0
1051,13,36,27,2,0,1,0,0,0
804,14,36,27,2,0,1,0,0,0
690,15,36,27,2,0,1,0,0,0
480,16,36,27,2,0,1,0,0,0
263,17,36,27,2,0,1,0,0,0
80,18,36,27,2,0,1,0,0,0
0,19,36,27,2,0,1,0,0,0
0,20,36,27,2,0,1,0,0,0
0,21,36,27,2,0,1,0,0,0
0,22,36,27,2,0,1,0,0,0
0,23,36,27,2,0,1,0,0,0
0,0,35,27,1,0,1,0,0,0
0,1,35,27,1,0,1,0,0,0
0,2,35,27,1,0,1,0,0,0
0,3,35,27,1,0,1,0,0,0
0,4,35,27,1,0,1,0,0,0
0,5,35,27,1,0,1,0,0,0
27,6,35,27,1,0,1,0,0,0
88,7,35,27,1,0,1,0,0,0
501,8,35,27,1,0,1,0,0,0
435,9,35,27,1,0,1,0,0,0
545,10,35,27,1,0,1,0,0,0
784,11,35,27,1,0,1,0,0,0
900,12,35,27,1,0,1,0,0,0
696,13,35,27,1,0,1,0,0,0
255,14,35,27,1,0,1,0,0,0
417,15,35,27,1,0,1,0,0,0
34,16,35,27,1,0,1,0,0,0
0,17,35,27,1,0,1,0,0,0
0,18,35,27,1,0,1,0,0,0
0,19,35,27,1,0,1,0,0,0
0,20,35,27,1,0,1,0,0,0
0,21,35,27,1,0,1,0,0,0
0,22,35,27,1,0,1,0,0,0
0,23,35,27,1,0,1,0,0,0
0,0,34,27,3,0,1,0,0,0
0,1,34,27,3,0,1,0,0,0
0,2,34,27,3,0,1,0,0,0
0,3,34,27,3,0,1,0,0,0
0,4,34,27,3,0,1,0,0,0
0,5,34,27,3,0,1,0,0,0
18,6,34,27,3,0,1,0,0,0
144,7,34,27,3,0,1,0,0,0
358,8,34,27,3,0,1,0,0,0
842,9,34,27,3,0,1,0,0,0
401,10,34,27,3,0,1,0,0,0
876,11,34,27,3,0,1,0,0,0
1111,12,34,27,3,0,1,0,0,0
995,13,34,27,3,0,1,0,0,0
883,14,34,27,3,0,1,0,0,0
374,15,34,27,3,0,1,0,0,0
136,16,34,27,3,0,1,0,0,0
108,17,34,27,3,0,1,0,0,0
3,18,34,27,3,0,1,0,0,0
0,19,34,27,3,0,1,0,0,0
0,20,34,27,3,0,1,0,0,0
0,21,34,27,3,0,1,0,0,0
0,22,34,27,3,0,1,0,0,0
0,23,34,27,3,0,1,0,0,0
0,0,34,26,3,0,1,0,0,0
0,1,34,26,3,0,1,0,0,0
0,2,34,26,3,0,1,0,0,0
0,3,34,26,3,0,1,0,0,0
0,4,34,26,3,0,1,0,0,0
0,5,34,26,3,0,1,0,0,0
33,6,34,26,3,0,1,0,0,0
97,7,34,26,3,0,1,0,0,0
284,8,34,26,3,0,1,0,0,0
240,9,34,26,3,0,1,0,0,0
348,10,34,26,3,0,1,0,0,0
822,11,34,26,3,0,1,0,0,0
401,12,34,26,3,0,1,0,0,0
377,13,34,26,3,0,1,0,0,0
586,14,34,26,3,0,1,0,0,0
145,15,34,26,3,0,1,0,0,0
124,16,34,26,3,0,1,0,0,0
105,17,34,26,3,0,1,0,0,0
41,18,34,26,3,0,1,0,0,0
0,19,34,26,3,0,1,0,0,0
0,20,34,26,3,0,1,0,0,0
0,21,34,26,3,0,1,0,0,0
0,22,34,26,3,0,1,0,0,0
0,23,34,26,3,0,1,0,0,0
0,0,33,26,3,0,1,0,0,0
0,1,33,26,3,0,1,0,0,0
0,2,33,26,3,0,1,0,0,0
0,3,33,26,3,0,1,0,0,0
0,4,33,26,3,0,1,0,0,0
0,5,33,26,3,0,1,0,0,0
24,6,33,26,3,0,1,0,0,0
