TRI,hour,maxT,minT,windSpeed,cloudy,dark,light,medium,sun
0,1,29,20,2,0,0,1,0,0
0,2,29,20,2,0,0,1,0,0
0,3,29,20,2,0,0,1,0,0
0,4,29,20,2,0,0,1,0,0
14,5,29,20,2,0,0,1,0,0
145,6,29,20,2,0,0,1,0,0
128,7,29,20,2,0,0,1,0,0
436,8,29,20,2,0,0,1,0,0
614,9,29,20,2,0,0,1,0,0
316,10,29,20,2,0,0,1,0,0
527,11,29,20,2,0,0,1,0,0
191,12,29,20,2,0,0,1,0,0
256,13,29,20,2,0,0,1,0,0
156,14,29,20,2,0,0,1,0,0
72,15,29,20,2,0,0,1,0,0
26,16,29,20,2,0,0,1,0,0
40,17,29,20,2,0,0,1,0,0
100,18,29,20,2,0,0,1,0,0
38,19,29,20,2,0,0,1,0,0
0,20,29,20,2,0,0,1,0,0
0,21,29,20,2,0,0,1,0,0
0,22,29,20,2,0,0,1,0,0
0,23,29,20,2,0,0,1,0,0
0,0,31,21,2,1,0,0,0,0
0,1,31,21,2,1,0,0,0,0
0,2,31,21,2,1,0,0,0,0
0,3,31,21,2,1,0,0,0,0
0,4,31,21,2,1,0,0,0,0
13,5,31,21,2,1,0,0,0,0
108,6,31,21,2,1,0,0,0,0
239,7,31,21,2,1,0,0,0,0
390,8,31,21,2,1,0,0,0,0
561,9,31,21,2,1,0,0,0,0
717,10,31,21,2,1,0,0,0,0
861,11,31,21,2,1,0,0,0,0
337,12,31,21,2,1,0,0,0,0
813,13,31,21,2,1,0,0,0,0
414,14,31,21,2,1,0,0,0,0
632,15,31,21,2,1,0,0,0,0
394,16,31,21,2,1,0,0,0,0
110,17,31,21,2,1,0,0,0,0
79,18,31,21,2,1,0,0,0,0
25,19,31,21,2,1,0,0,0,0
0,20,31,21,2,1,0,0,0,0
0,21,31,21,2,1,0,0,0,0
0,22,31,21,2,1,0,0,0,0
0,23,31,21,2,1,0,0,0,0
0,0,29,22,3,0,1,0,0,0
0,1,29,22,3,0,1,0,0,0
0,2,29,22,3,0,1,0,0,0
0,3,29,22,3,0,1,0,0,0
0,4,29,22,3,0,1,0,0,0
9,5,29,22,3,0,1,0,0,0
118,6,29,22,3,0,1,0,0,0
277,7,29,22,3,0,1,0,0,0
355,8,29,22,3,0,1,0,0,0
568,9,29,22,3,0,1,0,0,0
622,10,29,22,3,0,1,0,0,0
669,11,29,22,3,0,1,0,0,0
518,12,29,22,3,0,1,0,0,0
642,13,29,22,3,0,1,0,0,0
369,14,29,22,3,0,1,0,0,0
358,15,29,22,3,0,1,0,0,0
389,16,29,22,3,0,1,0,0,0
175,17,29,22,3,0,1,0,0,0
105,18,29,22,3,0,1,0,0,0
8,19,29,22,3,0,1,0,0,0
0,20,29,22,3,0,1,0,0,0
0,21,29,22,3,0,1,0,0,0
0,22,29,22,3,0,1,0,0,0
0,23,29,22,3,0,1,0,0,0
0,0,28,21,2,0,0,1,0,0
0,1,28,21,2,0,0,1,0,0
0,2,28,21,2,0,0,1,0,0
0,3,28,21,2,0,0,1,0,0
0,4,28,21,2,0,0,1,0,0
0,5,28,21,2,0,0,1,0,0
61,6,28,21,2,0,0,1,0,0
235,7,28,21,2,0,0,1,0,0
139,8,28,21,2,0,0,1,0,0
371,9,28,21,2,0,0,1,0,0
241,10,28,21,2,0,0,1,0,0
17,11,28,21,2,0,0,1,0,0
93,12,28,21,2,0,0,1,0,0
251,13,28,21,2,0,0,1,0,0
394,14,28,21,2,0,0,1,0,0
612,15,28,21,2,0,0,1,0,0
453,16,28,21,2,0,0,1,0,0
314,17,28,21,2,0,0,1,0,0
134,18,28,21,2,0,0,1,0,0
6,19,28,21,2,0,0,1,0,0
0,20,28,21,2,0,0,1,0,0
0,21,28,21,2,0,0,1,0,0
0,22,28,21,2,0,0,1,0,0
0,23,28,21,2,0,0,1,0,0
0,0,31,22,3,1,0,0,0,0
0,1,31,22,3,1,0,0,0,0
0,2,31,22,3,1,0,0,0,0
0,3,31,22,3,1,0,0,0,0
0,4,31,22,3,1,0,0,0,0
10,5,31,22,3,1,0,0,0,0
109,6,31,22,3,1,0,0,0,0
252,7,31,22,3,1,0,0,0,0
413,8,31,22,3,1,0,0,0,0
558,9,31,22,3,1,0,0,0,0
672,10,31,22,3,1,0,0,0,0
736,11,31,22,3,1,0,0,0,0
771,12,31,22,3,1,0,0,0,0
827,13,31,22,3,1,0,0,0,0
691,14,31,22,3,1,0,0,0,0
591,15,31,22,3,1,0,0,0,0
451,16,31,22,3,1,0,0,0,0
303,17,31,22,3,1,0,0,0,0
70,18,31,22,3,1,0,0,0,0
27,19,31,22,3,1,0,0,0,0
0,20,31,22,3,1,0,0,0,0
0,21,31,22,3,1,0,0,0,0
0,22,31,22,3,1,0,0,0,0
0,23,31,22,3,1,0,0,0,0
0,0,32,22,1,1,0,0,0,0
0,1,32,22,1,1,0,0,0,0
0,2,32,22,1,1,0,0,0,0
0,3,32,22,1,1,0,0,0,0
0,4,32,22,1,1,0,0,0,0
13,5,32,22,1,1,0,0,0,0
74,6,32,22,1,1,0,0,0,0
231,7,32,22,1,1,0,0,0,0
414,8,32,22,1,1,0,0,0,0
496,9,32,22,1,1,0,0,0,0
631,10,32,22,1,1,0,0,0,0
556,11,32,22,1,1,0,0,0,0
524,12,32,22,1,1,0,0,0,0
827,13,32,22,1,1,0,0,0,0
688,14,32,22,1,1,0,0,0,0
617,15,32,22,1,1,0,0,0,0
264,16,32,22,1,1,0,0,0,0
127,17,32,22,1,1,0,0,0,0
147,18,32,22,1,1,0,0,0,0
0,19,32,22,1,1,0,0,0,0
0,20,32,22,1,1,0,0,0,0
0,21,32,22,1,1,0,0,0,0
0,22,32,22,1,1,0,0,0,0
0,23,32,22,1,1,0,0,0,0
0,0,32,22,3,0,1,0,0,0
0,1,32,22,3,0,1,0,0,0
0,2,32,22,3,0,1,0,0,0
0,3,32,22,3,0,1,0,0,0
0,4,32,22,3,0,1,0,0,0
9,5,32,22,3,0,1,0,0,0
45,6,32,22,3,0,1,0,0,0
138,7,32,22,3,0,1,0,0,0
138,8,32,22,3,0,1,0,0,0
232,9,32,22,3,0,1,0,0,0
284,10,32,22,3,0,1,0,0,0
780,11,32,22,3,0,1,0,0,0
466,12,32,22,3,0,1,0,0,0
558,13,32,22,3,0,1,0,0,0
248,14,32,22,3,0,1,0,0,0
445,15,32,22,3,0,1,0,0,0
237,16,32,22,3,0,1,0,0,0
124,17,32,22,3,0,1,0,0,0
54,18,32,22,3,0,1,0,0,0
0,19,32,22,3,0,1,0,0,0
0,20,32,22,3,0,1,0,0,0
0,21,32,22,3,0,1,0,0,0
0,22,32,22,3,0,1,0,0,0
0,23,32,22,3,0,1,0,0,0
0,0,32,22,3,0,1,0,0,0
0,1,32,22,3,0,1,0,0,0
0,2,32,22,3,0,1,0,0,0
0,3,32,22,3,0,1,0,0,0
0,4,32,22,3,0,1,0,0,0
0,5,32,22,3,0,1,0,0,0
40,6,32,22,3,0,1,0,0,0
150,7,32,22,3,0,1,0,0,0
175,8,32,22,3,0,1,0,0,0
215,9,32,22,3,0,1,0,0,0
233,10,32,22,3,0,1,0,0,0
346,11,32,22,3,0,1,0,0,0
404,12,32,22,3,0,1,0,0,0
428,13,32,22,3,0,1,0,0,0
291,14,32,22,3,0,1,0,0,0
440,15,32,22,3,0,1,0,0,0
232,16,32,22,3,0,1,0,0,0
227,17,32,22,3,0,1,0,0,0
163,18,32,22,3,0,1,0,0,0
24,19,32,22,3,0,1,0,0,0
0,20,32,22,3,0,1,0,0,0
0,21,32,22,3,0,1,0,0,0
0,22,32,22,3,0,1,0,0,0
