TRI,hour,maxT,minT,windSpeed,cloudy,dark,light,other,sun
0,1,38,27,2,0,0,0,0,1
0,2,38,27,2,0,0,0,0,1
0,3,38,27,2,0,0,0,0,1
0,4,38,27,2,0,0,0,0,1
19,5,38,27,2,0,0,0,0,1
172,6,38,27,2,0,0,0,0,1
427,7,38,27,2,0,0,0,0,1
537,8,38,27,2,0,0,0,0,1
694,9,38,27,2,0,0,0,0,1
823,10,38,27,2,0,0,0,0,1
920,11,38,27,2,0,0,0,0,1
982,12,38,27,2,0,0,0,0,1
432,13,38,27,2,0,0,0,0,1
752,14,38,27,2,0,0,0,0,1
747,15,38,27,2,0,0,0,0,1
270,16,38,27,2,0,0,0,0,1
231,17,38,27,2,0,0,0,0,1
88,18,38,27,2,0,0,0,0,1
11,19,38,27,2,0,0,0,0,1
2,20,38,27,2,0,0,0,0,1
0,21,38,27,2,0,0,0,0,1
0,22,38,27,2,0,0,0,0,1
0,23,38,27,2,0,0,0,0,1
0,0,37,29,2,1,0,0,0,0
0,1,37,29,2,1,0,0,0,0
0,2,37,29,2,1,0,0,0,0
0,3,37,29,2,1,0,0,0,0
0,4,37,29,2,1,0,0,0,0
6,5,37,29,2,1,0,0,0,0
28,6,37,29,2,1,0,0,0,0
379,7,37,29,2,1,0,0,0,0
391,8,37,29,2,1,0,0,0,0
260,9,37,29,2,1,0,0,0,0
223,10,37,29,2,1,0,0,0,0
591,11,37,29,2,1,0,0,0,0
1034,12,37,29,2,1,0,0,0,0
466,13,37,29,2,1,0,0,0,0
1111,14,37,29,2,1,0,0,0,0
326,15,37,29,2,1,0,0,0,0
259,16,37,29,2,1,0,0,0,0
86,17,37,29,2,1,0,0,0,0
164,18,37,29,2,1,0,0,0,0
59,19,37,29,2,1,0,0,0,0
1,20,37,29,2,1,0,0,0,0
0,21,37,29,2,1,0,0,0,0
0,22,37,29,2,1,0,0,0,0
0,23,37,29,2,1,0,0,0,0
0,0,39,29,4,0,1,0,0,0
0,1,39,29,4,0,1,0,0,0
0,2,39,29,4,0,1,0,0,0
0,3,39,29,4,0,1,0,0,0
0,4,39,29,4,0,1,0,0,0
28,5,39,29,4,0,1,0,0,0
125,6,39,29,4,0,1,0,0,0
354,7,39,29,4,0,1,0,0,0
473,8,39,29,4,0,1,0,0,0
552,9,39,29,4,0,1,0,0,0
986,10,39,29,4,0,1,0,0,0
995,11,39,29,4,0,1,0,0,0
797,12,39,29,4,0,1,0,0,0
1002,13,39,29,4,0,1,0,0,0
888,14,39,29,4,0,1,0,0,0
776,15,39,29,4,0,1,0,0,0
654,16,39,29,4,0,1,0,0,0
476,17,39,29,4,0,1,0,0,0
95,18,39,29,4,0,1,0,0,0
38,19,39,29,4,0,1,0,0,0
1,20,39,29,4,0,1,0,0,0
0,21,39,29,4,0,1,0,0,0
0,22,39,29,4,0,1,0,0,0
0,23,39,29,4,0,1,0,0,0
0,0,42,32,4,0,0,0,0,1
0,1,42,32,4,0,0,0,0,1
0,2,42,32,4,0,0,0,0,1
0,3,42,32,4,0,0,0,0,1
0,4,42,32,4,0,0,0,0,1
10,5,42,32,4,0,0,0,0,1
152,6,42,32,4,0,0,0,0,1
357,7,42,32,4,0,0,0,0,1
549,8,42,32,4,0,0,0,0,1
709,9,42,32,4,0,0,0,0,1
852,10,42,32,4,0,0,0,0,1
947,11,42,32,4,0,0,0,0,1
991,12,42,32,4,0,0,0,0,1
962,13,42,32,4,0,0,0,0,1
887,14,42,32,4,0,0,0,0,1
771,15,42,32,4,0,0,0,0,1
614,16,42,32,4,0,0,0,0,1
437,17,42,32,4,0,0,0,0,1
212,18,42,32,4,0,0,0,0,1
10,19,42,32,4,0,0,0,0,1
1,20,42,32,4,0,0,0,0,1
0,21,42,32,4,0,0,0,0,1
0,22,42,32,4,0,0,0,0,1
0,23,42,32,4,0,0,0,0,1
0,0,40,29,2,0,0,0,0,1
0,1,40,29,2,0,0,0,0,1
0,2,40,29,2,0,0,0,0,1
0,3,40,29,2,0,0,0,0,1
0,4,40,29,2,0,0,0,0,1
17,5,40,29,2,0,0,0,0,1
101,6,40,29,2,0,0,0,0,1
343,7,40,29,2,0,0,0,0,1
545,8,40,29,2,0,0,0,0,1
709,9,40,29,2,0,0,0,0,1
836,10,40,29,2,0,0,0,0,1
927,11,40,29,2,0,0,0,0,1
1065,12,40,29,2,0,0,0,0,1
292,13,40,29,2,0,0,0,0,1
533,14,40,29,2,0,0,0,0,1
407,15,40,29,2,0,0,0,0,1
201,16,40,29,2,0,0,0,0,1
237,17,40,29,2,0,0,0,0,1
107,18,40,29,2,0,0,0,0,1
22,19,40,29,2,0,0,0,0,1
2,20,40,29,2,0,0,0,0,1
0,21,40,29,2,0,0,0,0,1
0,22,40,29,2,0,0,0,0,1
0,23,40,29,2,0,0,0,0,1
0,0,39,32,3,1,0,0,0,0
0,1,39,32,3,1,0,0,0,0
0,2,39,32,3,1,0,0,0,0
0,3,39,32,3,1,0,0,0,0
0,4,39,32,3,1,0,0,0,0
14,5,39,32,3,1,0,0,0,0
81,6,39,32,3,1,0,0,0,0
159,7,39,32,3,1,0,0,0,0
579,8,39,32,3,1,0,0,0,0
709,9,39,32,3,1,0,0,0,0
801,10,39,32,3,1,0,0,0,0
887,11,39,32,3,1,0,0,0,0
714,12,39,32,3,1,0,0,0,0
1114,13,39,32,3,1,0,0,0,0
687,14,39,32,3,1,0,0,0,0
303,15,39,32,3,1,0,0,0,0
227,16,39,32,3,1,0,0,0,0
145,17,39,32,3,1,0,0,0,0
62,18,39,32,3,1,0,0,0,0
15,19,39,32,3,1,0,0,0,0
3,20,39,32,3,1,0,0,0,0
0,21,39,32,3,1,0,0,0,0
0,22,39,32,3,1,0,0,0,0
0,23,39,32,3,1,0,0,0,0
0,0,40,29,4,0,1,0,0,0
0,1,40,29,4,0,1,0,0,0
0,2,40,29,4,0,1,0,0,0
0,3,40,29,4,0,1,0,0,0
0,4,40,29,4,0,1,0,0,0
13,5,40,29,4,0,1,0,0,0
206,6,40,29,4,0,1,0,0,0
141,7,40,29,4,0,1,0,0,0
226,8,40,29,4,0,1,0,0,0
257,9,40,29,4,0,1,0,0,0
592,10,40,29,4,0,1,0,0,0
393,11,40,29,4,0,1,0,0,0
471,12,40,29,4,0,1,0,0,0
431,13,40,29,4,0,1,0,0,0
925,14,40,29,4,0,1,0,0,0
741,15,40,29,4,0,1,0,0,0
240,16,40,29,4,0,1,0,0,0
60,17,40,29,4,0,1,0,0,0
53,18,40,29,4,0,1,0,0,0
31,19,40,29,4,0,1,0,0,0
1,20,40,29,4,0,1,0,0,0
0,21,40,29,4,0,1,0,0,0
0,22,40,29,4,0,1,0,0,0
0,23,40,29,4,0,1,0,0,0
0,0,38,29,4,1,0,0,0,0
0,1,38,29,4,1,0,0,0,0
0,2,38,29,4,1,0,0,0,0
0,3,38,29,4,1,0,0,0,0
0,4,38,29,4,1,0,0,0,0
11,5,38,29,4,1,0,0,0,0
60,6,38,29,4,1,0,0,0,0
351,7,38,29,4,1,0,0,0,0
265,8,38,29,4,1,0,0,0,0
533,9,38,29,4,1,0,0,0,0
396,10,38,29,4,1,0,0,0,0
925,11,38,29,4,1,0,0,0,0
968,12,38,29,4,1,0,0,0,0
937,13,38,29,4,1,0,0,0,0
869,14,38,29,4,1,0,0,0,0
763,15,38,29,4,1,0,0,0,0
554,16,38,29,4,1,0,0,0,0
167,17,38,29,4,1,0,0,0,0
103,18,38,29,4,1,0,0,0,0
11,19,38,29,4,1,0,0,0,0
2,20,38,29,4,1,0,0,0,0
0,21,38,29,4,1,0,0,0,0
0,22,38,29,4,1,0,0,0,0
0,23,38,29,4,1,0,0,0,0
0,0,38,29,2,0,1,0,0,0
0,1,38,29,2,0,1,0,0,0
0,2,38,29,2,0,1,0,0,0
0,3,38,29,2,0,1,0,0,0
0,4,38,29,2,0,1,0,0,0
18,5,38,29,2,0,1,0,0,0
142,6,38,29,2,0,1,0,0,0
332,7,38,29,2,0,1,0,0,0
532,8,38,29,2,0,1,0,0,0
687,9,38,29,2,0,1,0,0,0
851,10,38,29,2,0,1,0,0,0
761,11,38,29,2,0,1,0,0,0
978,12,38,29,2,0,1,0,0,0
1001,13,38,29,2,0,1,0,0,0
864,14,38,29,2,0,1,0,0,0
781,15,38,29,2,0,1,0,0,0
553,16,38,29,2,0,1,0,0,0
120,17,38,29,2,0,1,0,0,0
191,18,38,29,2,0,1,0,0,0
9,19,38,29,2,0,1,0,0,0
1,20,38,29,2,0,1,0,0,0
0,21,38,29,2,0,1,0,0,0
0,22,38,29,2,0,1,0,0,0
0,23,38,29,2,0,1,0,0,0
0,0,39,30,2,1,0,0,0,0
0,1,39,30,2,1,0,0,0,0
0,2,39,30,2,1,0,0,0,0
0,3,39,30,2,1,0,0,0,0
0,4,39,30,2,1,0,0,0,0
10,5,39,30,2,1,0,0,0,0
155,6,39,30,2,1,0,0,0,0
131,7,39,30,2,1,0,0,0,0
177,8,39,30,2,1,0,0,0,0
727,9,39,30,2,1,0,0,0,0
789,10,39,30,2,1,0,0,0,0
687,11,39,30,2,1,0,0,0,0
981,12,39,30,2,1,0,0,0,0
957,13,39,30,2,1,0,0,0,0
467,14,39,30,2,1,0,0,0,0
386,15,39,30,2,1,0,0,0,0
233,16,39,30,2,1,0,0,0,0
449,17,39,30,2,1,0,0,0,0
46,18,39,30,2,1,0,0,0,0
15,19,39,30,2,1,0,0,0,0
0,20,39,30,2,1,0,0,0,0
0,21,39,30,2,1,0,0,0,0
0,22,39,30,2,1,0,0,0,0
0,23,39,30,2,1,0,0,0,0
0,0,39,30,3,0,0,0,0,1
0,1,39,30,3,0,0,0,0,1
0,2,39,30,3,0,0,0,0,1
0,3,39,30,3,0,0,0,0,1
0,4,39,30,3,0,0,0,0,1
10,5,39,30,3,0,0,0,0,1
135,6,39,30,3,0,0,0,0,1
323,7,39,30,3,0,0,0,0,1
527,8,39,30,3,0,0,0,0,1
671,9,39,30,3,0,0,0,0,1
856,10,39,30,3,0,0,0,0,1
915,11,39,30,3,0,0,0,0,1
435,12,39,30,3,0,0,0,0,1
958,13,39,30,3,0,0,0,0,1
885,14,39,30,3,0,0,0,0,1
771,15,39,30,3,0,0,0,0,1
344,16,39,30,3,0,0,0,0,1
392,17,39,30,3,0,0,0,0,1
185,18,39,30,3,0,0,0,0,1
25,19,39,30,3,0,0,0,0,1
0,20,39,30,3,0,0,0,0,1
0,21,39,30,3,0,0,0,0,1
0,22,39,30,3,0,0,0,0,1
0,23,39,30,3,0,0,0,0,1
0,0,32,25,4,0,1,0,0,0
0,1,32,25,4,0,1,0,0,0
0,2,32,25,4,0,1,0,0,0
0,3,32,25,4,0,1,0,0,0
0,4,32,25,4,0,1,0,0,0
15,5,32,25,4,0,1,0,0,0
94,6,32,25,4,0,1,0,0,0
78,7,32,25,4,0,1,0,0,0
73,8,32,25,4,0,1,0,0,0
57,9,32,25,4,0,1,0,0,0
114,10,32,25,4,0,1,0,0,0
92,11,32,25,4,0,1,0,0,0
115,12,32,25,4,0,1,0,0,0
78,13,32,25,4,0,1,0,0,0
131,14,32,25,4,0,1,0,0,0
683,15,32,25,4,0,1,0,0,0
78,16,32,25,4,0,1,0,0,0
29,17,32,25,4,0,1,0,0,0
14,18,32,25,4,0,1,0,0,0
