TRI,hour,maxT,minT,windSpeed,cloudy,dark,light,medium,sun
0,1,28,19,2,0,1,0,0,0
0,2,28,19,2,0,1,0,0,0
0,3,28,19,2,0,1,0,0,0
0,4,28,19,2,0,1,0,0,0
78,5,28,19,2,0,1,0,0,0
238,6,28,19,2,0,1,0,0,0
522,7,28,19,2,0,1,0,0,0
708,8,28,19,2,0,1,0,0,0
899,9,28,19,2,0,1,0,0,0
1054,10,28,19,2,0,1,0,0,0
1245,11,28,19,2,0,1,0,0,0
1253,12,28,19,2,0,1,0,0,0
1256,13,28,19,2,0,1,0,0,0
543,14,28,19,2,0,1,0,0,0
513,15,28,19,2,0,1,0,0,0
234,16,28,19,2,0,1,0,0,0
122,17,28,19,2,0,1,0,0,0
78,18,28,19,2,0,1,0,0,0
38,19,28,19,2,0,1,0,0,0
0,20,28,19,2,0,1,0,0,0
0,21,28,19,2,0,1,0,0,0
0,22,28,19,2,0,1,0,0,0
0,23,28,19,2,0,1,0,0,0
0,0,29,21,2,1,0,0,0,0
0,1,29,21,2,1,0,0,0,0
0,2,29,21,2,1,0,0,0,0
0,3,29,21,2,1,0,0,0,0
0,4,29,21,2,1,0,0,0,0
21,5,29,21,2,1,0,0,0,0
152,6,29,21,2,1,0,0,0,0
232,7,29,21,2,1,0,0,0,0
461,8,29,21,2,1,0,0,0,0
920,9,29,21,2,1,0,0,0,0
1022,10,29,21,2,1,0,0,0,0
1046,11,29,21,2,1,0,0,0,0
1211,12,29,21,2,1,0,0,0,0
1059,13,29,21,2,1,0,0,0,0
757,14,29,21,2,1,0,0,0,0
596,15,29,21,2,1,0,0,0,0
427,16,29,21,2,1,0,0,0,0
348,17,29,21,2,1,0,0,0,0
127,18,29,21,2,1,0,0,0,0
43,19,29,21,2,1,0,0,0,0
0,20,29,21,2,1,0,0,0,0
0,21,29,21,2,1,0,0,0,0
0,22,29,21,2,1,0,0,0,0
0,23,29,21,2,1,0,0,0,0
0,0,31,21,0,0,0,1,0,0
0,1,31,21,0,0,0,1,0,0
0,2,31,21,0,0,0,1,0,0
0,3,31,21,0,0,0,1,0,0
0,4,31,21,0,0,0,1,0,0
10,5,31,21,0,0,0,1,0,0
69,6,31,21,0,0,0,1,0,0
153,7,31,21,0,0,0,1,0,0
370,8,31,21,0,0,0,1,0,0
917,9,31,21,0,0,0,1,0,0
1019,10,31,21,0,0,0,1,0,0
1169,11,31,21,0,0,0,1,0,0
1029,12,31,21,0,0,0,1,0,0
819,13,31,21,0,0,0,1,0,0
