TRI,hour,maxT,minT,windSpeed,cloudy,dark,light,medium,sun
0,1,17,9,3,0,0,0,1,0
0,2,17,9,3,0,0,0,1,0
0,3,17,9,3,0,0,0,1,0
0,4,17,9,3,0,0,0,1,0
0,5,17,9,3,0,0,0,1,0
17,6,17,9,3,0,0,0,1,0
72,7,17,9,3,0,0,0,1,0
114,8,17,9,3,0,0,0,1,0
201,9,17,9,3,0,0,0,1,0
183,10,17,9,3,0,0,0,1,0
244,11,17,9,3,0,0,0,1,0
533,12,17,9,3,0,0,0,1,0
1005,13,17,9,3,0,0,0,1,0
408,14,17,9,3,0,0,0,1,0
397,15,17,9,3,0,0,0,1,0
636,16,17,9,3,0,0,0,1,0
236,17,17,9,3,0,0,0,1,0
83,18,17,9,3,0,0,0,1,0
6,19,17,9,3,0,0,0,1,0
0,20,17,9,3,0,0,0,1,0
0,21,17,9,3,0,0,0,1,0
0,22,17,9,3,0,0,0,1,0
0,23,17,9,3,0,0,0,1,0
0,0,20,9,2,0,1,0,0,0
0,1,20,9,2,0,1,0,0,0
0,2,20,9,2,0,1,0,0,0
0,3,20,9,2,0,1,0,0,0
0,4,20,9,2,0,1,0,0,0
1,5,20,9,2,0,1,0,0,0
32,6,20,9,2,0,1,0,0,0
79,7,20,9,2,0,1,0,0,0
311,8,20,9,2,0,1,0,0,0
453,9,20,9,2,0,1,0,0,0
530,10,20,9,2,0,1,0,0,0
455,11,20,9,2,0,1,0,0,0
548,12,20,9,2,0,1,0,0,0
808,13,20,9,2,0,1,0,0,0
709,14,20,9,2,0,1,0,0,0
432,15,20,9,2,0,1,0,0,0
630,16,20,9,2,0,1,0,0,0
378,17,20,9,2,0,1,0,0,0
167,18,20,9,2,0,1,0,0,0
6,19,20,9,2,0,1,0,0,0
0,20,20,9,2,0,1,0,0,0
0,21,20,9,2,0,1,0,0,0
0,22,20,9,2,0,1,0,0,0
0,23,20,9,2,0,1,0,0,0
0,0,23,12,3,0,1,0,0,0
0,1,23,12,3,0,1,0,0,0
0,2,23,12,3,0,1,0,0,0
0,3,23,12,3,0,1,0,0,0
0,4,23,12,3,0,1,0,0,0
7,5,23,12,3,0,1,0,0,0
167,6,23,12,3,0,1,0,0,0
309,7,23,12,3,0,1,0,0,0
578,8,23,12,3,0,1,0,0,0
747,9,23,12,3,0,1,0,0,0
849,10,23,12,3,0,1,0,0,0
815,11,23,12,3,0,1,0,0,0
648,12,23,12,3,0,1,0,0,0
410,13,23,12,3,0,1,0,0,0
400,14,23,12,3,0,1,0,0,0
292,15,23,12,3,0,1,0,0,0
253,16,23,12,3,0,1,0,0,0
123,17,23,12,3,0,1,0,0,0
58,18,23,12,3,0,1,0,0,0
13,19,23,12,3,0,1,0,0,0
0,20,23,12,3,0,1,0,0,0
0,21,23,12,3,0,1,0,0,0
0,22,23,12,3,0,1,0,0,0
0,23,23,12,3,0,1,0,0,0
0,0,22,14,2,0,1,0,0,0
0,1,22,14,2,0,1,0,0,0
0,2,22,14,2,0,1,0,0,0
0,3,22,14,2,0,1,0,0,0
0,4,22,14,2,0,1,0,0,0
6,5,22,14,2,0,1,0,0,0
99,6,22,14,2,0,1,0,0,0
111,7,22,14,2,0,1,0,0,0
353,8,22,14,2,0,1,0,0,0
367,9,22,14,2,0,1,0,0,0
536,10,22,14,2,0,1,0,0,0
716,11,22,14,2,0,1,0,0,0
709,12,22,14,2,0,1,0,0,0
398,13,22,14,2,0,1,0,0,0
294,14,22,14,2,0,1,0,0,0
240,15,22,14,2,0,1,0,0,0
243,16,22,14,2,0,1,0,0,0
94,17,22,14,2,0,1,0,0,0
42,18,22,14,2,0,1,0,0,0
9,19,22,14,2,0,1,0,0,0
0,20,22,14,2,0,1,0,0,0
0,21,22,14,2,0,1,0,0,0
0,22,22,14,2,0,1,0,0,0
0,23,22,14,2,0,1,0,0,0
0,0,21,13,1,0,1,0,0,0
0,1,21,13,1,0,1,0,0,0
0,2,21,13,1,0,1,0,0,0
0,3,21,13,1,0,1,0,0,0
0,4,21,13,1,0,1,0,0,0
0,5,21,13,1,0,1,0,0,0
14,6,21,13,1,0,1,0,0,0
46,7,21,13,1,0,1,0,0,0
62,8,21,13,1,0,1,0,0,0
378,9,21,13,1,0,1,0,0,0
617,10,21,13,1,0,1,0,0,0
897,11,21,13,1,0,1,0,0,0
183,12,21,13,1,0,1,0,0,0
107,13,21,13,1,0,1,0,0,0
103,14,21,13,1,0,1,0,0,0
221,15,21,13,1,0,1,0,0,0
99,16,21,13,1,0,1,0,0,0
25,17,21,13,1,0,1,0,0,0
1,18,21,13,1,0,1,0,0,0
0,19,21,13,1,0,1,0,0,0
0,20,21,13,1,0,1,0,0,0
0,21,21,13,1,0,1,0,0,0
0,22,21,13,1,0,1,0,0,0
0,23,21,13,1,0,1,0,0,0
0,0,22,10,5,0,1,0,0,0
0,1,22,10,5,0,1,0,0,0
0,2,22,10,5,0,1,0,0,0
0,3,22,10,5,0,1,0,0,0
0,4,22,10,5,0,1,0,0,0
0,5,22,10,5,0,1,0,0,0
63,6,22,10,5,0,1,0,0,0
172,7,22,10,5,0,1,0,0,0
221,8,22,10,5,0,1,0,0,0
713,9,22,10,5,0,1,0,0,0
852,10,22,10,5,0,1,0,0,0
1080,11,22,10,5,0,1,0,0,0
481,12,22,10,5,0,1,0,0,0
777,13,22,10,5,0,1,0,0,0
477,14,22,10,5,0,1,0,0,0
941,15,22,10,5,0,1,0,0,0
315,16,22,10,5,0,1,0,0,0
207,17,22,10,5,0,1,0,0,0
137,18,22,10,5,0,1,0,0,0
5,19,22,10,5,0,1,0,0,0
0,20,22,10,5,0,1,0,0,0
0,21,22,10,5,0,1,0,0,0
0,22,22,10,5,0,1,0,0,0
0,23,22,10,5,0,1,0,0,0
0,0,25,13,2,0,0,0,0,1
0,1,25,13,2,0,0,0,0,1
0,2,25,13,2,0,0,0,0,1
0,3,25,13,2,0,0,0,0,1
0,4,25,13,2,0,0,0,0,1
3,5,25,13,2,0,0,0,0,1
115,6,25,13,2,0,0,0,0,1
333,7,25,13,2,0,0,0,0,1
553,8,25,13,2,0,0,0,0,1
743,9,25,13,2,0,0,0,0,1
887,10,25,13,2,0,0,0,0,1
1007,11,25,13,2,0,0,0,0,1
1029,12,25,13,2,0,0,0,0,1
1056,13,25,13,2,0,0,0,0,1
517,14,25,13,2,0,0,0,0,1
455,15,25,13,2,0,0,0,0,1
533,16,25,13,2,0,0,0,0,1
319,17,25,13,2,0,0,0,0,1
95,18,25,13,2,0,0,0,0,1
14,19,25,13,2,0,0,0,0,1
0,20,25,13,2,0,0,0,0,1
0,21,25,13,2,0,0,0,0,1
0,22,25,13,2,0,0,0,0,1
0,23,25,13,2,0,0,0,0,1
0,0,17,11,4,0,0,1,0,0
0,1,17,11,4,0,0,1,0,0
0,2,17,11,4,0,0,1,0,0
0,3,17,11,4,0,0,1,0,0
0,4,17,11,4,0,0,1,0,0
0,5,17,11,4,0,0,1,0,0
3,6,17,11,4,0,0,1,0,0
27,7,17,11,4,0,0,1,0,0
145,8,17,11,4,0,0,1,0,0
270,9,17,11,4,0,0,1,0,0
291,10,17,11,4,0,0,1,0,0
457,11,17,11,4,0,0,1,0,0
275,12,17,11,4,0,0,1,0,0
70,13,17,11,4,0,0,1,0,0
279,14,17,11,4,0,0,1,0,0
423,15,17,11,4,0,0,1,0,0
122,16,17,11,4,0,0,1,0,0
447,17,17,11,4,0,0,1,0,0
165,18,17,11,4,0,0,1,0,0
6,19,17,11,4,0,0,1,0,0
0,20,17,11,4,0,0,1,0,0
0,21,17,11,4,0,0,1,0,0
0,22,17,11,4,0,0,1,0,0
0,23,17,11,4,0,0,1,0,0
0,0,25,10,1,1,0,0,0,0
0,1,25,10,1,1,0,0,0,0
0,2,25,10,1,1,0,0,0,0
0,3,25,10,1,1,0,0,0,0
0,4,25,10,1,1,0,0,0,0
3,5,25,10,1,1,0,0,0,0
113,6,25,10,1,1,0,0,0,0
308,7,25,10,1,1,0,0,0,0
550,8,25,10,1,1,0,0,0,0
732,9,25,10,1,1,0,0,0,0
876,10,25,10,1,1,0,0,0,0
981,11,25,10,1,1,0,0,0,0
1081,12,25,10,1,1,0,0,0,0
1093,13,25,10,1,1,0,0,0,0
938,14,25,10,1,1,0,0,0,0
810,15,25,10,1,1,0,0,0,0
614,16,25,10,1,1,0,0,0,0
388,17,25,10,1,1,0,0,0,0
178,18,25,10,1,1,0,0,0,0
7,19,25,10,1,1,0,0,0,0
0,20,25,10,1,1,0,0,0,0
0,21,25,10,1,1,0,0,0,0
0,22,25,10,1,1,0,0,0,0
0,23,25,10,1,1,0,0,0,0
0,0,22,11,4,0,1,0,0,0
0,1,22,11,4,0,1,0,0,0
0,2,22,11,4,0,1,0,0,0
0,3,22,11,4,0,1,0,0,0
0,4,22,11,4,0,1,0,0,0
3,5,22,11,4,0,1,0,0,0
112,6,22,11,4,0,1,0,0,0
143,7,22,11,4,0,1,0,0,0
235,8,22,11,4,0,1,0,0,0
786,9,22,11,4,0,1,0,0,0
856,10,22,11,4,0,1,0,0,0
271,11,22,11,4,0,1,0,0,0
469,12,22,11,4,0,1,0,0,0
973,13,22,11,4,0,1,0,0,0
631,14,22,11,4,0,1,0,0,0
342,15,22,11,4,0,1,0,0,0
337,16,22,11,4,0,1,0,0,0
231,17,22,11,4,0,1,0,0,0
86,18,22,11,4,0,1,0,0,0
7,19,22,11,4,0,1,0,0,0
0,20,22,11,4,0,1,0,0,0
0,21,22,11,4,0,1,0,0,0
0,22,22,11,4,0,1,0,0,0
0,23,22,11,4,0,1,0,0,0
0,0,23,8,3,0,1,0,0,0
0,1,23,8,3,0,1,0,0,0
0,2,23,8,3,0,1,0,0,0
0,3,23,8,3,0,1,0,0,0
0,4,23,8,3,0,1,0,0,0
0,5,23,8,3,0,1,0,0,0
63,6,23,8,3,0,1,0,0,0
134,7,23,8,3,0,1,0,0,0
325,8,23,8,3,0,1,0,0,0
672,9,23,8,3,0,1,0,0,0
942,10,23,8,3,0,1,0,0,0
735,11,23,8,3,0,1,0,0,0
1112,12,23,8,3,0,1,0,0,0
1053,13,23,8,3,0,1,0,0,0
846,14,23,8,3,0,1,0,0,0
812,15,23,8,3,0,1,0,0,0
588,16,23,8,3,0,1,0,0,0
368,17,23,8,3,0,1,0,0,0
163,18,23,8,3,0,1,0,0,0
7,19,23,8,3,0,1,0,0,0
0,20,23,8,3,0,1,0,0,0
0,21,23,8,3,0,1,0,0,0
0,22,23,8,3,0,1,0,0,0
0,23,23,8,3,0,1,0,0,0
0,0,28,9,2,0,0,0,0,1
0,1,28,9,2,0,0,0,0,1
