TRI,hour,maxT,minT,windSpeed,cloudy,dark,heavy,light,medium,sun
0,1,31,22,2,1,0,0,0,0,0
0,2,31,22,2,1,0,0,0,0,0
0,3,31,22,2,1,0,0,0,0,0
0,4,31,22,2,1,0,0,0,0,0
0,5,31,22,2,1,0,0,0,0,0
60,6,31,22,2,1,0,0,0,0,0
223,7,31,22,2,1,0,0,0,0,0
522,8,31,22,2,1,0,0,0,0,0
480,9,31,22,2,1,0,0,0,0,0
859,10,31,22,2,1,0,0,0,0,0
891,11,31,22,2,1,0,0,0,0,0
847,12,31,22,2,1,0,0,0,0,0
940,13,31,22,2,1,0,0,0,0,0
817,14,31,22,2,1,0,0,0,0,0
706,15,31,22,2,1,0,0,0,0,0
489,16,31,22,2,1,0,0,0,0,0
384,17,31,22,2,1,0,0,0,0,0
163,18,31,22,2,1,0,0,0,0,0
43,19,31,22,2,1,0,0,0,0,0
0,20,31,22,2,1,0,0,0,0,0
0,21,31,22,2,1,0,0,0,0,0
0,22,31,22,2,1,0,0,0,0,0
0,23,31,22,2,1,0,0,0,0,0
0,0,33,24,2,0,0,0,0,0,1
0,1,33,24,2,0,0,0,0,0,1
0,2,33,24,2,0,0,0,0,0,1
0,3,33,24,2,0,0,0,0,0,1
0,4,33,24,2,0,0,0,0,0,1
5,5,33,24,2,0,0,0,0,0,1
110,6,33,24,2,0,0,0,0,0,1
290,7,33,24,2,0,0,0,0,0,1
497,8,33,24,2,0,0,0,0,0,1
678,9,33,24,2,0,0,0,0,0,1
810,10,33,24,2,0,0,0,0,0,1
907,11,33,24,2,0,0,0,0,0,1
922,12,33,24,2,0,0,0,0,0,1
942,13,33,24,2,0,0,0,0,0,1
745,14,33,24,2,0,0,0,0,0,1
500,15,33,24,2,0,0,0,0,0,1
465,16,33,24,2,0,0,0,0,0,1
243,17,33,24,2,0,0,0,0,0,1
88,18,33,24,2,0,0,0,0,0,1
9,19,33,24,2,0,0,0,0,0,1
0,20,33,24,2,0,0,0,0,0,1
0,21,33,24,2,0,0,0,0,0,1
0,22,33,24,2,0,0,0,0,0,1
0,23,33,24,2,0,0,0,0,0,1
0,0,32,25,2,0,1,0,0,0,0
0,1,32,25,2,0,1,0,0,0,0
0,2,32,25,2,0,1,0,0,0,0
0,3,32,25,2,0,1,0,0,0,0
0,4,32,25,2,0,1,0,0,0,0
9,5,32,25,2,0,1,0,0,0,0
110,6,32,25,2,0,1,0,0,0,0
257,7,32,25,2,0,1,0,0,0,0
422,8,32,25,2,0,1,0,0,0,0
478,9,32,25,2,0,1,0,0,0,0
519,10,32,25,2,0,1,0,0,0,0
476,11,32,25,2,0,1,0,0,0,0
491,12,32,25,2,0,1,0,0,0,0
520,13,32,25,2,0,1,0,0,0,0
340,14,32,25,2,0,1,0,0,0,0
471,15,32,25,2,0,1,0,0,0,0
538,16,32,25,2,0,1,0,0,0,0
217,17,32,25,2,0,1,0,0,0,0
63,18,32,25,2,0,1,0,0,0,0
13,19,32,25,2,0,1,0,0,0,0
0,20,32,25,2,0,1,0,0,0,0
0,21,32,25,2,0,1,0,0,0,0
0,22,32,25,2,0,1,0,0,0,0
0,23,32,25,2,0,1,0,0,0,0
0,0,30,24,2,0,1,0,0,0,0
0,1,30,24,2,0,1,0,0,0,0
0,2,30,24,2,0,1,0,0,0,0
0,3,30,24,2,0,1,0,0,0,0
0,4,30,24,2,0,1,0,0,0,0
0,5,30,24,2,0,1,0,0,0,0
62,6,30,24,2,0,1,0,0,0,0
62,7,30,24,2,0,1,0,0,0,0
307,8,30,24,2,0,1,0,0,0,0
206,9,30,24,2,0,1,0,0,0,0
142,10,30,24,2,0,1,0,0,0,0
150,11,30,24,2,0,1,0,0,0,0
547,12,30,24,2,0,1,0,0,0,0
281,13,30,24,2,0,1,0,0,0,0
168,14,30,24,2,0,1,0,0,0,0
592,15,30,24,2,0,1,0,0,0,0
447,16,30,24,2,0,1,0,0,0,0
258,17,30,24,2,0,1,0,0,0,0
90,18,30,24,2,0,1,0,0,0,0
16,19,30,24,2,0,1,0,0,0,0
0,20,30,24,2,0,1,0,0,0,0
0,21,30,24,2,0,1,0,0,0,0
0,22,30,24,2,0,1,0,0,0,0
0,23,30,24,2,0,1,0,0,0,0
0,0,32,24,2,1,0,0,0,0,0
0,1,32,24,2,1,0,0,0,0,0
0,2,32,24,2,1,0,0,0,0,0
0,3,32,24,2,1,0,0,0,0,0
0,4,32,24,2,1,0,0,0,0,0
2,5,32,24,2,1,0,0,0,0,0
76,6,32,24,2,1,0,0,0,0,0
174,7,32,24,2,1,0,0,0,0,0
372,8,32,24,2,1,0,0,0,0,0
414,9,32,24,2,1,0,0,0,0,0
664,10,32,24,2,1,0,0,0,0,0
475,11,32,24,2,1,0,0,0,0,0
375,12,32,24,2,1,0,0,0,0,0
274,13,32,24,2,1,0,0,0,0,0
80,14,32,24,2,1,0,0,0,0,0
331,15,32,24,2,1,0,0,0,0,0
324,16,32,24,2,1,0,0,0,0,0
206,17,32,24,2,1,0,0,0,0,0
10,18,32,24,2,1,0,0,0,0,0
6,19,32,24,2,1,0,0,0,0,0
0,20,32,24,2,1,0,0,0,0,0
0,21,32,24,2,1,0,0,0,0,0
0,22,32,24,2,1,0,0,0,0,0
0,23,32,24,2,1,0,0,0,0,0
0,0,32,25,2,0,1,0,0,0,0
0,1,32,25,2,0,1,0,0,0,0
0,2,32,25,2,0,1,0,0,0,0
0,3,32,25,2,0,1,0,0,0,0
0,4,32,25,2,0,1,0,0,0,0
0,5,32,25,2,0,1,0,0,0,0
76,6,32,25,2,0,1,0,0,0,0
217,7,32,25,2,0,1,0,0,0,0
227,8,32,25,2,0,1,0,0,0,0
550,9,32,25,2,0,1,0,0,0,0
482,10,32,25,2,0,1,0,0,0,0
800,11,32,25,2,0,1,0,0,0,0
662,12,32,25,2,0,1,0,0,0,0
655,13,32,25,2,0,1,0,0,0,0
860,14,32,25,2,0,1,0,0,0,0
349,15,32,25,2,0,1,0,0,0,0
431,16,32,25,2,0,1,0,0,0,0
112,17,32,25,2,0,1,0,0,0,0
37,18,32,25,2,0,1,0,0,0,0
21,19,32,25,2,0,1,0,0,0,0
0,20,32,25,2,0,1,0,0,0,0
0,21,32,25,2,0,1,0,0,0,0
0,22,32,25,2,0,1,0,0,0,0
0,23,32,25,2,0,1,0,0,0,0
0,0,29,23,1,0,1,0,0,0,0
0,1,29,23,1,0,1,0,0,0,0
0,2,29,23,1,0,1,0,0,0,0
0,3,29,23,1,0,1,0,0,0,0
0,4,29,23,1,0,1,0,0,0,0
2,5,29,23,1,0,1,0,0,0,0
82,6,29,23,1,0,1,0,0,0,0
178,7,29,23,1,0,1,0,0,0,0
382,8,29,23,1,0,1,0,0,0,0
366,9,29,23,1,0,1,0,0,0,0
94,10,29,23,1,0,1,0,0,0,0
66,11,29,23,1,0,1,0,0,0,0
359,12,29,23,1,0,1,0,0,0,0
266,13,29,23,1,0,1,0,0,0,0
96,14,29,23,1,0,1,0,0,0,0
128,15,29,23,1,0,1,0,0,0,0
44,16,29,23,1,0,1,0,0,0,0
15,17,29,23,1,0,1,0,0,0,0
38,18,29,23,1,0,1,0,0,0,0
21,19,29,23,1,0,1,0,0,0,0
0,20,29,23,1,0,1,0,0,0,0
0,21,29,23,1,0,1,0,0,0,0
0,22,29,23,1,0,1,0,0,0,0
0,23,29,23,1,0,1,0,0,0,0
0,0,37,26,1,1,0,0,0,0,0
0,1,37,26,1,1,0,0,0,0,0
0,2,37,26,1,1,0,0,0,0,0
0,3,37,26,1,1,0,0,0,0,0
0,4,37,26,1,1,0,0,0,0,0
3,5,37,26,1,1,0,0,0,0,0
43,6,37,26,1,1,0,0,0,0,0
228,7,37,26,1,1,0,0,0,0,0
418,8,37,26,1,1,0,0,0,0,0
