TRI,hour,maxT,minT,windSpeed,cloudy,dark,heavy,light,medium,other,sun
0,1,31,23,2,1,0,0,0,0,0,0
0,2,31,23,2,1,0,0,0,0,0,0
0,3,31,23,2,1,0,0,0,0,0,0
0,4,31,23,2,1,0,0,0,0,0,0
0,5,31,23,2,1,0,0,0,0,0,0
89,6,31,23,2,1,0,0,0,0,0,0
284,7,31,23,2,1,0,0,0,0,0,0
506,8,31,23,2,1,0,0,0,0,0,0
698,9,31,23,2,1,0,0,0,0,0,0
849,10,31,23,2,1,0,0,0,0,0,0
933,11,31,23,2,1,0,0,0,0,0,0
986,12,31,23,2,1,0,0,0,0,0,0
958,13,31,23,2,1,0,0,0,0,0,0
863,14,31,23,2,1,0,0,0,0,0,0
713,15,31,23,2,1,0,0,0,0,0,0
515,16,31,23,2,1,0,0,0,0,0,0
260,17,31,23,2,1,0,0,0,0,0,0
59,18,31,23,2,1,0,0,0,0,0,0
0,19,31,23,2,1,0,0,0,0,0,0
0,20,31,23,2,1,0,0,0,0,0,0
0,21,31,23,2,1,0,0,0,0,0,0
0,22,31,23,2,1,0,0,0,0,0,0
0,23,31,23,2,1,0,0,0,0,0,0
0,0,31,23,2,0,0,0,0,0,0,1
0,1,31,23,2,0,0,0,0,0,0,1
0,2,31,23,2,0,0,0,0,0,0,1
0,3,31,23,2,0,0,0,0,0,0,1
0,4,31,23,2,0,0,0,0,0,0,1
0,5,31,23,2,0,0,0,0,0,0,1
83,6,31,23,2,0,0,0,0,0,0,1
297,7,31,23,2,0,0,0,0,0,0,1
500,8,31,23,2,0,0,0,0,0,0,1
678,9,31,23,2,0,0,0,0,0,0,1
959,10,31,23,2,0,0,0,0,0,0,1
1027,11,31,23,2,0,0,0,0,0,0,1
975,12,31,23,2,0,0,0,0,0,0,1
995,13,31,23,2,0,0,0,0,0,0,1
936,14,31,23,2,0,0,0,0,0,0,1
670,15,31,23,2,0,0,0,0,0,0,1
429,16,31,23,2,0,0,0,0,0,0,1
297,17,31,23,2,0,0,0,0,0,0,1
97,18,31,23,2,0,0,0,0,0,0,1
0,19,31,23,2,0,0,0,0,0,0,1
0,20,31,23,2,0,0,0,0,0,0,1
0,21,31,23,2,0,0,0,0,0,0,1
0,22,31,23,2,0,0,0,0,0,0,1
0,23,31,23,2,0,0,0,0,0,0,1
0,0,27,23,2,0,0,0,1,0,0,0
0,1,27,23,2,0,0,0,1,0,0,0
0,2,27,23,2,0,0,0,1,0,0,0
0,3,27,23,2,0,0,0,1,0,0,0
0,4,27,23,2,0,0,0,1,0,0,0
0,5,27,23,2,0,0,0,1,0,0,0
81,6,27,23,2,0,0,0,1,0,0,0
228,7,27,23,2,0,0,0,1,0,0,0
230,8,27,23,2,0,0,0,1,0,0,0
347,9,27,23,2,0,0,0,1,0,0,0
52,10,27,23,2,0,0,0,1,0,0,0
132,11,27,23,2,0,0,0,1,0,0,0
123,12,27,23,2,0,0,0,1,0,0,0
172,13,27,23,2,0,0,0,1,0,0,0
286,14,27,23,2,0,0,0,1,0,0,0
412,15,27,23,2,0,0,0,1,0,0,0
202,16,27,23,2,0,0,0,1,0,0,0
48,17,27,23,2,0,0,0,1,0,0,0
23,18,27,23,2,0,0,0,1,0,0,0
0,19,27,23,2,0,0,0,1,0,0,0
0,20,27,23,2,0,0,0,1,0,0,0
0,21,27,23,2,0,0,0,1,0,0,0
0,22,27,23,2,0,0,0,1,0,0,0
0,23,27,23,2,0,0,0,1,0,0,0
0,0,30,24,1,0,1,0,0,0,0,0
0,1,30,24,1,0,1,0,0,0,0,0
0,2,30,24,1,0,1,0,0,0,0,0
0,3,30,24,1,0,1,0,0,0,0,0
0,4,30,24,1,0,1,0,0,0,0,0
0,5,30,24,1,0,1,0,0,0,0,0
64,6,30,24,1,0,1,0,0,0,0,0
92,7,30,24,1,0,1,0,0,0,0,0
296,8,30,24,1,0,1,0,0,0,0,0
433,9,30,24,1,0,1,0,0,0,0,0
491,10,30,24,1,0,1,0,0,0,0,0
241,11,30,24,1,0,1,0,0,0,0,0
358,12,30,24,1,0,1,0,0,0,0,0
485,13,30,24,1,0,1,0,0,0,0,0
364,14,30,24,1,0,1,0,0,0,0,0
477,15,30,24,1,0,1,0,0,0,0,0
185,16,30,24,1,0,1,0,0,0,0,0
70,17,30,24,1,0,1,0,0,0,0,0
38,18,30,24,1,0,1,0,0,0,0,0
1,19,30,24,1,0,1,0,0,0,0,0
0,20,30,24,1,0,1,0,0,0,0,0
0,21,30,24,1,0,1,0,0,0,0,0
0,22,30,24,1,0,1,0,0,0,0,0
0,23,30,24,1,0,1,0,0,0,0,0
0,0,27,24,1,0,0,0,1,0,0,0
0,1,27,24,1,0,0,0,1,0,0,0
0,2,27,24,1,0,0,0,1,0,0,0
0,3,27,24,1,0,0,0,1,0,0,0
0,4,27,24,1,0,0,0,1,0,0,0
0,5,27,24,1,0,0,0,1,0,0,0
0,6,27,24,1,0,0,0,1,0,0,0
0,7,27,24,1,0,0,0,1,0,0,0
1,8,27,24,1,0,0,0,1,0,0,0
61,9,27,24,1,0,0,0,1,0,0,0
226,10,27,24,1,0,0,0,1,0,0,0
155,11,27,24,1,0,0,0,1,0,0,0
62,12,27,24,1,0,0,0,1,0,0,0
263,13,27,24,1,0,0,0,1,0,0,0
387,14,27,24,1,0,0,0,1,0,0,0
172,15,27,24,1,0,0,0,1,0,0,0
177,16,27,24,1,0,0,0,1,0,0,0
33,17,27,24,1,0,0,0,1,0,0,0
