TRI,hour,maxT,minT,windSpeed,cloudy,dark,light,sun
0,1,28,20,1,0,1,0,0
0,2,28,20,1,0,1,0,0
0,3,28,20,1,0,1,0,0
0,4,28,20,1,0,1,0,0
14,5,28,20,1,0,1,0,0
115,6,28,20,1,0,1,0,0
366,7,28,20,1,0,1,0,0
416,8,28,20,1,0,1,0,0
497,9,28,20,1,0,1,0,0
461,10,28,20,1,0,1,0,0
458,11,28,20,1,0,1,0,0
845,12,28,20,1,0,1,0,0
501,13,28,20,1,0,1,0,0
823,14,28,20,1,0,1,0,0
231,15,28,20,1,0,1,0,0
204,16,28,20,1,0,1,0,0
157,17,28,20,1,0,1,0,0
96,18,28,20,1,0,1,0,0
15,19,28,20,1,0,1,0,0
0,20,28,20,1,0,1,0,0
0,21,28,20,1,0,1,0,0
0,22,28,20,1,0,1,0,0
0,23,28,20,1,0,1,0,0
0,0,23,17,3,0,0,1,0
0,1,23,17,3,0,0,1,0
0,2,23,17,3,0,0,1,0
0,3,23,17,3,0,0,1,0
0,4,23,17,3,0,0,1,0
0,5,23,17,3,0,0,1,0
18,6,23,17,3,0,0,1,0
38,7,23,17,3,0,0,1,0
0,8,23,17,3,0,0,1,0
126,9,23,17,3,0,0,1,0
186,10,23,17,3,0,0,1,0
214,11,23,17,3,0,0,1,0
258,12,23,17,3,0,0,1,0
182,13,23,17,3,0,0,1,0
259,14,23,17,3,0,0,1,0
177,15,23,17,3,0,0,1,0
103,16,23,17,3,0,0,1,0
81,17,23,17,3,0,0,1,0
48,18,23,17,3,0,0,1,0
5,19,23,17,3,0,0,1,0
0,20,23,17,3,0,0,1,0
0,21,23,17,3,0,0,1,0
0,22,23,17,3,0,0,1,0
0,23,23,17,3,0,0,1,0
0,0,27,19,2,0,1,0,0
0,1,27,19,2,0,1,0,0
0,2,27,19,2,0,1,0,0
0,3,27,19,2,0,1,0,0
0,4,27,19,2,0,1,0,0
2,5,27,19,2,0,1,0,0
33,6,27,19,2,0,1,0,0
136,7,27,19,2,0,1,0,0
243,8,27,19,2,0,1,0,0
266,9,27,19,2,0,1,0,0
307,10,27,19,2,0,1,0,0
396,11,27,19,2,0,1,0,0
1131,12,27,19,2,0,1,0,0
855,13,27,19,2,0,1,0,0
1094,14,27,19,2,0,1,0,0
389,15,27,19,2,0,1,0,0
539,16,27,19,2,0,1,0,0
358,17,27,19,2,0,1,0,0
224,18,27,19,2,0,1,0,0
16,19,27,19,2,0,1,0,0
0,20,27,19,2,0,1,0,0
0,21,27,19,2,0,1,0,0
0,22,27,19,2,0,1,0,0
0,23,27,19,2,0,1,0,0
0,0,31,20,3,1,0,0,0
0,1,31,20,3,1,0,0,0
0,2,31,20,3,1,0,0,0
0,3,31,20,3,1,0,0,0
0,4,31,20,3,1,0,0,0
8,5,31,20,3,1,0,0,0
129,6,31,20,3,1,0,0,0
324,7,31,20,3,1,0,0,0
534,8,31,20,3,1,0,0,0
702,9,31,20,3,1,0,0,0
856,10,31,20,3,1,0,0,0
941,11,31,20,3,1,0,0,0
981,12,31,20,3,1,0,0,0
963,13,31,20,3,1,0,0,0
817,14,31,20,3,1,0,0,0
745,15,31,20,3,1,0,0,0
592,16,31,20,3,1,0,0,0
455,17,31,20,3,1,0,0,0
184,18,31,20,3,1,0,0,0
34,19,31,20,3,1,0,0,0
0,20,31,20,3,1,0,0,0
0,21,31,20,3,1,0,0,0
0,22,31,20,3,1,0,0,0
0,23,31,20,3,1,0,0,0
0,0,31,20,2,0,1,0,0
0,1,31,20,2,0,1,0,0
0,2,31,20,2,0,1,0,0
0,3,31,20,2,0,1,0,0
0,4,31,20,2,0,1,0,0
3,5,31,20,2,0,1,0,0
46,6,31,20,2,0,1,0,0
341,7,31,20,2,0,1,0,0
304,8,31,20,2,0,1,0,0
654,9,31,20,2,0,1,0,0
911,10,31,20,2,0,1,0,0
315,11,31,20,2,0,1,0,0
288,12,31,20,2,0,1,0,0
448,13,31,20,2,0,1,0,0
765,14,31,20,2,0,1,0,0
710,15,31,20,2,0,1,0,0
87,16,31,20,2,0,1,0,0
37,17,31,20,2,0,1,0,0
28,18,31,20,2,0,1,0,0
2,19,31,20,2,0,1,0,0
0,20,31,20,2,0,1,0,0
0,21,31,20,2,0,1,0,0
0,22,31,20,2,0,1,0,0
0,23,31,20,2,0,1,0,0
0,0,28,18,1,0,1,0,0
0,1,28,18,1,0,1,0,0
0,2,28,18,1,0,1,0,0
0,3,28,18,1,0,1,0,0
0,4,28,18,1,0,1,0,0
0,5,28,18,1,0,1,0,0
17,6,28,18,1,0,1,0,0
45,7,28,18,1,0,1,0,0
188,8,28,18,1,0,1,0,0
412,9,28,18,1,0,1,0,0
375,10,28,18,1,0,1,0,0
509,11,28,18,1,0,1,0,0
879,12,28,18,1,0,1,0,0
1130,13,28,18,1,0,1,0,0
398,14,28,18,1,0,1,0,0
270,15,28,18,1,0,1,0,0
601,16,28,18,1,0,1,0,0
259,17,28,18,1,0,1,0,0
35,18,28,18,1,0,1,0,0
20,19,28,18,1,0,1,0,0
0,20,28,18,1,0,1,0,0
0,21,28,18,1,0,1,0,0
0,22,28,18,1,0,1,0,0
0,23,28,18,1,0,1,0,0
0,0,35,22,1,0,0,0,1
0,1,35,22,1,0,0,0,1
0,2,35,22,1,0,0,0,1
0,3,35,22,1,0,0,0,1
0,4,35,22,1,0,0,0,1
4,5,35,22,1,0,0,0,1
148,6,35,22,1,0,0,0,1
351,7,35,22,1,0,0,0,1
552,8,35,22,1,0,0,0,1
729,9,35,22,1,0,0,0,1
872,10,35,22,1,0,0,0,1
969,11,35,22,1,0,0,0,1
1003,12,35,22,1,0,0,0,1
915,13,35,22,1,0,0,0,1
860,14,35,22,1,0,0,0,1
766,15,35,22,1,0,0,0,1
371,16,35,22,1,0,0,0,1
435,17,35,22,1,0,0,0,1
188,18,35,22,1,0,0,0,1
1,19,35,22,1,0,0,0,1
0,20,35,22,1,0,0,0,1
0,21,35,22,1,0,0,0,1
0,22,35,22,1,0,0,0,1
0,23,35,22,1,0,0,0,1
0,0,26,17,2,0,1,0,0
0,1,26,17,2,0,1,0,0
0,2,26,17,2,0,1,0,0
0,3,26,17,2,0,1,0,0
0,4,26,17,2,0,1,0,0
1,5,26,17,2,0,1,0,0
62,6,26,17,2,0,1,0,0
125,7,26,17,2,0,1,0,0
162,8,26,17,2,0,1,0,0
247,9,26,17,2,0,1,0,0
159,10,26,17,2,0,1,0,0
79,11,26,17,2,0,1,0,0
193,12,26,17,2,0,1,0,0
297,13,26,17,2,0,1,0,0
139,14,26,17,2,0,1,0,0
204,15,26,17,2,0,1,0,0
123,16,26,17,2,0,1,0,0
97,17,26,17,2,0,1,0,0
93,18,26,17,2,0,1,0,0
7,19,26,17,2,0,1,0,0
0,20,26,17,2,0,1,0,0
0,21,26,17,2,0,1,0,0
0,22,26,17,2,0,1,0,0
0,23,26,17,2,0,1,0,0
0,0,30,18,2,1,0,0,0
0,1,30,18,2,1,0,0,0
0,2,30,18,2,1,0,0,0
0,3,30,18,2,1,0,0,0
0,4,30,18,2,1,0,0,0
2,5,30,18,2,1,0,0,0
173,6,30,18,2,1,0,0,0
281,7,30,18,2,1,0,0,0
529,8,30,18,2,1,0,0,0
685,9,30,18,2,1,0,0,0
852,10,30,18,2,1,0,0,0
975,11,30,18,2,1,0,0,0
740,12,30,18,2,1,0,0,0
983,13,30,18,2,1,0,0,0
902,14,30,18,2,1,0,0,0
780,15,30,18,2,1,0,0,0
593,16,30,18,2,1,0,0,0
381,17,30,18,2,1,0,0,0
167,18,30,18,2,1,0,0,0
7,19,30,18,2,1,0,0,0
0,20,30,18,2,1,0,0,0
0,21,30,18,2,1,0,0,0
0,22,30,18,2,1,0,0,0
0,23,30,18,2,1,0,0,0
0,0,34,17,1,1,0,0,0
0,1,34,17,1,1,0,0,0
0,2,34,17,1,1,0,0,0
0,3,34,17,1,1,0,0,0
0,4,34,17,1,1,0,0,0
1,5,34,17,1,1,0,0,0
143,6,34,17,1,1,0,0,0
337,7,34,17,1,1,0,0,0
518,8,34,17,1,1,0,0,0
698,9,34,17,1,1,0,0,0
