TRI,hour,maxT,minT,windSpeed,cloudy,dark,heavy,light,sun
0,1,25,15,0,0,0,0,0,1
0,2,25,15,0,0,0,0,0,1
0,3,25,15,0,0,0,0,0,1
0,4,25,15,0,0,0,0,0,1
16,5,25,15,0,0,0,0,0,1
191,6,25,15,0,0,0,0,0,1
366,7,25,15,0,0,0,0,0,1
553,8,25,15,0,0,0,0,0,1
734,9,25,15,0,0,0,0,0,1
776,10,25,15,0,0,0,0,0,1
953,11,25,15,0,0,0,0,0,1
983,12,25,15,0,0,0,0,0,1
967,13,25,15,0,0,0,0,0,1
882,14,25,15,0,0,0,0,0,1
743,15,25,15,0,0,0,0,0,1
589,16,25,15,0,0,0,0,0,1
388,17,25,15,0,0,0,0,0,1
192,18,25,15,0,0,0,0,0,1
40,19,25,15,0,0,0,0,0,1
0,20,25,15,0,0,0,0,0,1
0,21,25,15,0,0,0,0,0,1
0,22,25,15,0,0,0,0,0,1
0,23,25,15,0,0,0,0,0,1
0,0,28,16,3,1,0,0,0,0
0,1,28,16,3,1,0,0,0,0
0,2,28,16,3,1,0,0,0,0
0,3,28,16,3,1,0,0,0,0
0,4,28,16,3,1,0,0,0,0
15,5,28,16,3,1,0,0,0,0
164,6,28,16,3,1,0,0,0,0
359,7,28,16,3,1,0,0,0,0
550,8,28,16,3,1,0,0,0,0
724,9,28,16,3,1,0,0,0,0
778,10,28,16,3,1,0,0,0,0
932,11,28,16,3,1,0,0,0,0
1015,12,28,16,3,1,0,0,0,0
568,13,28,16,3,1,0,0,0,0
831,14,28,16,3,1,0,0,0,0
729,15,28,16,3,1,0,0,0,0
412,16,28,16,3,1,0,0,0,0
243,17,28,16,3,1,0,0,0,0
104,18,28,16,3,1,0,0,0,0
22,19,28,16,3,1,0,0,0,0
0,20,28,16,3,1,0,0,0,0
0,21,28,16,3,1,0,0,0,0
0,22,28,16,3,1,0,0,0,0
0,23,28,16,3,1,0,0,0,0
0,0,21,15,3,0,1,0,0,0
0,1,21,15,3,0,1,0,0,0
0,2,21,15,3,0,1,0,0,0
0,3,21,15,3,0,1,0,0,0
0,4,21,15,3,0,1,0,0,0
5,5,21,15,3,0,1,0,0,0
53,6,21,15,3,0,1,0,0,0
24,7,21,15,3,0,1,0,0,0
47,8,21,15,3,0,1,0,0,0
168,9,21,15,3,0,1,0,0,0
339,10,21,15,3,0,1,0,0,0
698,11,21,15,3,0,1,0,0,0
220,12,21,15,3,0,1,0,0,0
181,13,21,15,3,0,1,0,0,0
346,14,21,15,3,0,1,0,0,0
219,15,21,15,3,0,1,0,0,0
263,16,21,15,3,0,1,0,0,0
83,17,21,15,3,0,1,0,0,0
19,18,21,15,3,0,1,0,0,0
9,19,21,15,3,0,1,0,0,0
0,20,21,15,3,0,1,0,0,0
0,21,21,15,3,0,1,0,0,0
0,22,21,15,3,0,1,0,0,0
0,23,21,15,3,0,1,0,0,0
0,0,19,15,2,0,0,0,1,0
0,1,19,15,2,0,0,0,1,0
0,2,19,15,2,0,0,0,1,0
0,3,19,15,2,0,0,0,1,0
0,4,19,15,2,0,0,0,1,0
8,5,19,15,2,0,0,0,1,0
68,6,19,15,2,0,0,0,1,0
194,7,19,15,2,0,0,0,1,0
61,8,19,15,2,0,0,0,1,0
62,9,19,15,2,0,0,0,1,0
205,10,19,15,2,0,0,0,1,0
311,11,19,15,2,0,0,0,1,0
64,12,19,15,2,0,0,0,1,0
152,13,19,15,2,0,0,0,1,0
240,14,19,15,2,0,0,0,1,0
316,15,19,15,2,0,0,0,1,0
181,16,19,15,2,0,0,0,1,0
201,17,19,15,2,0,0,0,1,0
122,18,19,15,2,0,0,0,1,0
22,19,19,15,2,0,0,0,1,0
0,20,19,15,2,0,0,0,1,0
0,21,19,15,2,0,0,0,1,0
0,22,19,15,2,0,0,0,1,0
0,23,19,15,2,0,0,0,1,0
0,0,26,18,3,0,1,0,0,0
0,1,26,18,3,0,1,0,0,0
0,2,26,18,3,0,1,0,0,0
0,3,26,18,3,0,1,0,0,0
0,4,26,18,3,0,1,0,0,0
14,5,26,18,3,0,1,0,0,0
46,6,26,18,3,0,1,0,0,0
77,7,26,18,3,0,1,0,0,0
124,8,26,18,3,0,1,0,0,0
405,9,26,18,3,0,1,0,0,0
942,10,26,18,3,0,1,0,0,0
1078,11,26,18,3,0,1,0,0,0
328,12,26,18,3,0,1,0,0,0
981,13,26,18,3,0,1,0,0,0
966,14,26,18,3,0,1,0,0,0
808,15,26,18,3,0,1,0,0,0
439,16,26,18,3,0,1,0,0,0
160,17,26,18,3,0,1,0,0,0
87,18,26,18,3,0,1,0,0,0
21,19,26,18,3,0,1,0,0,0
0,20,26,18,3,0,1,0,0,0
0,21,26,18,3,0,1,0,0,0
