TRI,hour,maxT,minT,windSpeed,cloudy,dark,light,other,sun
0,1,27,18,2,0,1,0,0,0
0,2,27,18,2,0,1,0,0,0
0,3,27,18,2,0,1,0,0,0
0,4,27,18,2,0,1,0,0,0
5,5,27,18,2,0,1,0,0,0
127,6,27,18,2,0,1,0,0,0
340,7,27,18,2,0,1,0,0,0
419,8,27,18,2,0,1,0,0,0
573,9,27,18,2,0,1,0,0,0
229,10,27,18,2,0,1,0,0,0
857,11,27,18,2,0,1,0,0,0
372,12,27,18,2,0,1,0,0,0
333,13,27,18,2,0,1,0,0,0
450,14,27,18,2,0,1,0,0,0
309,15,27,18,2,0,1,0,0,0
259,16,27,18,2,0,1,0,0,0
62,17,27,18,2,0,1,0,0,0
22,18,27,18,2,0,1,0,0,0
2,19,27,18,2,0,1,0,0,0
0,20,27,18,2,0,1,0,0,0
0,21,27,18,2,0,1,0,0,0
0,22,27,18,2,0,1,0,0,0
0,23,27,18,2,0,1,0,0,0
0,0,23,16,2,0,0,1,0,0
0,1,23,16,2,0,0,1,0,0
0,2,23,16,2,0,0,1,0,0
0,3,23,16,2,0,0,1,0,0
0,4,23,16,2,0,0,1,0,0
0,5,23,16,2,0,0,1,0,0
0,6,23,16,2,0,0,1,0,0
0,7,23,16,2,0,0,1,0,0
0,8,23,16,2,0,0,1,0,0
0,9,23,16,2,0,0,1,0,0
0,10,23,16,2,0,0,1,0,0
0,11,23,16,2,0,0,1,0,0
0,12,23,16,2,0,0,1,0,0
0,13,23,16,2,0,0,1,0,0
0,14,23,16,2,0,0,1,0,0
0,15,23,16,2,0,0,1,0,0
0,16,23,16,2,0,0,1,0,0
0,17,23,16,2,0,0,1,0,0
0,18,23,16,2,0,0,1,0,0
0,19,23,16,2,0,0,1,0,0
0,20,23,16,2,0,0,1,0,0
0,21,23,16,2,0,0,1,0,0
0,22,23,16,2,0,0,1,0,0
0,23,23,16,2,0,0,1,0,0
0,0,26,18,3,0,1,0,0,0
0,1,26,18,3,0,1,0,0,0
0,2,26,18,3,0,1,0,0,0
0,3,26,18,3,0,1,0,0,0
0,4,26,18,3,0,1,0,0,0
6,5,26,18,3,0,1,0,0,0
52,6,26,18,3,0,1,0,0,0
185,7,26,18,3,0,1,0,0,0
265,8,26,18,3,0,1,0,0,0
785,9,26,18,3,0,1,0,0,0
711,10,26,18,3,0,1,0,0,0
524,11,26,18,3,0,1,0,0,0
1019,12,26,18,3,0,1,0,0,0
1004,13,26,18,3,0,1,0,0,0
594,14,26,18,3,0,1,0,0,0
696,15,26,18,3,0,1,0,0,0
623,16,26,18,3,0,1,0,0,0
220,17,26,18,3,0,1,0,0,0
87,18,26,18,3,0,1,0,0,0
11,19,26,18,3,0,1,0,0,0
0,20,26,18,3,0,1,0,0,0
0,21,26,18,3,0,1,0,0,0
0,22,26,18,3,0,1,0,0,0
0,23,26,18,3,0,1,0,0,0
0,0,29,19,3,1,0,0,0,0
0,1,29,19,3,1,0,0,0,0
0,2,29,19,3,1,0,0,0,0
0,3,29,19,3,1,0,0,0,0
0,4,29,19,3,1,0,0,0,0
8,5,29,19,3,1,0,0,0,0
91,6,29,19,3,1,0,0,0,0
294,7,29,19,3,1,0,0,0,0
539,8,29,19,3,1,0,0,0,0
663,9,29,19,3,1,0,0,0,0
850,10,29,19,3,1,0,0,0,0
938,11,29,19,3,1,0,0,0,0
974,12,29,19,3,1,0,0,0,0
878,13,29,19,3,1,0,0,0,0
