TRI,hour,maxT,minT,windSpeed,cloudy,dark,light,medium,sun
0,1,34,22,2,0,0,0,0,1
0,2,34,22,2,0,0,0,0,1
0,3,34,22,2,0,0,0,0,1
0,4,34,22,2,0,0,0,0,1
0,5,34,22,2,0,0,0,0,1
107,6,34,22,2,0,0,0,0,1
264,7,34,22,2,0,0,0,0,1
458,8,34,22,2,0,0,0,0,1
643,9,34,22,2,0,0,0,0,1
832,10,34,22,2,0,0,0,0,1
946,11,34,22,2,0,0,0,0,1
987,12,34,22,2,0,0,0,0,1
961,13,34,22,2,0,0,0,0,1
870,14,34,22,2,0,0,0,0,1
717,15,34,22,2,0,0,0,0,1
413,16,34,22,2,0,0,0,0,1
304,17,34,22,2,0,0,0,0,1
127,18,34,22,2,0,0,0,0,1
0,19,34,22,2,0,0,0,0,1
0,20,34,22,2,0,0,0,0,1
0,21,34,22,2,0,0,0,0,1
0,22,34,22,2,0,0,0,0,1
0,23,34,22,2,0,0,0,0,1
0,0,32,23,1,1,0,0,0,0
0,1,32,23,1,1,0,0,0,0
0,2,32,23,1,1,0,0,0,0
0,3,32,23,1,1,0,0,0,0
0,4,32,23,1,1,0,0,0,0
0,5,32,23,1,1,0,0,0,0
94,6,32,23,1,1,0,0,0,0
266,7,32,23,1,1,0,0,0,0
465,8,32,23,1,1,0,0,0,0
647,9,32,23,1,1,0,0,0,0
555,10,32,23,1,1,0,0,0,0
612,11,32,23,1,1,0,0,0,0
392,12,32,23,1,1,0,0,0,0
389,13,32,23,1,1,0,0,0,0
359,14,32,23,1,1,0,0,0,0
368,15,32,23,1,1,0,0,0,0
261,16,32,23,1,1,0,0,0,0
143,17,32,23,1,1,0,0,0,0
124,18,32,23,1,1,0,0,0,0
4,19,32,23,1,1,0,0,0,0
0,20,32,23,1,1,0,0,0,0
0,21,32,23,1,1,0,0,0,0
0,22,32,23,1,1,0,0,0,0
0,23,32,23,1,1,0,0,0,0
0,0,32,24,1,0,1,0,0,0
0,1,32,24,1,0,1,0,0,0
0,2,32,24,1,0,1,0,0,0
0,3,32,24,1,0,1,0,0,0
0,4,32,24,1,0,1,0,0,0
0,5,32,24,1,0,1,0,0,0
99,6,32,24,1,0,1,0,0,0
224,7,32,24,1,0,1,0,0,0
229,8,32,24,1,0,1,0,0,0
519,9,32,24,1,0,1,0,0,0
491,10,32,24,1,0,1,0,0,0
941,11,32,24,1,0,1,0,0,0
447,12,32,24,1,0,1,0,0,0
524,13,32,24,1,0,1,0,0,0
750,14,32,24,1,0,1,0,0,0
331,15,32,24,1,0,1,0,0,0
255,16,32,24,1,0,1,0,0,0
141,17,32,24,1,0,1,0,0,0
104,18,32,24,1,0,1,0,0,0
0,19,32,24,1,0,1,0,0,0
0,20,32,24,1,0,1,0,0,0
0,21,32,24,1,0,1,0,0,0
0,22,32,24,1,0,1,0,0,0
0,23,32,24,1,0,1,0,0,0
0,0,31,23,2,0,1,0,0,0
0,1,31,23,2,0,1,0,0,0
0,2,31,23,2,0,1,0,0,0
0,3,31,23,2,0,1,0,0,0
0,4,31,23,2,0,1,0,0,0
0,5,31,23,2,0,1,0,0,0
19,6,31,23,2,0,1,0,0,0
70,7,31,23,2,0,1,0,0,0
168,8,31,23,2,0,1,0,0,0
255,9,31,23,2,0,1,0,0,0
373,10,31,23,2,0,1,0,0,0
394,11,31,23,2,0,1,0,0,0
614,12,31,23,2,0,1,0,0,0
303,13,31,23,2,0,1,0,0,0
69,14,31,23,2,0,1,0,0,0
95,15,31,23,2,0,1,0,0,0
46,16,31,23,2,0,1,0,0,0
26,17,31,23,2,0,1,0,0,0
4,18,31,23,2,0,1,0,0,0
0,19,31,23,2,0,1,0,0,0
0,20,31,23,2,0,1,0,0,0
0,21,31,23,2,0,1,0,0,0
0,22,31,23,2,0,1,0,0,0
0,23,31,23,2,0,1,0,0,0
0,0,30,23,1,1,0,0,0,0
0,1,30,23,1,1,0,0,0,0
0,2,30,23,1,1,0,0,0,0
0,3,30,23,1,1,0,0,0,0
0,4,30,23,1,1,0,0,0,0
0,5,30,23,1,1,0,0,0,0
37,6,30,23,1,1,0,0,0,0
57,7,30,23,1,1,0,0,0,0
167,8,30,23,1,1,0,0,0,0
315,9,30,23,1,1,0,0,0,0
400,10,30,23,1,1,0,0,0,0
514,11,30,23,1,1,0,0,0,0
500,12,30,23,1,1,0,0,0,0
378,13,30,23,1,1,0,0,0,0
102,14,30,23,1,1,0,0,0,0
288,15,30,23,1,1,0,0,0,0
533,16,30,23,1,1,0,0,0,0
119,17,30,23,1,1,0,0,0,0
110,18,30,23,1,1,0,0,0,0
0,19,30,23,1,1,0,0,0,0
0,20,30,23,1,1,0,0,0,0
0,21,30,23,1,1,0,0,0,0
0,22,30,23,1,1,0,0,0,0
0,23,30,23,1,1,0,0,0,0
0,0,33,23,1,1,0,0,0,0
0,1,33,23,1,1,0,0,0,0
0,2,33,23,1,1,0,0,0,0
0,3,33,23,1,1,0,0,0,0
0,4,33,23,1,1,0,0,0,0
0,5,33,23,1,1,0,0,0,0
78,6,33,23,1,1,0,0,0,0
236,7,33,23,1,1,0,0,0,0
428,8,33,23,1,1,0,0,0,0
319,9,33,23,1,1,0,0,0,0
745,10,33,23,1,1,0,0,0,0
736,11,33,23,1,1,0,0,0,0
923,12,33,23,1,1,0,0,0,0
830,13,33,23,1,1,0,0,0,0
763,14,33,23,1,1,0,0,0,0
691,15,33,23,1,1,0,0,0,0
487,16,33,23,1,1,0,0,0,0
303,17,33,23,1,1,0,0,0,0
115,18,33,23,1,1,0,0,0,0
0,19,33,23,1,1,0,0,0,0
0,20,33,23,1,1,0,0,0,0
0,21,33,23,1,1,0,0,0,0
0,22,33,23,1,1,0,0,0,0
0,23,33,23,1,1,0,0,0,0
0,0,35,25,1,0,1,0,0,0
0,1,35,25,1,0,1,0,0,0
0,2,35,25,1,0,1,0,0,0
0,3,35,25,1,0,1,0,0,0
0,4,35,25,1,0,1,0,0,0
0,5,35,25,1,0,1,0,0,0
69,6,35,25,1,0,1,0,0,0
252,7,35,25,1,0,1,0,0,0
439,8,35,25,1,0,1,0,0,0
596,9,35,25,1,0,1,0,0,0
764,10,35,25,1,0,1,0,0,0
342,11,35,25,1,0,1,0,0,0
536,12,35,25,1,0,1,0,0,0
939,13,35,25,1,0,1,0,0,0
847,14,35,25,1,0,1,0,0,0
706,15,35,25,1,0,1,0,0,0
524,16,35,25,1,0,1,0,0,0
255,17,35,25,1,0,1,0,0,0
